Headline,Summary,Links
Referees 'wanted the US to lose' Olympic 3x3 tournament.,"

The US 3x3 female basketball team suffered a narrow defeat in the semi-finals on Monday, losing 18-16 to Spain in Paris. The team will now compete for a bronze medal against Canada, while Spain advances to the final to face Germany. The loss marks a setback for the US team, which had been seeking to claim the top spot in the women's 3x3 basketball tournament.

In other Olympic news, Simone Biles is set to compete in the women's balance beam and floor exercise finals, seeking to add to her gold medal tally. Meanwhile, the first day of Olympic wrestling is underway, with 20-year-old Californian Amit Elor making her Olympic debut. The 2024 Paris Olympics continue until August 11, with a range of events taking place across the city.","['https://www.foxnews.com/sports/referees-wanted-u-s-lose-olympic-3x3-tournament-star-player-hailey-van-lith-says', 'https://www.marca.com/en/olympic-games/2024/08/05/66b10b3622601dfa708b459e.html', 'https://www.msn.com/en-us/sports/nba/refs-wanted-the-us-to-lose-hailey-van-lith-and-co-s-exit-vs-spain-indigestible-for-fans-as-olympics-officiating-gets-questioned/ar-AA1ohNEI', 'https://www.nbcnews.com/sports/olympics/live-blog/olympic-games-2024-live-updates-rcna162870', 'https://www.themirror.com/sport/basketball/olympics-van-lith-usa-conspiracy-630858', 'https://www.marca.com/en/olympic-games/2024/08/05/66b0ece381748c002a2b242c-live.html', 'https://africa.espn.com/olympics/story/_/id/40718638/serbia-holds-south-sudan-earn-quarterfinals-berth-greece-advances']"
Brandon Aiyuk is more likely to be traded than sign an extension with the 49ers.,"The San Francisco 49ers and wide receiver Brandon Aiyuk are reportedly far from reaching a long-term contract agreement. As a result, Aiyuk is more likely to be traded than signed to a new deal. Multiple teams, including the Cleveland Browns, New England Patriots, and Pittsburgh Steelers, are said to be in play for the 26-year-old wideout. The 49ers had previously exercised Aiyuk's fifth-year option, which will pay him $14.1 million in 2024, but this is below the market value for top receivers.

The Steelers, who have a logjam at the receiver position, are one of the teams reportedly interested in Aiyuk. However, they currently do not have a clear No. 2 option next to George Pickens. The 49ers had prepared for the possibility of trading Aiyuk by drafting Ricky Pearsall in the first round of the 2024 NFL draft. While no deal is in place yet, it is expected that a decision will be made soon. Aiyuk's market value is estimated to be around $26.2 million per year, according to Spotrac.","['https://www.nfl.com/news/brandon-aiyuk-more-likely-to-be-traded-than-sign-extension-with-49ers-no-trade-in-place', 'https://www.cbssports.com/nfl/news/brandon-aiyuk-trade-demand-49ers-wr-more-likely-to-be-dealt-than-get-extension-from-san-francisco-per-report/', 'https://www.si.com/nfl/49ers/news/49ers-would-be-foolish-to-trade-brandon-aiyuk-01j4jdt0p0y8', 'https://bleacherreport.com/articles/10130881-nfl-rumors-brandon-aiyuk-trade-not-in-place-between-steelers-49ers-despite-buzz', 'https://www.49erswebzone.com/articles/182407-report-49ers-multiple-permission-brandon/', 'https://www.on3.com/pro/news/49ers-more-likely-to-trade-brandon-aiyuk-than-sign-wide-receiver-to-extension/', 'https://clutchpoints.com/nfl-rumors-brandon-aiyuk-more-likely-to-be-traded-than-sign-extension-with-49ers', 'https://www.ninersnation.com/2024/8/5/24214130/49ers-brandon-aiyuk-trade-extension-steelers-training-camp-trent-williams', 'https://www.thescore.com/news/3049333', 'https://www.pennlive.com/steelers/2024/08/what-is-the-latest-on-the-steelers-brandon-aiyuk-trade-rumors.html', 'https://nfltraderumors.co/latest-on-brandon-aiyuk-trade-rumors/', 'https://www.audacy.com/957thegame/sports/san-francisco-49-ers/brandon-aiyuk-more-likely-to-be-traded-than-extended', 'https://www.si.com/nfl/49ers/news/is-it-time-to-panic-on-brandon-aiyuk-remaining-with-the-49ers-01j4jcp757db', 'https://www.49erswebzone.com/articles/182404-nfl-insider-brandon-currently-steelers/', 'https://clutchpoints.com/nfl-rumors-expert-floats-brandon-aiyuk-davante-admas-trade-49ers-raiders', 'https://www.steelernation.com/2024/08/04/steelers-strike-likely-49ers-brandon-aiyuk', 'https://fansided.com/posts/latest-brandon-aiyuk-rumors-could-be-blessing-and-curse-for-steelers']"
Team USA will face Brazil in the Olympic men's basketball quarterfinals.,"Team USA basketball has secured the No. 1 seed in the quarterfinals of the 2024 Paris Olympics, boasting a 3-0 record and a point differential of plus-64. They will face Brazil in the quarterfinals, while Canada will meet France. The other two quarterfinals will be Germany vs Greece and Serbia vs Australia. The semifinals are scheduled for August 8, and the gold medal matchup will be on August 10.

In other Olympic news, Amit Elor won a wrestling medal for Team USA with a 10-0 victory over North Korea's Pak Sol Gum. Valarie Allman won gold in the discus throw with a throw of 69.50 meters. Simone Biles won silver in the women's floor exercise final, giving her four medals at these Games. Gabby Thomas, McKenzie Long, and Brittany Brown advanced to the women's 200-meter final.","['https://www.usatoday.com/story/sports/olympics/2024/08/04/olympic-mens-basketball-quarterfinals/74661393007/', 'https://www.si.com/college/gonzaga/basketball/how-to-watch-team-usa-vs-brazil-olympic-men-s-basketball-quarterfinal-game-01j4hz7bqy5z', 'https://www.cbssports.com/olympics/news/2024-paris-olympics-mens-basketball-bracket-schedule-no-1-seed-team-usa-draws-brazil-in-quarterfinals/', 'https://www.azcentral.com/story/sports/olympics/2024/08/05/how-to-watch-team-usa-men-basketball-brazil-2024-olympics/74661714007/', 'https://www.usab.com/news/2024/08/usa-mens-national-ready-for-olympic-quarterfinal-bout-with-hot-shooting-brazil', 'https://www.espn.com/olympics/story/_/id/40738092/2024-paris-summer-olympics-live-updates-highlights-schedule-results-tuesday', 'https://www.nbcnews.com/sports/olympics/live-blog/olympic-games-2024-live-updates-rcna162870', 'https://en.as.com/olympic_games/when-is-brazil-usa-times-how-to-watch-on-tv-and-stream-online-olympic-games-mens-basketball-n/', 'https://olympics.com/en/news/team-usa-paris-2024-preview-highlights-schedule-6-august', 'https://www.nba.com/news/usa-basketball-7-opponents-quarterfinals-olympics', 'https://www.on3.com/pro/news/united-states-to-face-brazil-in-olympic-mens-basketball-tournament-quarterfinal-matchups-revealed/', 'https://www.cbssports.com/olympics/news/2024-paris-olympics-mens-basketball-power-rankings-team-usa-still-no-1-as-canada-germany-looking-for-upset/', 'https://news.abs-cbn.com/sports/2024/8/5/paris-2024-team-usa-prepares-to-face-brazil-in-qfinals-2035', 'https://www.azcentral.com/story/sports/olympics/2024/08/05/team-usa-basketball-brazil-picks-predictions-odds-2024-paris-olympics/74661473007/', 'https://www.si.com/nba/lakers/news/team-usa-gearing-up-for-brazil-in-olympic-quarterfinals-tuesday-01j4fprmh9wy', 'https://www.usatoday.com/story/sports/olympics/2024/08/05/paris-olympics-live-updates-results/74190961007/', 'https://www.cbssports.com/olympics/news/usa-basketball-vs-brazil-what-to-know-as-americans-set-to-meet-brazilian-kevin-durant-in-2024-olympics/', 'https://www.cbssports.com/olympics/news/usa-basketball-canada-germany-among-biggest-threats-to-americans-in-2024-olympics-mens-basketball/', 'https://www.nbcphiladelphia.com/paris-2024-summer-olympics/team-usa-mens-basketball-next-game-schedule-brazil/3932998/', 'https://www.israelhayom.com/2024/08/05/giannis-antetokounmpo-leads-greeces-mens-basketball-team-to-quarterfinals-in-paris-olympics/', 'https://m.economictimes.com/news/international/us/olympics-mens-basketball-quarterfinals-usa-faces-brazil-france-plays-canada-when-and-where-to-watch-on-tv-and-live-streaming/articleshow/112298292.cms', 'https://www.psucollegian.com/sports/olympics/3-former-penn-state-men-s-volleyball-players-lead-team-usa-to-quarterfinal-win-over/article_49abc35c-536f-11ef-81f6-1773b7c39f43.html', 'https://www.msn.com/en-us/sports/other/olympic-basketball-usa-basketball-not-looking-past-tuesday-s-quarterfinal-opponent/ar-AA1oeza9', 'https://www.msn.com/en-us/sports/other/team-usa-men-s-basketball-will-play-brazil-to-open-olympic-quarterfinals/ar-AA1obWcV', 'https://bvmsports.com/2024/08/05/2024-paris-olympics-team-usa-prepares-to-face-brazil-in-olympic-basketball-quarterfinals/']"
"Biles wins silver in gymnastics floor, her fourth medal in Paris.","Simone Biles won a silver medal in the floor exercise, her fourth medal of the Paris Olympics. This brings her total Olympic medal count to 11, matching Vera Caslavska of Czechoslovakia. Biles' combined Olympic and world medal count of 41 is the highest of any gymnast ever. She experienced a rare mistake, falling off the balance beam in the final, but still managed to secure a silver medal.

Biles' silver medal in the floor exercise was her second silver of the games, adding to her seven Olympic gold medals. She has not ruled out competing in the 2028 Summer Olympics in Los Angeles, despite joking that she's ""getting really old."" Her 11 career medals at the Games (seven gold, two silver, two bronze) ties her with Czechoslovakia's Vera Caslavska for the second-most by a female gymnast in Olympic history.","['https://www.nbcnews.com/video/biles-wins-silver-in-gymnastics-floor-her-fourth-medal-in-paris-216489029616', 'https://www.teamusa.com/news/2024/august/05/biles-chiles-finish-their-paris-2024-run-with-silver-and-bronze', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/', 'https://bleacherreport.com/articles/10130867-simone-biles-olympic-legacy-is-unmatched-after-dominant-showing-at-2024-paris-games', 'https://www.npr.org/2024/08/05/g-s1-15360/simone-biles-silver-olympics-paris', 'https://www.france24.com/en/live-news/20240805-biles-caps-glittering-campaign-with-floor-exercise-silver-after-beam-fall', 'https://people.com/simone-biles-wins-four-medals-2024-olympics-8690143', 'https://www.usatoday.com/story/sports/olympics/2024/08/05/olympic-gymnastics-live-results/74194380007/', 'https://www.indystar.com/story/sports/olympics/2024/08/05/olympic-gymnastics-live-results/74194380007/', 'https://www.nbcnews.com/sports/olympics/live-blog/olympic-games-2024-live-updates-rcna162870', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/LkKHCQmSzT31/', 'https://bearswire.usatoday.com/story/sports/nfl/bears/2024/08/05/jonathan-owens-reacts-simone-biles-wins-olympic-silver-floor-exercise/74676305007/', 'https://www.france24.com/en/live-news/20240805-biles-bows-to-brazil-s-olympics-gymnastics-floor-queen-andrade', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/V50ei4F9tW2X/', 'https://www.nytimes.com/live/2024/08/05/world/olympics-gymnastics-beam-floor-biles', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/ImSPbOh2kP1b/', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/HQng6NB4Pbvi/', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/mpPFfgWZRwrJ/', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/Ib9xjTdRfm2D/', 'https://bleacherreport.com/articles/10130802-simone-biles-jordan-chiles-win-silver-bronze-medals-in-womens-floor-at-olympics', 'https://bleacherreport.com/articles/10130830-olympic-2024-medal-count-final-tally-winners-from-day-10-early-events', 'https://www.huffpost.com/entry/simone-biles-floor-routine-olympics_n_66b08976e4b0f21c1146c95e', 'https://www.marieclaire.com/celebrity/simone-biles-silver-medal-win-paris-olympics-2024/', 'https://www.kgw.com/article/sports/olympics/simone-biles-floor-finals-routine-jordan-chiles/507-4faad41d-9420-44db-9054-d77610e185cb', 'https://www.whec.com/national-world/simone-biles-finishes-off-her-return-to-the-olympics-with-a-silver-on-floor-exercise/']"
Harbaugh 'was not aware' of any U-M violations.,"University of Michigan football coach Jim Harbaugh has been accused of committing a Level 1 violation, the most serious category in the NCAA's enforcement process. This charge stems from allegations of ""unethical or dishonest conduct and a failure to cooperate"" with investigators. As a result, Harbaugh could face a ""show-cause"" restriction if he ever returns to college sports. 

The allegations are connected to a sign-stealing scandal involving former staffer Connor Stalions, who reportedly led interns and at least one other full-time team employee to believe that the scheme was not against the rules. The NCAA alleges that Stalions purchased tickets to multiple games involving future Michigan opponents from 2021-2023. Current Michigan staff member Sherryrone Moore is also accused of deleting numerous text messages with Stalions. The school faces a Level 1 violation charge for a ""pattern of noncompliance within the football program"" and institutional efforts to hinder the NCAA's investigation.","['https://www.espn.com/nfl/story/_/id/40738044/jim-harbaugh-denies-wrongdoing-amid-michigan-allegations', 'https://www.ocregister.com/2024/08/05/chargers-coach-jim-harbaugh-unaware-of-violations-at-michigan/', 'https://www.detroitnews.com/story/sports/college/university-michigan/2024/08/05/i-do-not-apologize-harbaugh-denies-knowing-about-um-sign-stealing-scheme/74681493007/', 'https://www.si.com/fannation/college/cfb-hq/news/jim-harbaugh-reacts-michigan-football-violations-report', 'https://www.mlive.com/wolverines/2024/08/jim-harbaugh-responds-to-alleged-michigan-violations-i-do-not-apologize.html', 'https://www.detroitnews.com/story/sports/college/university-michigan/2024/08/04/michigan-wolverines-coach-sherrone-moore-face-punishment-ncaa-sign-stealing-investigation/74665636007/', 'https://thebharatexpressnews.com/jim-harbaugh-again-denies-knowledge-of-michigan-sign-theft-scheme-i-make-no-apologies/']"
Noah Lyles wins 100-metre sprint in ultra-close photo finish.,"Noah Lyles won the 100m gold medal at the Paris Olympics in a stunning photo finish, beating Jamaica's Kishane Thompson by five-thousandths of a second. The American crossed the line in 9.79 seconds, with seven of the eight runners having ""Photo"" written next to their names due to the extremely close finish. Lyles started joint-slowest out of the eight men in the final, but managed to overtake the competition to take the top spot.

Lyles celebrated his victory by striking the signature pose of Goku from Dragon Ball Z, known as the Kamehameha. He dedicated a bit of his celebrations to his love for Japanese animation. In a separate event, Julien Alfred defeated Sha'Carri Richardson to win the gold medal in the women's 100m.","['https://www.ft.com/content/b58a3982-3862-400d-89c7-c205340414f4', 'https://apnews.com/article/2024-olympics-100m-lyles-thompson-ccf37184afc2f3318271d4c495d2a16b', 'https://time.com/7007745/noah-lyles-olympics-100-meters-gold-anime-dragon-ball-celebration/', 'https://www.indiatoday.in/sports/olympics/story/paris-olympics-noah-lyles-kishane-thompson-photo-finish-100m-final-rules-explained-2577227-2024-08-05', 'https://www.firstpost.com/sports/watch-noah-lyles-100m-gold-five-thousandths-second-photo-finish-13800900.html', 'https://www.news9live.com/sports/others-sports/noah-lyles-wins-by-0-005-seconds-what-is-photo-finish-and-how-is-it-decided-in-olympics-2643972', 'https://ca.sports.yahoo.com/news/fastest-man-noah-lyles-jock-043949690.html', 'https://athleticsillustrated.com/lyles-wins-the-greatest-olympic-100-metre-sprint-final-in-history/', 'https://www.myjoyonline.com/fentuo-explaining-how-noah-lyles-was-declared-winner-over-kishane-thompson-in-olympics-100m-final/', 'https://www.tuko.co.ke/sports/athletics/557620-noah-lyles-kishane-thompson-how-paris-2024-mens-100m-winner-decided/', 'https://www.gearpatrol.com/watches/noah-lyles-omega-speedmaster/', 'https://www.theoaklandpress.com/2024/08/05/snoop-dogg-has-exploded-on-the-olympics-global-stage/amp/', 'https://www.hindustantimes.com/entertainment/anime/us-olympic-legend-is-the-world-s-fastest-anime-fan-japan-approves-101722881210619-amp.html', 'https://www.independent.co.uk/tv/sport/noah-lyles-olympics-100m-final-words-b2591209.html', 'https://www.yoursun.com/ap/sports/lyles-wins-historically-close-100-meter-sprint/article_d4e1dfac-b52e-510b-8f93-f3810c0c3e56.html', 'https://www.dexerto.com/anime/dragon-ball-z-tribute-olympic-gold-medalist-2850493/']"
"Armand ""Mondo"" Duplantis breaks pole vault world record in gold.","Armand Duplantis of Sweden broke the world record for the ninth time, clearing 6.25 meters (20 feet, 6 inches) in the men's pole vault finals. He also set a new Olympic record with a jump of 6.10 meters, one centimeter higher than the previous world-record height. Duplantis, a 24-year-old competing for his mother's native Sweden, has now broken the pole vault world record nine times.

American Sam Kendricks won the silver medal, while Greece's Emmanouil Karalis took bronze. In other Olympic news, US discus thrower Valarie Allman won her second consecutive gold medal in the women's discus throw with a throw of 69.50 meters. Britain's Keely Hodgkinson also won gold in the 800-meter event, securing Britain's first gold medal in Olympic track.","['https://www.cbsnews.com/news/mondo-duplantis-pole-vaulting-record-olympic-gold-paris-2024/', 'https://www.theguardian.com/sport/article/2024/aug/05/2024-paris-olympic-games-armand-duplantis-pole-vault-world-record', 'https://www.washingtonpost.com/sports/olympics/2024/08/05/mondo-duplantis-pole-vault-world-record-gold-olympics/', 'https://www.walb.com/2024/08/05/mondo-duplantis-breaks-pole-vault-world-record-gold-medal-performance-olympics/', 'https://olympics.com/en/news/paris-2024-athletics-mondo-duplantis-soars-to-paris-2024-mens-pole-vault-gold-all-results', 'https://uk.news.yahoo.com/armand-duplantis-breaks-pole-vault-202237547.html', 'https://www.npr.org/2024/08/05/g-s1-15440/mondo-pole-vault-gold-sweden-paris-olympics', 'https://www.somdnews.com/2024olympics/armand-mondo-duplantis-breaks-pole-vault-world-record-in-gold-medal-performance-at-olympics/article_24491b88-2b6e-5290-9cb3-67c20267d6ba.html', 'https://www.news-herald.com/2024/08/05/armand-mondo-duplantis-breaks-pole-vault-world-record-katie-moon-advances-to-final/', 'https://www.wdsu.com/article/sweden-mens-pole-vault-olympics-gold-paris/61795316', 'https://www.goskagit.com/2024olympics/armand-mondo-duplantis-breaks-pole-vault-world-record-in-gold-medal-performance-at-olympics/article_16299cc7-c73e-5153-b5fa-e93706c7101f.html', 'https://www.espn.com/olympics/story/_/id/40737670/armand-duplantis-breaks-own-pole-vault-jump-record-wins-olympic-gold', 'https://www.tribdem.com/sports/paris-olympics-mondo-duplantis-breaks-pole-vault-world-record-in-gold-medal-performance/article_1a3a1d71-b71b-5c9c-b3df-4409b3e7bd6d.html', 'https://www.flotrack.org/articles/12767233-mondo-duplantis-still-has-it-mens-pole-vault-world-records-since-1994', 'https://www.theadvocate.com/baton_rouge/sports/lsu/history-made-mondo-duplantis-wins-second-olympic-pole-vault-gold-breaks-his-world-record/article_20f170d7-6e18-52db-8c02-261b8f9a0836.html', 'https://olympics.com/en/paris-2024/live-updates/3040f0c0-5283-451a-874b-ccf2dd24afd6', 'https://www.nytimes.com/athletic/5682112/2024/08/05/mondo-duplantis-pole-vault-final-sam-kendricks/', 'https://www.nytimes.com/athletic/live-blogs/paris-olympics-2024-live-updates-day-ten-scores-results/XOqC8eDGCzc5/', 'https://www.wbrz.com/news/former-lsu-pole-vaulting-star-mondo-duplantis-wins-second-gold-medal-breaks-own-world-record/', 'https://www.lemonde.fr/en/sports/article/2024/08/05/mondo-duplantis-breaks-pole-vault-world-record-in-gold-medal-performance-at-olympics_6709741_9.html', 'https://www.bbc.com/sport/olympics/articles/c17ggrnv2eno', 'https://olympics.com/en/paris-2024/live-updates/229cfb1d-8089-4494-a50a-810d7a1d8745', 'https://indianexpress.com/article/sports/sport-others/mondo-duplantis-pole-vault-world-record-paris-olympics-9497182/', 'https://olympics.com/en/paris-2024/live-updates/5a3cbb9c-d2ad-41e2-82bd-135fbe19aedc', 'https://www.springfieldnewssun.com/nation-world/mondo-duplantis-breaks-pole-vault-world-record-in-gold-medal-performance-at-olympics/7GKTAOQG4JAYHCOO3VFSD75WI4/']"
Harrison Butker of the Kansas City Chiefs is reportedly becoming the highest paid NFL kicker.,"Kansas City Chiefs kicker Harrison Butker has agreed to a four-year contract extension worth $25.6 million, with $17.75 million guaranteed. Butker, 29, announced the deal on social media but did not provide further details. According to reports, he represented himself in negotiations. Butker has made 89% of his field goal attempts in his seven-year career, the second-best percentage in NFL history. His longest kick was a 62-yarder in the 2022 season.

The new contract makes Butker the highest-paid player at his position, surpassing the $6 million per season contracts of Justin Tucker and Jake Elliott. Butker is entering his eighth NFL season and will be with the Chiefs through the 2028 season. The team will open their regular season on September 5 against the Baltimore Ravens at Arrowhead Stadium in Kansas City, Missouri.","['https://www.cnn.com/2024/08/05/sport/harrison-butker-nfl-highest-paid-kicker-spt/index.html', 'https://www.nbcnews.com/news/sports/chiefs-harrison-butker-highest-paid-kicker-rcna165253', 'https://www.si.com/nfl/chiefs/news/report-harrison-butker-signing-contract-extension-with-kansas-city-chiefs-becomes-highest-paid-kicker-in-nfl', 'https://www.thebiglead.com/posts/the-nfl-s-biggest-political-lightning-rod-is-also-the-highest-paid-at-his-position', 'https://thescore.com/nfl/news/3049211']"
"Daniel Jones explains involvement in the Lions-Giants joint-practice scuffle: 'You know, you know, you know.'","A joint practice between the New York Giants and Detroit Lions on Monday was marked by several fights and scuffles between players. The tensions began early, with Giants quarterback Daniel Jones shoving Lions defensive lineman Alim McNeill in the back, sparking a skirmish. Jones was quickly pulled out of the fray by a team employee. The Giants' defense also got into a melee with Lions receiver Amon-Ra St. Brown, which involved punches being thrown.

The fights were not limited to these two incidents, with multiple groups of players shoving each other throughout the practice. Despite the tensions, the Giants' offense had some bright spots, winning the 7-on-7 period against the Lions' first-team defense. Giants backup quarterback Drew Lock was sacked by Lions player Morice Norris, who is having a strong camp. The teams will face each other again in a preseason matchup on Thursday at MetLife Stadium.","['https://www.nfl.com/news/daniel-jones-explains-involvement-in-lions-giants-joint-practice-scuffle-you-try-to-stand-up-for-guys', 'https://www.espn.com/nfl/story/_/id/40739056/daniel-jones-incites-scuffle-chippy-giants-lions-practice', 'https://www.mlive.com/sports/2024/08/camp-observations-lions-dont-take-no-expletive-in-fight-filled-practice.html', 'https://uk.sports.yahoo.com/news/multiple-fights-break-out-at-giants-lions-joint-training-camp-qb-daniel-jones-pulled-out-of-fray-video-170353786.html', 'https://uk.sports.yahoo.com/news/multiple-fights-break-out-at-giants-lions-joint-training-camp-qb-daniel-jones-pulled-out-of-fray-170353428.html', 'https://www.nytimes.com/athletic/5682391/2024/08/05/lions-giants-joint-practice-gets-chippy-plus-a-day-following-the-defense/', 'https://www.on3.com/pro/news/quarterback-daniel-jones-general-manager-joe-schoen-involved-new-york-giants-detroit-lions-training-camp-fight/']"
Alabama football's 2024 preseason coaches poll ranking is program's lowest since 2009. Alabama football's 2024 preseason coaches poll ranking is program's lowest since 2009.,"The Alabama football team will begin its 2024 season with its lowest ranking since 2009, coming in at No. 5 in the preseason AFCA coaches poll compiled by the USA Today. This marks the end of a 14-season streak in which the team began in the top three of the poll. Georgia was ranked No. 1, receiving 46 first-place votes, followed by Ohio State, Oregon, Texas, and Alabama in the top five.

The preseason poll reflects changes in conference realignment, with six teams in the top 25 switching leagues. The SEC and Big Ten conferences make up more than half of the spots in the poll. No teams from Group of 5 conferences made the poll, with Memphis being the closest, finishing fifth in the ""others receiving votes"" category. Alabama will face No. 1 Georgia in week five of the regular season at Bryant-Denny Stadium.","['https://247sports.com/college/alabama/article/alabama-footballs-2024-preseason-coaches-poll-ranking-is-programs-lowest-since-2009-234464774/', 'https://6abc.com/sports/georgia-ohio-state-top-coaches-preseason-college-football-poll/15146952/', 'https://tdalabamamag.com/2024/08/05/alabama-football-debuts-at-lowest-preseason-ranking-in-usa-today-coaches-poll-since-2009/', 'https://247sports.com/college/alabama/article/roll-pod-go-hike-a-mountain-234484024/', 'https://247sports.com/college/alabama/article/alabamas-2024-preseason-coaches-poll-ranking-is-programs-lowest-since-2009-234464774/', 'https://www.nytimes.com/athletic/5681893/2024/08/05/college-football-preseason-top-25-coaches-poll/']"
