Headlines,Links,ArticleBodyText
"Nasdaq, S&P 500 end 2% higher in rally after US job.",https://www.investors.com/news/stock-market-today-stock-market-news/,"Current Recommended Market Exposure Level

STOCK MARKET TODAY

With regular updates throughout each trading session, the Stock Market Today column highlights the latest stock market news and alerts you to any changes in market trend. You'll also get ongoing analysis of the best stocks to buy and watch.

Why is the stock market up today? Why is the market down? What's the outlook for stock futures? What are the best stocks to buy right now? Is it time to sell your stocks?

Stock Market Today helps you answer those questions before the market opens, throughout each trading session and after each day's stock market close.

It's a quick and easy way to stay on top of key stock market market news and trends as they happen, and see movements in both large caps and small caps that are affecting your own portfolio.

You'll find the latest prices and price changes for the Nasdaq, S&P 500 and the Dow Jones Industrial Average, as well as for the Russell 2000.

Track Stock Futures For The Dow Jones, S&P 500 And Nasdaq

Stock Market News And Analysis

The analysis you'll find in the Stock Market Today is based on over 130 years of market history and a detailed study of every top-performing stock since the 1880s.

By tracking the market in terms of three stages — market in uptrend, uptrend under pressure and market correction — the Stock Market Today helps you stay on top of the latest stock market news while keeping any latest fluctuations in perspective to help you decide what action, if any, to take.

Bookmark this page to make sure you stay on top of all the latest action action and stock market news, and be sure to check The Big Picture after each market close for more detailed analysis and stocks to watch.

How To Handle Changing Stock Market Trends

YOU MAY ALSO LIKE:

Looking For The Best Stocks To Buy And Watch? Start With This 3-Step Routine

See Which Stocks Were Just Added To – And Removed From – IBD Stock Lists

How To Buy Stocks | Buying Checklist

When To Sell Stocks | Selling Checklist"
"Nasdaq, S&P 500 end 2% higher in rally after US job.",https://www.marketwatch.com/livecoverage/stock-market-today-s-p-500-nasdaq-futures-dive-as-buffett-dumps-apple-yen-soars,"U.S. stocks ended sharply lower on Monday as the global equities meltdown continued.

The Dow Jones Industrial Average lost 1,033.99 points, or 2.60%, to end at 38,703.27 on Monday, recording its largest point and percentage decline since Sept. 13, 2022, according to Dow Jones Market Data. The index has shed 2,139.52 points, or 5.2%, over the last three trading days — its largest three-day percentage decline since June 14, 2022.

The S&P 500 fell 160.23 points, or 3%, to finish at 5,186.33, posting its largest point and percentage decline since September 13, 2022. The index has dropped 335.97 points, or 6.1%, over the last three trading days — its largest three-day percentage decline since June 14, 2022.

The Nasdaq Composite declined 576.08 points, or 3.4%, to close at 16,200.08. It has lost 1,399.32 points, or 8%, over the last three trading days — posting its largest three-day percentage decline since June 13, 2022."
"Nasdaq, S&P 500 end 2% higher in rally after US job.",https://finance.yahoo.com/news/united-airlines-holdings-inc-nasdaq-173534023.html,"Key Insights

Given the large stake in the stock by institutions, United Airlines Holdings' stock price might be vulnerable to their trading decisions

50% of the business is held by the top 15 shareholders

Ownership research along with analyst forecasts data help provide a good understanding of opportunities in a stock

Every investor in United Airlines Holdings, Inc. (NASDAQ:UAL) should be aware of the most powerful shareholder groups. And the group that holds the biggest piece of the pie are institutions with 75% ownership. Put another way, the group faces the maximum upside potential (or downside risk).

And institutional investors endured the highest losses after the company's share price fell by 15% last week. The recent loss, which adds to a one-year loss of 27% for stockholders, may not sit well with this group of investors. Institutions or ""liquidity providers"" control large sums of money and therefore, these types of investors usually have a lot of influence over stock price movements. Hence, if weakness in United Airlines Holdings' share price continues, institutional investors may feel compelled to sell the stock, which might not be ideal for individual investors.

In the chart below, we zoom in on the different ownership groups of United Airlines Holdings.

Check out our latest analysis for United Airlines Holdings

What Does The Institutional Ownership Tell Us About United Airlines Holdings?

Many institutions measure their performance against an index that approximates the local market. So they usually pay more attention to companies that are included in major indices.

We can see that United Airlines Holdings does have institutional investors; and they hold a good portion of the company's stock. This suggests some credibility amongst professional investors. But we can't rely on that fact alone since institutions make bad investments sometimes, just like everyone does. If multiple institutions change their view on a stock at the same time, you could see the share price drop fast. It's therefore worth looking at United Airlines Holdings' earnings history below. Of course, the future is what really matters.

Institutional investors own over 50% of the company, so together than can probably strongly influence board decisions. We note that hedge funds don't have a meaningful investment in United Airlines Holdings. The Vanguard Group, Inc. is currently the largest shareholder, with 11% of shares outstanding. Meanwhile, the second and third largest shareholders, hold 9.2% and 7.2%, of the shares outstanding, respectively.

A closer look at our ownership figures suggests that the top 15 shareholders have a combined ownership of 50% implying that no single shareholder has a majority.

While it makes sense to study institutional ownership data for a company, it also makes sense to study analyst sentiments to know which way the wind is blowing. There are a reasonable number of analysts covering the stock, so it might be useful to find out their aggregate view on the future.

Insider Ownership Of United Airlines Holdings

While the precise definition of an insider can be subjective, almost everyone considers board members to be insiders. Management ultimately answers to the board. However, it is not uncommon for managers to be executive board members, especially if they are a founder or the CEO.

I generally consider insider ownership to be a good thing. However, on some occasions it makes it more difficult for other shareholders to hold the board accountable for decisions.

Our data suggests that insiders own under 1% of United Airlines Holdings, Inc. in their own names. As it is a large company, we'd only expect insiders to own a small percentage of it. But it's worth noting that they own US$72m worth of shares. In this sort of situation, it can be more interesting to see if those insiders have been buying or selling.

General Public Ownership

The general public, who are usually individual investors, hold a 24% stake in United Airlines Holdings. While this size of ownership may not be enough to sway a policy decision in their favour, they can still make a collective impact on company policies.

Next Steps:

I find it very interesting to look at who exactly owns a company. But to truly gain insight, we need to consider other information, too. Case in point: We've spotted 1 warning sign for United Airlines Holdings you should be aware of.

If you are like me, you may want to think about whether this company will grow or shrink. Luckily, you can check this free report showing analyst forecasts for its future.

NB: Figures in this article are calculated using data from the last twelve months, which refer to the 12-month period ending on the last date of the month the financial statement is dated. This may not be consistent with full year annual report figures.

Have feedback on this article? Concerned about the content? Get in touch with us directly. Alternatively, email editorial-team (at) simplywallst.com.



This article by Simply Wall St is general in nature. We provide commentary based on historical data and analyst forecasts only using an unbiased methodology and our articles are not intended to be financial advice. It does not constitute a recommendation to buy or sell any stock, and does not take account of your objectives, or your financial situation. We aim to bring you long-term focused analysis driven by fundamental data. Note that our analysis may not factor in the latest price-sensitive company announcements or qualitative material. Simply Wall St has no position in any stocks mentioned."
"Nasdaq, S&P 500 end 2% higher in rally after US job.",https://simplywall.st/stocks/us/software/nasdaq-domo/domo/news/domo-incs-nasdaqdomo-business-and-shares-still-trailing-the,"With a price-to-sales (or ""P/S"") ratio of 0.9x Domo, Inc. ( ) may be sending very bullish signals at the moment, given that almost half of all the Software companies in the United States have P/S ratios greater than 4.2x and even P/S higher than 11x are not unusual. Nonetheless, we'd need to dig a little deeper to determine if there is a rational basis for the highly reduced P/S.

What Does Domo's Recent Performance Look Like?

With revenue growth that's inferior to most other companies of late, Domo has been relatively sluggish. The P/S ratio is probably low because investors think this lacklustre revenue performance isn't going to get any better. If you still like the company, you'd be hoping revenue doesn't get any worse and that you could pick up some stock while it's out of favour.

Do Revenue Forecasts Match The Low P/S Ratio?

Want the full picture on analyst estimates for the company? Then our will help you uncover what's on the horizon.

Domo's P/S ratio would be typical for a company that's expected to deliver very poor growth or even falling revenue, and importantly, perform much worse than the industry.

Retrospectively, the last year delivered virtually the same number to the company's top line as the year before. Although pleasingly revenue has lifted 44% in aggregate from three years ago, notwithstanding the last 12 months. So while the company has done a solid job in the past, it's somewhat concerning to see revenue growth decline as much as it has.

Turning to the outlook, the next year should bring diminished returns, with revenue decreasing 2.0% as estimated by the five analysts watching the company. That's not great when the rest of the industry is expected to grow by 22%.

With this information, we are not surprised that Domo is trading at a P/S lower than the industry. Nonetheless, there's no guarantee the P/S has reached a floor yet with revenue going in reverse. Even just maintaining these prices could be difficult to achieve as the weak outlook is weighing down the shares.

What We Can Learn From Domo's P/S?

Typically, we'd caution against reading too much into price-to-sales ratios when settling on investment decisions, though it can reveal plenty about what other market participants think about the company.

As we suspected, our examination of Domo's analyst forecasts revealed that its outlook for shrinking revenue is contributing to its low P/S. As other companies in the industry are forecasting revenue growth, Domo's poor outlook justifies its low P/S ratio. Unless there's material change, it's hard to envision a situation where the stock price will rise drastically.

You should always think about risks. Case in point, we've spotted you should be aware of, and 1 of them makes us a bit uncomfortable.

If you're unsure about the strength of Domo's business, why not explore for some other companies you may have missed.

New: Manage All Your Stock Portfolios in One Place We've created the ultimate portfolio companion for stock investors, and it's free. • Connect an unlimited number of Portfolios and see your total in one currency

• Be alerted to new Warning Signs or Risks via email or mobile

• Track the Fair Value of your stocks

Try a Demo Portfolio for Free

Have feedback on this article? Concerned about the content? Get in touch with us directly. Alternatively, email editorial-team (at) simplywallst.com.



This article by Simply Wall St is general in nature. We provide commentary based on historical data and analyst forecasts only using an unbiased methodology and our articles are not intended to be financial advice. It does not constitute a recommendation to buy or sell any stock, and does not take account of your objectives, or your financial situation. We aim to bring you long-term focused analysis driven by fundamental data. Note that our analysis may not factor in the latest price-sensitive company announcements or qualitative material. Simply Wall St has no position in any stocks mentioned."
"Nasdaq, S&P 500 end 2% higher in rally after US job.",https://www.cbsnews.com/news/stock-market-up-today-dow-jones-s-p-500-nasdaq-federal-reserve/,"Stocks in the the U.S. rebounded on Tuesday as financial markets regained their footing after a sharp selloff on Monday.

The Dow Jones Industrial Average, which fell more than 1,000 points yesterday, rose 294 points, or 0.8%, to closed at 38,998, while the S&P 500 gained 1% after suffering its worst one-day plunge in more than two years. The tech-heavy Nasdaq Composite also climbed 1%.

The steadier trading followed three days of market turmoil sparked by signs the U.S. economy is slowing and concerns that the Federal Reserve has waited too long to cut interest rates. Based on that economic data, Wall Street now expects the Fed to cut rates more deeply in September than they had previously, and to usher in more cuts throughout 2024.

""The recovery in equities so far today has lightened the mood,"" analysts with Capital Economics said in a report on Tuesday. ""[T]he risks of a 'hard landing' have risen but one is still not the base case, not least because the Fed will probably start easing monetary policy fairly soon.""

All economists surveyed by financial data company FactSet now expect the Fed to cut its benchmark rate by 0.5 percentage points at its September 17-18 meeting, or double prior forecasts for a 0.25 percentage point cut.

Sentiment was also helped by a report Monday by the Institute for Supply Management that said growth for U.S. services businesses was a touch stronger than expected, led by the arts, entertainment and recreation sectors, along with accommodations and food services.

The U.S. economy is still growing, and most economists don't expect recession. The U.S. stock market is still up a healthy amount for the year, with double-digit percentage gains for the S&P 500, the Dow and the Nasdaq.

What hurt stocks?

The stock market rout began on Thursday after weak reports on manufacturing and construction, which stoked fears the U.S. economy may finally be buckling under the pressure of high interest rates. Then on Friday, investors were further spooked by a monthly jobs report that was far weaker than expected, fueling Wall Street's anxiety that the U.S. could be heading for a recession.

Other catalyts also led investors to sell, including a view that some large technology players were overvalued. Although tech companies' earnings have been solid this year, they haven't wowed investors.

Nvidia, the chip company whose technology powers artificial intelligence, shed 23% of its value between July 31 and August 5. Its shares rebounded $3.80, or 3.8%, to $104.25 Tuesday.

Markets have romped to dozens of all-time highs this year, in part due to a frenzy around artificial intelligence technology, and critics have been saying prices looked too expensive.

Other worries also are weighing on the market, with investors fretting that the Israel-Hamas war and other global hotspots could cause sharp swings for the price of oil.

Despite Tuesday's rebound, some Wall Street analysts warn there could be more volatility. Barry Bannister, chief equity strategist at Stifel, is warning more drops could be ahead because of a slowing U.S. economy and sticky inflation. He had been predicting a coming ""correction"" in U.S. stock prices for a while, including an acknowledgement in July that his initial call was early. That was two days before the S&P 500 set its latest all-time high and then began sinking.

—With reporting by the Associated Press."
"Nasdaq, S&P 500 end 2% higher in rally after US job.",https://fortune.com/2024/08/05/stock-market-crash-nearly-everything-sinking-sp500-dow-nasdaq-japan-worst-1987/,"A scary Monday that started with a plunge abroad reminiscent of 1987’s crash swept around the world and pummeled Wall Street with more steep losses, as fears worsened about a slowing U.S. economy.

The S&P 500 dropped 3% for its worst day in nearly two years. The Dow Jones Industrial Average reeled by 1,033 points, or 2.6%, while the Nasdaq composite slid 3.4%.

The drops were the latest in a global sell-off that began last week. Japan’s Nikkei 225 helped begin Monday by plunging 12.4% for its worst day since the Black Monday crash of 1987.

It was the first chance for traders in Tokyo to react to Friday’s report showing U.S. employers slowed their hiring last month by much more than economists expected. That was the latest piece of data on the U.S. economy to come in weaker than expected, and it’s all raised fear the Federal Reserve has pressed the brakes on the U.S. economy by too much for too long through high interest rates in hopes of stifling inflation.

Professional investors cautioned that some technical factors could be amplifying the action in markets, and that the drops may be overdone, but the losses were still neck-snapping. South Korea’s Kospi index careened 8.8% lower, and bitcoin dropped below $54,000 from more than $61,000 on Friday.

Even gold, which has a reputation for offering safety during tumultuous times, slipped about 1%.

That’s in part because traders began wondering if the damage has been so severe that the Federal Reserve will have to cut interest rates in an emergency meeting, before its next scheduled decision on Sept. 18. The yield on the two-year Treasury, which closely tracks expectations for the Fed, briefly sank below 3.70% during the morning from 3.88% late Friday and from 5% in April. It later recovered and pulled back to 3.89%.

“The Fed could ride in on a white horse to save the day with a big rate cut, but the case for an inter-meeting cut seems flimsy,” said Brian Jacobsen, chief economist at Annex Wealth Management. “Those are usually reserved for emergencies, like COVID, and an unemployment rate of 4.3% doesn’t really seem like an emergency.”

Of course, the U.S. economy is still growing, the U.S. stock market is still up a healthy amount for the year and a recession is far from a certainty. The Fed has been clear about the tightrope it began walking when it started hiking rates sharply in March 2022: Being too aggressive would choke the economy, but going too soft would give inflation more oxygen and hurt everyone.

Goldman Sachs economist David Mericle sees a higher chance of a recession within the next 12 months following Friday’s jobs report. But he still sees only a 25% probability of that, up from 15%, in part “because the data look fine overall” and he does not “see major financial imbalances.”

Some of Wall Street’s recent declines may simply be air coming out of a stock market that romped to dozens of all-time highs this year, in part on a frenzy around artificial-intelligence technology. Critics have been saying for a while that the stock market looked expensive after prices rose faster than corporate profits.

“Markets tend to move higher like they’re climbing stairs, and they go down like they’re falling out a window,” according to JJ Kinahan, CEO of IG North America. He chalks much of the recent worries to euphoria around AI subsiding, with pressure rising on companies to show how AI is turning into profits, and “a market that was ahead of itself.”

The only way for stocks to look less expensive is either for prices to fall or for their profits to strengthen. Expectations are still high for the latter, with growth for S&P 500 profits this past quarter looking to be the strongest since 2021.

Professional investors also pointed to the Bank of Japan’s move last week to raise its main interest rate from nearly zero. Such a move helps boost the value of the Japanese yen, but it could also force traders to scramble out of deals where they borrowed money for virtually no cost in Japan and invested it elsewhere around the world.

Treasury yields also pared their losses Monday after a report said growth for U.S. services businesses was a touch stronger than expected. Growth was led by arts, entertainment and recreation businesses, along with accommodations and food services, according to the Institute for Supply Management.

Still, stocks of companies whose profits are most closely tied to the economy’s strength took sharp losses on the fears about a slowdown. The small companies in the Russell 2000 index dropped 3.3%, washing out what had been a revival for it and other beaten-down areas of the market.

Making things worse for Wall Street, Big Tech stocks tumbled as the market’s most popular trade for much of this year continued to unravel. Apple, Nvidia and a handful of other Big Tech stocks known as the “ Magnificent Seven ” had propelled the S&P 500 to record after record this year, even as high interest rates weighed down much of the rest of the stock market.

But Big Tech’s momentum turned last month on worries investors had taken their prices too high and expectations for future growth are becoming too difficult to meet. A set of underwhelming profit reports that began with updates from Tesla and Alphabet added to the pessimism and accelerated the declines.

Apple fell 4.8% Monday after Warren Buffett’s Berkshire Hathaway disclosed that it had slashed its ownership stake in the iPhone maker.

Nvidia, the chip company that’s become the poster child of Wall Street’s AI bonanza, fell even more, 6.4%. Analysts cut their profit forecasts over the weekend for the company after a report from The Information said Nvidia’s new AI chip is delayed. The recent selling has trimmed Nvidia’s gain for the year to nearly 103% from 170% in the middle of June.

Another Big Tech titan, Alphabet, fell 4.4% after a U.S. judge ruled Google’s search engine has been illegally exploiting its dominance to squash competition and stifle innovation.

All told, the S&P 500 fell 160.23 points to 5,186.33. The Dow sank 1,033.99 to 38,703.27, and the Nasdaq composite tumbled 576.08 to 16,200.08.

Worries outside corporate profits, interest rates and the economy are also weighing on the market. The Israel-Hamas war may be worsening, which beyond its human toll could cause sharp swings for the price of oil. That’s adding to broader worries about potential hotspots around the world, while upcoming U.S. elections could further scramble things.

Wall Street has been concerned about how policies coming out of November could impact markets, but the sharp swings for stock prices could affect the election itself.

The threat of a recession is likely to put Vice President Kamala Harris on the defensive. But slower growth could also further reduce inflation and force former President Donald Trump to pivot from his current focus on higher prices to outlining ways to revive the economy.

“It comes down to jobs,” said Quincy Krosby, chief global strategist for LPL Financial. Jobs drive spending by U.S. consumers, which in turn is the biggest part of the U.S. economy.

“When we get to election day, the unemployment rate is going to be extremely important.”"
"Nasdaq, S&P 500 end 2% higher in rally after US job.",https://finance.yahoo.com/news/hillman-solutions-corp-nasdaq-hlmn-102826504.html,"With its stock down 7.7% over the past week, it is easy to disregard Hillman Solutions (NASDAQ:HLMN). However, stock prices are usually driven by a company’s financials over the long term, which in this case look pretty respectable. Specifically, we decided to study Hillman Solutions' ROE in this article.

Return on Equity or ROE is a test of how effectively a company is growing its value and managing investors’ money. In short, ROE shows the profit each dollar generates with respect to its shareholder investments.

View our latest analysis for Hillman Solutions

How Is ROE Calculated?

ROE can be calculated by using the formula:

Return on Equity = Net Profit (from continuing operations) ÷ Shareholders' Equity

So, based on the above formula, the ROE for Hillman Solutions is:

0.5% = US$6.0m ÷ US$1.2b (Based on the trailing twelve months to June 2024).

The 'return' is the yearly profit. Another way to think of that is that for every $1 worth of equity, the company was able to earn $0.01 in profit.

What Is The Relationship Between ROE And Earnings Growth?

Thus far, we have learned that ROE measures how efficiently a company is generating its profits. We now need to evaluate how much profit the company reinvests or ""retains"" for future growth which then gives us an idea about the growth potential of the company. Assuming everything else remains unchanged, the higher the ROE and profit retention, the higher the growth rate of a company compared to companies that don't necessarily bear these characteristics.

Hillman Solutions' Earnings Growth And 0.5% ROE

It is quite clear that Hillman Solutions' ROE is rather low. Even compared to the average industry ROE of 14%, the company's ROE is quite dismal. Despite this, surprisingly, Hillman Solutions saw an exceptional 46% net income growth over the past five years. We believe that there might be other aspects that are positively influencing the company's earnings growth. For example, it is possible that the company's management has made some good strategic decisions, or that the company has a low payout ratio.

As a next step, we compared Hillman Solutions' net income growth with the industry, and pleasingly, we found that the growth seen by the company is higher than the average industry growth of 11%.

Earnings growth is a huge factor in stock valuation. The investor should try to establish if the expected growth or decline in earnings, whichever the case may be, is priced in. Doing so will help them establish if the stock's future looks promising or ominous. One good indicator of expected earnings growth is the P/E ratio which determines the price the market is willing to pay for a stock based on its earnings prospects. So, you may want to check if Hillman Solutions is trading on a high P/E or a low P/E, relative to its industry.

Story continues

Is Hillman Solutions Efficiently Re-investing Its Profits?

Given that Hillman Solutions doesn't pay any regular dividends to its shareholders, we infer that the company has been reinvesting all of its profits to grow its business.

Summary

On the whole, we do feel that Hillman Solutions has some positive attributes. With a high rate of reinvestment, albeit at a low ROE, the company has managed to see a considerable growth in its earnings. We also studied the latest analyst forecasts and found that the company's earnings growth is expected be similar to its current growth rate. Are these analysts expectations based on the broad expectations for the industry, or on the company's fundamentals? Click here to be taken to our analyst's forecasts page for the company.

Have feedback on this article? Concerned about the content? Get in touch with us directly. Alternatively, email editorial-team (at) simplywallst.com.



This article by Simply Wall St is general in nature. We provide commentary based on historical data and analyst forecasts only using an unbiased methodology and our articles are not intended to be financial advice. It does not constitute a recommendation to buy or sell any stock, and does not take account of your objectives, or your financial situation. We aim to bring you long-term focused analysis driven by fundamental data. Note that our analysis may not factor in the latest price-sensitive company announcements or qualitative material. Simply Wall St has no position in any stocks mentioned."
"Nasdaq, S&P 500 end 2% higher in rally after US job.",https://www.investors.com/research/stock-market-data-dow-jones-sp-500-nasdaq-spdr-etfs/,"Check the current stock market data, including prices and performance of the Dow Jones Industrial Average, S&P 500, Nasdaq and the Russell 2000. Plus, track the SPDR ETFs, CBOE Volatility Index (VIX), 10-year Treasury yield, oil and gold.

↑ X Stock Market Outlook For 2021 See All Videos NOW PLAYING Stock Market Outlook For 2021

But to make money in the stock market, you need to go beyond just the raw numbers. Based on a unique study of over 130 years of market history, IBD gives you a proven investing strategy that identifies the seven traits of winning stocks. You'll also find exclusive stock lists that highlight companies showing those same characteristics right now.

You can quickly build your watch list and apply the IBD strategy using a simple 3-step investing routine that helps you (1) see if it's time to get into or out of the market, (2) identify the best stocks to buy and track, and (3) see the right time to buy and sell your stocks.

Using this routine regularly will help you stay on top of emerging and changing trends in the overall stock market, as well as leading stocks. This approach is particularly helpful during earnings season, which come around every quarter (i.e., every three months). It's a good way to stay on top of the earnings calendar to see when notable companies are set to report and help build your own action plan for stocks about to report.

Current Stock Market Data: Dow Jones, S&P 500, Nasdaq, Russell 2000

How is the Dow Jones trading today? How is the performance of the Nasdaq and S&P 500? Check the charts below to get the current stock market data, updating throughout each trading day.

Get Free IBD Newsletters: Market Prep | Tech Report | How To Invest

Get the free IBD Market Prep newsletter to see stocks to watch and market news.

SPDR ETFs: Sectors

See which industry sectors are performing best and look for sector rotation by tracking the 11 sector SPDR ETFs.

Use IBD Sector Leaders to find stocks showing exceptional sector leadership.

Market Volatility, 10-Year Treasury Yield, Oil & Gold Prices

Wall Street pays close attention to market volatility and changes in the 10-year Treasury yield, as well as fluctuations in oil and gold prices. Use the charts below to track each of these key factors.

Check psychological market indicators for more info on current investor sentiment.

YOU MAY ALSO LIKE:

Looking For Potential Breakout Stocks? Start With These S&P 500-Beating Lists

Find The Best Stocks To Buy And Track

Learn How To Invest: Buying Stocks | Selling Stocks | Market Timing | Stock Charts"
"Nasdaq, S&P 500 end 2% higher in rally after US job.",https://simplywall.st/stocks/us/healthcare/nasdaq-hstm/healthstream/news/healthstream-incs-nasdaqhstm-shareholders-might-be-looking-f,"When close to half the companies in the United States have price-to-earnings ratios (or ""P/E's"") below 17x, you may consider HealthStream, Inc. ( ) as a stock to avoid entirely with its 47.4x P/E ratio. Nonetheless, we'd need to dig a little deeper to determine if there is a rational basis for the highly elevated P/E.

HealthStream certainly has been doing a good job lately as its earnings growth has been positive while most other companies have been seeing their earnings go backwards. It seems that many are expecting the company to continue defying the broader market adversity, which has increased investors’ willingness to pay up for the stock. If not, then existing shareholders might be a little nervous about the viability of the share price.

Is There Enough Growth For HealthStream?

Want the full picture on analyst estimates for the company? Then our will help you uncover what's on the horizon.

There's an inherent assumption that a company should far outperform the market for P/E ratios like HealthStream's to be considered reasonable.

If we review the last year of earnings growth, the company posted a terrific increase of 39%. Pleasingly, EPS has also lifted 124% in aggregate from three years ago, thanks to the last 12 months of growth. Therefore, it's fair to say the earnings growth recently has been superb for the company.

Turning to the outlook, the next year should generate growth of 1.1% as estimated by the six analysts watching the company. Meanwhile, the rest of the market is forecast to expand by 15%, which is noticeably more attractive.

In light of this, it's alarming that HealthStream's P/E sits above the majority of other companies. It seems most investors are hoping for a turnaround in the company's business prospects, but the analyst cohort is not so confident this will happen. There's a good chance these shareholders are setting themselves up for future disappointment if the P/E falls to levels more in line with the growth outlook.

The Key Takeaway

It's argued the price-to-earnings ratio is an inferior measure of value within certain industries, but it can be a powerful business sentiment indicator.

Our examination of HealthStream's analyst forecasts revealed that its inferior earnings outlook isn't impacting its high P/E anywhere near as much as we would have predicted. When we see a weak earnings outlook with slower than market growth, we suspect the share price is at risk of declining, sending the high P/E lower. This places shareholders' investments at significant risk and potential investors in danger of paying an excessive premium.

Many other vital risk factors can be found on the company's balance sheet. Take a look at our with six simple checks on some of these key factors.

It's important to make sure you look for a great company, not just the first idea you come across. So take a peek at this free

Valuation is complex, but we're here to simplify it. Discover if HealthStream might be undervalued or overvalued with our detailed analysis, featuring fair value estimates, potential risks, dividends, insider trades, and its financial condition. Access Free Analysis

Have feedback on this article? Concerned about the content? Get in touch with us directly. Alternatively, email editorial-team (at) simplywallst.com.



This article by Simply Wall St is general in nature. We provide commentary based on historical data and analyst forecasts only using an unbiased methodology and our articles are not intended to be financial advice. It does not constitute a recommendation to buy or sell any stock, and does not take account of your objectives, or your financial situation. We aim to bring you long-term focused analysis driven by fundamental data. Note that our analysis may not factor in the latest price-sensitive company announcements or qualitative material. Simply Wall St has no position in any stocks mentioned."
"Nasdaq, S&P 500 end 2% higher in rally after US job.",https://www.cbsnews.com/news/stock-market-today-dow-jones-s-p-500-down/,"Stocks in the U.S. plunged for a third consecutive trading day, with the Dow Jones Industrial Average tumbling more than 1,000 points amid growing fears of an economic downturn sparked by a slowdown in hiring and consumer spending.

The S&P 500 slid 160 points, or 3%, to 5,186 on Monday, the index's biggest one-day drop in nearly two years, according to FactSet. The tech-heavy Nasdaq Composite sank 3.4% as investors fled some of the Big Tech players that until recently had powered the U.S. market higher — Apple shed 4.8%, while Meta and Nvidia, fell 2.5% and 6.4%, respectively.

The Dow Jones Industrial Average tumbled 1,034 points, shedding 2.6% of its value. Earlier in the day, it had lost as more than 1,200 points, but the markets regained some of their early losses as Wall Street digested Monday data from the Institute for Supply Management (ISM) Services index, which showed that service employment picked up in July.

""The details of the ISM report were encouraging, with business activity, new orders and employment all rebounding markedly in July,"" Oxford Economics said in a Monday research note. The report ""aligns with our view of an economy in transition rather than one on the brink of collapse.""

Even with Monday's rout, U.S. stocks still remain in positive territory this year. The S&P 500 has gained 9.4% in 2024, even after including its recent slide, while the Dow remains up by 2.6%.

What's driving down stocks

Stocks lost ground on Thursday after weak reports on manufacturing and construction, which stoked fears the U.S. economy may finally be buckling under the pressure of high interest rates.

Then on Friday, government data showed that hiring last month was far weaker than expected, adding to Wall Street's fears that a ""soft landing,"" in which the U.S. economy could avoid a recession despite the highest interest rates in 23 years, could instead become a hard landing.

""The main factor that has staying power is the economy's slowdown,"" wrote Wells Fargo head of global investment strategy Paul Christopher in a report. ""Investors have been watching household financial stress build for the past two years, but during that time, job growth remained above its December 2009-December 2019 average of 180,000 new jobs per month.""

But Friday's jobs report showed that employers added only 114,000 new jobs last month, far fewer than the 175,000 jobs expected by economists, he noted.

Tech stocks have been hit particularly hard in recent weeks as investors pull back from artificial intelligence companies amid questions about when the emerging sector will deliver profits.

""It has been a tough few weeks for the AI group as earnings were reported,"" analysts with Melius Research wrote. 'Microsoft, Meta, Google and Amazon were all asked about payoffs from AI investments. While pretty clear that they all need to keep spending, the market remains skeptical of the pace.""

The market rout extended to Asian and European markets, with Japan's benchmark stock index plunging 12.4% on Monday. The Nikkei had dropped 5.8% on Friday, making this its worst two-day decline ever.

Stocks in Korea and Taiwan also fell sharply, with all three Asian markets damaged as investors pull back from companies focused on artificial intelligence out of concern the sector has been overhyped.

When will the Fed cut rates?

With the disappointing economic data, Wall Street is worried the Federal Reserve may have kept its benchmark interest rate too high for too long, heightening the risk of a recession. The central bank kept the federal funds rate unchanged when it met on July 31 to discuss economic conditions and whether and when it should begin cutting rates.

A rate cut would make it less expensive for U.S. households and companies to borrow money, but it could take time for the effects to boost the economy. On Monday, some investors called for the Fed to start cutting rates sooner rather than later to stave off an economic downturn.

""The Federal Reserve needs to start easing monetary policy more aggressively than had been anticipated, in order to head off a looming recession in the world's largest economy,"" said Nigel Green, CEO of deVere Group, an independent financial advisory and asset management firm, in an email. ""The Fed was behind the curve at the beginning of the cycle, it cannot afford to be behind the curve this time too.""

Economists still don't expect a recession

Although worries over weakness in the U.S. economy and volatile markets have rippled around the world, domestic economic activity remains solid, with many analysts saying that a recession remains unlikely. Stephen Brown, deputy chief North America economist with Capital Economics, still expects a soft landing, while acknowledging that the risk of a sharper downturn is rising.

The economy has accelerated this year, with the nation's gross domestic product jumping to 2.8% in the second quarter, blowing past forecasts. A recession is typically marked by two consecutive quarters of negative GDP. And although July's jobs report was disappointing, analysts point out that it reflects just one month of data, while also noting that the depressed hiring figures in July could have also been impacted by Hurricane Beryl.

""It can be a mistake to read too much into a single data release,"" noted Solita Marcelli, chief investment officer Americas at UBS Global Wealth Management, told investors in a research note. ""The number of people who reported being unable to work [in July] due to the weather was 436,000; this compares to an average of 33,000 for July since 2000.""

contributed to this report."
