Headlines,Links,ArticleBodyText
Trump says he has agreed to offer ABC News to debate Harris.,https://apnews.com/article/trump-harris-news-conference-florida-election-2024-94b590ddf0434d9ea7b1241396dbbcc6,"The latest: Follow AP for live coverage of the 2024 election and Trump’s news conference

PALM BEACH, Fla. (AP) — Donald Trump recommitted to debating Vice President Kamala Harris after recently backing out, holding a lengthy news conference Thursday in which he taunted his new rival, boasted of his crowd on Jan. 6, 2021, and lashed out at questions about the enthusiasm her campaign has been generating.

As the Republican presidential nominee addressed reporters at his Palm Beach, Florida, estate, ABC announced that Trump and Harris, the Democratic nominee, have agreed to a Sept. 10 debate, setting up a widely anticipated faceoff in an already unparalleled election. Trump said he had proposed three debates with three television networks in September.

Trump again insisted there had been a “peaceful transfer” of power in 2021 and renewed attacks on Republican rivals like Georgia Gov. Brian Kemp, whom Trump has harshly criticized since Kemp refused to go along with his false theories of election fraud.

In taking questions from reporters for more than an hour, Trump tried to draw a contrast with Harris, who has not held a news conference since she became the likely Democratic nominee following President Joe Biden’s withdrawal from the race.

Another key moment in the election is set

Trump’s decision to go on ABC, days after posting on his social media account that he would not appear on the network, sets up a highly anticipated moment in an election where Biden’s catastrophic performance in the last debate set in motion his withdrawal.

“I think it’s very important to have debates,” Trump said Thursday. “I look forward to the debates because I think we have to set the record straight.”

A few hours after the news conference, Harris wrote on X that she heard Trump “has finally committed” to debate her on ABC on Sept. 10, the date her campaign has long stuck to.

“I look forward to it,” she wrote.

Thursday’s event was Trump’s first public appearance since Harris selected Minnesota Gov. Tim Walz as her running mate. Trump called Walz a “radical left man.”

“Between her and him, there’s never been anything like this,” Trump said. “There’s certainly never been anybody so liberal like these two.”

He repeatedly suggested Harris was not intelligent enough to debate him. Harris, for her part, has tried to goad Trump into debating and told an audience in Atlanta recently that if he had anything to say about her, he should "" say it to my face.”

Trump grew visibly perturbed when pressed on Harris’ crowds and newfound Democratic enthusiasm, dismissing a question about his lighter campaign schedule as stupid.

Trump says he has not “recalibrated” his campaign despite facing a new opponent, a dynamic some Republican strategists have quietly complained about.

When asked what assets Harris possessed, Trump said: “She’s a woman. She represents certain groups of people.”

Trump has repeatedly — and falsely — accused Harris, the daughter of Jamaican and Indian immigrants, of previously downplaying that she is Black.

Trump acknowledges weakness with Black women

Trump recognized some changing patterns with his new opponent, acknowledging he may not be as popular with Black women, one of Democrats’ key voting blocs. He expressed a lot of confidence in his support from Black men.

“It could be I’ll be affected somewhat with Black females but we’re really doing well,” he said. “And I think ultimately they’ll like me better because I’m going to give them security, safety and jobs. I’m going to give them a good economy.”

What to know about the 2024 Election

Today’s news: Follow live updates

Ground Game: Sign up for AP’s weekly politics newsletter

AP’s Role: The Associated Press is the most trusted source of information on election night, with a history of accuracy dating to 1848. Learn more.



Trump campaign officials told reporters ahead of the news conference they believe Harris is currently enjoying a honeymoon period they likened to an “out-of-body experience.”

They argued the fundamentals of the race have not changed and the mood of the country remains sour, with Americans frustrated by the state of the economy, the administration and the country’s directions.

They argued that while Harris has energized the Democratic base — which Biden had not done — she will not be able to win over Republicans or convert independents or the persuadable voters they are focused on targeting.

Trump’s campaign plans to spend the next three months hammering Harris as “failed, weak and dangerously liberal,” blaming her for every one of the the Biden administration’s unpopular policies and mocking her mannerisms and speaking style.

Trump takes questions about abortion

Trump suggested abortion will not be a major issue in the campaign and the outcome in November.

He insisted that the matter “has become much less of an issue” since the Supreme Court ended the federal constitutional right to abortion services and returned control of the matter to state governments. But the issue is widely seen as a general election liability, and Trump named states such as Ohio and Kansas that have since voted to protect abortion rights.

Trump also said he expected Florida “will go in a little more liberal way than people thought” when it votes to repeal an abortion ban later this year, but he did not respond to questions asking how he would vote.

Trump argued that Democrats, Republicans and “everybody” are pleased with the results of the 2022 ruling that overturned the 1973 Roe v. Wade decision.

Trump’s actions within the GOP, however, suggest he knows that Democrats already have capitalized on Republican opposition to abortion rights and could do so again this fall. Trump single-handedly ensured that the Republican Party platform adopted at the 2024 convention in Milwaukee does not call for a national ban on abortion, and he has said repeatedly that hardliners in the party could cost the GOP in November.

The court’s decision, issued months ahead of the 2022 midterm elections, is widely cited as a reason that Democrats fared much better than expected in House and Senate contests. And Democrats have hammered Trump in paid advertisements blaming him and the justices he appointed for ending Roe.

Trump again makes false claims on Jan. 6

Donald Trump falsely claimed during the press conference that “nobody was killed on Jan. 6,” the date in 2021 when pro-Trump rioters breached the U.S. Capitol amid Congress’ effort to certify Biden’s 2020 election victory after Trump refused to concede.

Ashli Babbitt, a 35-year-old Air Force veteran from San Diego was shot and killed by a police officer as she climbed through a broken part of a Capitol door during the violent riot that breached the building.

To be sure, Trump has often cited Babbitt’s death while lamenting the treatment of those who first attended a rally outside the White House that day, then marched to the Capitol, many of whom fought with police and entered the the building.

“I think those people were treated very badly. When you compare it to other things that took place in this country where a lot of people were killed,” Trump said Thursday, adding “nobody was killed on Jan. 6.”

He also falsely claimed more people attended his speech at a “Stop the Steal” rally before the riot than the famous March on Washington in 1963, the iconic event at which Dr. Martin Luther King Jr. gave his “I Have a Dream” speech.

Trump was asked about Biden’s comments in a CBS interview that he was “not confident” there would be a peaceful transfer of power if Trump were to lose.

“He should have brought this up at the debate if he had a problem. Of course there’ll be a peaceful transfer, and there was last time.”

While Biden was inaugurated on schedule, Washington was on lockdown that day, with the streets patrolled by military personnel and domestic police two weeks after Trump’s supporters had attacked the Capitol. ___

Associated Press writer Will Weissert in Washington contributed to this report."
Trump says he has agreed to offer ABC News to debate Harris.,https://www.nbcnews.com/politics/2024-election/live-blog/harris-trump-presidential-election-live-updates-rcna164955,"Harris, who has not done a sit-down interview with a news organization since she launched her presidential campaign, said today that she's looking to get one on the books before September.

“I’ve talked to my team. I want us to get an interview scheduled before the end of the month,” Harris told reporters on the tarmac in Michigan before she headed to Arizona.

During his news conference at Mar-a-Lago today, Trump criticized Harris for not sitting for an interview since she rocketed to the top of the Democratic ticket.

""She hasn't done an interview. She can't do an interview. She's barely competent,"" Trump said, repeating his attacks on Harris' intelligence."
Trump says he has agreed to offer ABC News to debate Harris.,https://www.pbs.org/newshour/politics/trump-and-harris-have-agreed-to-a-sept-10-presidential-debate-on-abc-network-says,"PALM BEACH, Fla. (AP) — ABC says both Donald Trump and Kamala Harris have agreed to a Sept. 10 presidential debate, setting up a face-off between the Republican and Democratic nominees.

The announcement Thursday came shortly after Trump told a news conference that he had proposed three presidential debates with three television networks, saying he agreed on certain dates in September.

WATCH: Trump holds news conference at Mar-a-Lago

Trump is rejoining the ABC debate days after posting on his social media network that he would not appear on the network, citing a lawsuit he has filed. His decision sets up a highly anticipated moment in an election where the first debate led to a massive change in the race — with Democratic President Joe Biden ending his reelection bid and endorsing Harris.

“I think it’s very important to have debates,” Trump said Thursday. “I look forward to the debates because I think we have to set the record straight.”

The Harris campaign had no immediate comment.

Trump had teased an announcement about the presidential debate earlier this week after pulling out of an ABC News debate scheduled for Sept. 10 after President Joe Biden ended his reelection campaign. Trump had said he would prefer that Fox News sponsor the debate, but on Wednesday was showing willingness to reconsider ABC.

Trump also echoed criticism from his running mate, Ohio Sen. JD Vance, that Harris has not held a news conference or sat down for interviews since Biden’s withdrawal last month and she entered the race.

Harris has a traveling press pool with her on Air Force Two for all trips. Trump does not have a set traveling press pool that regularly accompanies him on his plane when he goes out to campaign.

Vance has journalists flying with him, and he campaigned this week in states where Harris and Walz had their own events scheduled. That included on Wednesday, when Vance’s plane and Air Force Two ended up on the same tarmac in Wisconsin. Vance started walking toward the Democrats’ plane but did not reach it before a motorcade carrying Harris, Walz and the traveling press pulled away.

Associated Press writer Will Weissert in Washington contributed to this report."
Trump says he has agreed to offer ABC News to debate Harris.,https://abc7.com/post/when-is-presidential-debate-trump-says-he-has-agreed-offer-abc-news-debate-harris-sept-10/15160527/,"Trump had previously cast doubt about debating Harris on ABC.

Trump says he has agreed to offer from ABC News to debate Harris

Former President Donald Trump says he has agreed to an offer from ABC News to debate Vice President Kamala Harris on Sept. 10.

Former President Donald Trump says he has agreed to an offer from ABC News to debate Vice President Kamala Harris on Sept. 10.

Former President Donald Trump says he has agreed to an offer from ABC News to debate Vice President Kamala Harris on Sept. 10.

Former President Donald Trump says he has agreed to an offer from ABC News to debate Vice President Kamala Harris on Sept. 10.

Former President Donald Trump says he has agreed to an offer from ABC News to debate Vice President Kamala Harris on Sept. 10.

Trump said so during a news conference at his Mar-a-Lago Club on Thursday.

Harris also confirmed her participation in the debate.

Republican presidential nominee former President Donald Trump speaks to reporters at his Mar-a-Lago estate Thursday, Aug. 8, 2024, in Palm Beach, Fla. AP Photo/Alex Brandon

Trump previously said he had been willing to go toe-to-toe with President Joe Biden and agreed to ABC's first invitation issued in May.

However, after Biden dropped out of the race last month and Harris became the presumptive Democratic nominee, Trump had implied he would not debate Harris on ABC.

Harris has accused Trump of ""running scared"" and trying to back out of the debate."
Trump says he has agreed to offer ABC News to debate Harris.,https://www.cnn.com/2024/08/08/politics/trump-debate-harris-september/index.html,"CNN —

Donald Trump and Kamala Harris are set to debate on ABC on September 10 after the former president said Thursday he had agreed to the faceoff, along with two others next month.

“ABC News will host qualifying presidential candidates to debate on September 10 on ABC. Vice President Harris and former President Trump have both confirmed they will attend the ABC debate,” the network said in a statement.

Speaking at a news conference at his Mar-a-Lago resort in Florida, Trump said that he was “looking forward” to debating the vice president and that he had agreed to upcoming dates with Fox News, ABC and NBC.

“I think it’s very important to have debates, and we’ve agreed with Fox on a date of September 4. We’ve agreed with NBC. Fairly full agreement subject to them on September 10. And we’ve agreed with ABC on September 25,” the former president said.

A senior Trump adviser and an ABC source familiar with the matter both said that the correct dates Trump has agreed to with networks are: September 4 with Fox News, September 10 with ABC and September 25 with NBC.

Trump said “minor details” were still being worked out, including audience and locations.

“The other side has to agree to the terms. They may or may not agree. I don’t know if they’re going to agree. (Harris) hasn’t done an interview. She can’t do an interview. She’s barely competent, and she can’t do an interview, I look forward to the debates because I think we have to set the record straight,” he said.

Harris, who had previously agreed to the ABC debate, confirmed her participation later Thursday and said she would be “happy” to discuss a further debate.

“I’m glad that he’s finally agreed to a debate on September 10th. I’m looking forward to it, and I hope he shows up,” Harris told reporters before boarding Air Force Two in Detroit after an event with the United Auto Workers.

Asked if she would be open to the other debates mentioned by Trump, Harris said: “I’m happy to have that conversation about an additional debate for after September 10th.”

The ABC debate was originally accepted by Trump and former President Joe Biden before the latter dropped out of the race. Earlier this week, Trump had said that he would not debate Harris if she did not agree to attend the proposed Fox News debate on September 4.

An ABC source had earlier expressed confidence that the network’s debate would be the first one between Trump and the vice president, as the Harris campaign has indicated she will not agree to the Fox News debate.

A source familiar with the NBC negotiations said September 25 was “one of the dates” given to the campaigns. While the network has been in discussions with both camps, the Harris campaign has not formally accepted.

Details on location, rules and moderators will be determined closer to the debate date.

This story has been updated with additional information.

CNN’s Sam Fossum, Arlette Saenz and Alison Main contributed to this report."
Trump says he has agreed to offer ABC News to debate Harris.,https://www.nytimes.com/2024/08/08/business/media/trump-harris-abc-debate.html,"The debate is on.

Vice President Kamala Harris and former President Donald J. Trump will face off in a televised prime-time matchup on Sept. 10, ABC News said on Thursday, setting up the latest crucial moment in an already unpredictable presidential campaign.

The 90-minute debate is expected to be held in Philadelphia, according to two people with knowledge of the plans. The ABC anchors David Muir and Linsey Davis will serve as moderators. The debate will probably be held without a live audience, but the exact format and ground rules are still being determined, the people said.

In one sense, the announcement maintains the status quo: Mr. Trump agreed months ago to debate President Biden on ABC on that same date. But the Republican nominee wavered on that commitment after Mr. Biden withdrew from the race, arguing that he had not agreed to those terms with Ms. Harris.

This year’s previous debate, in June, was perhaps the most consequential in the 64-year history of televised presidential matchups. Mr. Biden’s shaky and diminished performance set off a panic among Democrats that ultimately led to the president ceding his spot atop his party’s ticket."
Trump says he has agreed to offer ABC News to debate Harris.,https://www.bbc.com/news/live/c984yz8r695t,"Thanks for joining us

Brandon Livesay

US reporter

We are wrapping up our live coverage of US politics for the day.

The main talking point has been about the first presidential debate between Kamala Harris and Donald Trump, which is set to take place on 10 September.

For a full wrap of what we know about the debate, you can read this article.

And there are plenty of other things happening on the campaign trail. Here's some further reading you can check out:

Our writers today were Mike Wendling, Rachel Looker and George Wright. The page was edited by Caitlin Wilson, Emily McGarvey and myself.

Thanks for following along."
Trump says he has agreed to offer ABC News to debate Harris.,https://www.wbal.com/trump-says-he-has-agreed-to-offer-from-abc-news-to-debate-harris/,"Spencer Platt/Getty Images

(WASHINGTON) — Former President Donald Trump says he has agreed to an offer from ABC News to debate Vice President Kamala Harris on Sept. 10.

Trump said so during a news conference at his Mar-a-Lago Club on Thursday.

Trump previously said he had been willing to go toe-to-toe with President Joe Biden and agreed to ABC’s first invitation issued in May.

However, after Biden dropped out of the race last month and Harris became the presumptive Democratic nominee, Trump had implied he would not debate Harris on ABC.

Harris has accused Trump of “running scared” and trying to back out of the debate.

This is a developing story. Please check back for updates.

Copyright © 2024, ABC Audio. All rights reserved."
Trump says he has agreed to offer ABC News to debate Harris.,https://nypost.com/2024/08/08/us-news/donald-trump-claims-to-have-accepted-three-debates-against-kamala-harris-including-abc/,"Former President Donald Trump on Thursday said he has agreed to three debates against Vice President Kamala Harris, including one hosted by ABC News that he previously cast doubt upon.

The three debates will occur Sept. 4 on Fox News, Sept. 10 on ABC and Sept. 25 on NBC, according to Trump’s team.

“So we have those three dates and those networks, they’re very anxiously awaiting that date and those dates,” Trump told reporters during a press conference in Mar-a-Lago. “We have spoken to the heads of the network and it’s all been confirmed.”

5 Former President Donald Trump said at a press conference he has agreed to three debates with Vice President Kamala Harris in September. AP Photo/Alex Brandon

5 The Trump campaign said the debates with Harris will be on Sept. 4 on Fox News, Sept. 10 on ABC and Sept. 25 on NBC. REUTERS/Erica Dischino

Harris had previously agreed to the ABC News debate and expressed her delight that Trump will square off with her there as well.

“Well, I’m glad that he’s finally agreed to a debate on September 10,” she told pool reporters Thursday.

“I am happy to have that conversation about an additional debate, or after September 10, for sure,” she added, not committing to the other debates Trump mentioned.

Prior to President Biden’s withdrawal from the 2024 race, the two campaigns agreed to a Sept. 10 debate hosted by ABC News and a yet-to-be-scheduled vice presidential debate hosted by CBS News.

“We also have CBS is going to do the vice presidential debate. So CBS will do a vice presidential. And, and I have to tell you, JD Vance has really stepped up. He’s doing a fantastic job,” Trump later added Thursday.

Trump and his running mate JD Vance (R-Ohio) had raised questions about their commitment to the ABC and CBS debates respectively.

The 45th president suggested last Friday that the ABC News debate had “been terminated.”

“I have agreed with Fox News to debate Kamala Harris on Wednesday, September 4th. The Debate was previously scheduled against Sleepy Joe Biden on ABC, but has been terminated in that Biden will no longer be a participant, and I am in litigation against ABC Network,” Trump posted on Truth Social last Friday.

A source familiar with the negotiations said that the ABC debate is expected to take place in Philadelphia and that the deliberations were led by Rick Klein and John Santucci.

Vance recently suggested that he’d be squaring off against Harris in the vice presidential debate instead of her veep, Minnesota Gov. Tim Walz (D).

5 Trump also announced that his running mate Sen. JD Vance will have a vice presidential debate on CBS News. David Rodriguez Munoz / USA TODAY NETWORK

“So here’s my offer to Kamala Harris: If she’d like to do a debate with me on August 13, I’ll do it. I don’t think she wants to anymore, because one, she probably doesn’t even know that she’s going to be the Democratic nominee,” he said.

Trump also boasted that his debate performance against Biden knocked him out of the race and cried foul at Harris replacing him.

“I’m not a fan of his. As you probably have noticed,” he chided. “He had a rough debate, but that doesn’t mean that you just take it away like that.”

5 Trump bashed Harris for not giving any interviews since becoming the Democratic nominee. AP Photo/Alex Brandon

Harris has not formally agreed to the Fox News debate and it is unclear if she agreed to the NBC debate. The Post contacted her campaign for comment.

Start and end your day informed with our newsletters Morning Report and Evening Update: Your source for today's top stories Thanks for signing up! Enter your email address Please provide a valid email address. By clicking above you agree to the Terms of Use and Privacy Policy. Never miss a story. Check out more newsletters

“We aren’t surprised Trump wouldn’t show his face, he’s ashamed of his dangerous Project 2025 agenda, is afraid to debate, and has no positive vision to present to the American people,” Harris-Walz 2024 spokesperson James Singer said in a statement Wednesday — a day before Trump’s announcement.

5 The debate between Donald Trump and President Biden last month was widely credited for the incumbent’s downfall. AFP via Getty Images

Underpinning Trump’s press conference Thursday is his campaign’s beef with Harris for answering few on-the-record questions from reporters since her ascension.

“She’s not doing a news conference. You know why? She’s not doing it because she can’t do a news conference,” Trump jabbed.

“She doesn’t know how to do a news conference. She’s not smart enough to do a news conference. And I’m sorry, we need smart people to lead this country.”"
Trump says he has agreed to offer ABC News to debate Harris.,https://time.com/7009247/donald-trump-agrees-kamala-harris-debates/,"Former President Donald Trump has agreed to participate in three presidential debates with Vice President Kamala Harris, setting up a likely confrontation between the new opponents on stage before the November election.

It’s not yet clear whether Harris will agree to all three debates Trump outlined. They have both agreed to a debate on ABC on Sept. 10. Trump also said he had agreed to appear on Fox News on Sept. 4 and NBC on Sept. 25.

“I look forward to the debates, because I think we have to set the record straight,” Trump said at a news conference on Thursday from his Mar-a-Lago home in South Florida. “I think it's very important that we have them. I hope she agrees to them… I think they'll be very revealing.” He called Harris a “bad debater.”

The Harris campaign did not respond to a request for comment.

Read More: Presidential Debates in History That Moved the Needle

Trump’s remarks come less than a week after he said he was going to pull out of the previously scheduled September debate on ABC. He claimed that his agreement “has been terminated” because he will no longer face President Joe Biden, who ended his re-election campaign last month in the wake of a disastrous debate performance against Trump. Trump also claimed the ABC debate could be a conflict of interest because he is in litigation against the network and anchor George Stephanopoulos. The Harris campaign pounced on Trump’s cancellation, framing the former President as “afraid to debate” in a series of attack ads.

""We were given Joe Biden and now we're given somebody else,” Trump said Thursday. “And I think, frankly, I'd rather be running against the somebody else.”

Trump also said Thursday that his running mate, Ohio Sen. J.D. Vance, would participate in a vice presidential debate on CBS. Minnesota Gov. Tim Walz, who was named Harris’ running mate, has previously said that he would be willing to debate Vance: ""And I gotta tell ya: I can't wait to debate this guy,"" Walz said on Aug. 6."
