Headlines,Links,ArticleBodyText
Russia says its troops are battling to push Ukrainian forces back a cross-border incursion.,https://apnews.com/article/russia-ukraine-war-kursk-fighting-sudzha-a49c55fc367bcbaed2e95e515bf99b80,"KYIV, Ukraine (AP) — Russian troops are battling to push back Ukrainian forces from the Kursk region on the third day of one of the largest cross-border incursions of the war, the Russian Defense Ministry said Thursday.

A ministry statement said the Russian military and border guards have blocked Ukrainian forces from pushing deeper into the region in southwestern Russia. It added that the army is attacking Ukrainian fighters trying to advance into the area from Ukraine’s Sumy region.

“Attempts by individual units to break through deep into the territory in the Kursk direction are being suppressed,” the ministry said.

Ukrainian troops had advanced as much as 15 kilometers (9 miles) into Russian territory, according to the Institute for the Study of War, a Washington-based think tank. The data that hasn’t been officially confirmed.

Kyiv has not commented on the incursion. In a video address to the nation late Thursday, Ukraine’s President Volodymyr Zelenskyy did not mention the fighting in the Kursk region but emphasized that “Russia brought the war to our land, and it should feel what it has done.”

“Ukrainians know how to achieve their goals,” Zelenskyy said, adding that he received three “productive reports, exactly the kind our country needs now” on Thursday from the commander of Ukraine’s armed forces, Oleksandr Syrskyi.

Russia says the military has stemmed Ukrainian advances in the border area about 500 kilometers (about 320 miles) southwest of Moscow, but military bloggers and open source data indicate Ukrainian troops have made gains in several areas in Kursk.

The Kursk region’s acting governor, Alexei Smirnov, briefed Russian President Vladimir Putin on conditions there by video link Thursday. Smirnov said the region plans to equip gas stations with electronic warfare units and to provide them with unspecified armored defense.

Kursk regional authorities reported Wednesday that at least five civilians, including two ambulance workers, were killed. Russia’s Health Ministry said 66 civilians, including nine children, have been wounded in the Kursk region in the three days of fighting.

Putin, who described the incursion as a “large-scale provocation” that involved “indiscriminate shelling of civilian buildings, residential houses and ambulances” was briefed on the situation by his top military and security officials on Wednesday.

Gen. Valery Gerasimov, the chief of the Russian military’s General Staff, told Putin via video link that about 100 Ukrainian soldiers had been killed in the battle and more than 200 others were wounded.

It wasn’t possible to independently verify the Russian claims. During the war, now in its third year, disinformation and propaganda have played a central role.

John Kirby, the White House’s national security spokesman, declined to comment on the operation and said the Biden administration has reached out to the Ukrainians to better understand the situation.

The cross-border foray would be among Ukraine’s largest since Russia launched its full-scale invasion on Feb. 24, 2022.

Kyiv’s aim could be to draw Russian reserves to the area, potentially weakening Moscow’s offensive operations in several parts of Ukraine’s eastern Donetsk region, where Russian forces have increased attacks and are advancing gradually toward operationally significant gains.

But it could risk stretching outmanned Ukrainian troops further along the front line, which is more than 1,000 kilometers (620 miles) long.

Even if Russia were to commit reserves to stabilize the new front, given its vast manpower and the relatively small number of Ukrainian forces engaged in the operation, it would likely have little long-term impact. Pulling units from the front line to stabilize the Kursk region would also be time consuming.

However, the operation could boost Ukrainian morale at a time when Kyiv’s forces are facing relentless Russian attacks, with more expected in the coming weeks.

Myhailo Podolyak, a top adviser to Zelenskyy, said Thursday that border region attacks will cause Russia to “start to realize that the war is slowly creeping inside of Russian territory.” He also suggested such an operation would improve Kyiv’s hand in the event of negotiations with Moscow.

“When will it be possible to conduct a negotiation process in the way that we can push them or get something from them? Only when the war is not going on according to their scenarios,” he said.

Several Ukrainian brigades stationed along the border region would not comment, along with Ukraine’s Defense Ministry and General Staff.

Russian forces have swiftly repelled previous cross-border incursions, but not before they caused damage and embarrassed authorities.

Responsibility for previous incursions into Russia’s Belgorod and Bryansk regions has been claimed by two murky groups: the Russian Volunteer Corps and the Freedom of Russia Legion, made up of Russian citizens and have fought alongside Ukrainian forces.

The Kursk region’s border with Ukraine is 245 kilometers (150 miles) long, making it possible for saboteur groups to launch swift incursions and capture some ground before Russia deploys reinforcements.

___

Follow AP’s coverage of the war in Ukraine at https://apnews.com/hub/russia-ukraine"
Russia says its troops are battling to push Ukrainian forces back a cross-border incursion.,https://www.bbc.com/news/articles/cm2n9y4nm3lo,"State of emergency declared as Ukraine launches raid into Russia

Reuters A damaged house following what Russian authorities called a Ukrainian military strike on the town of Sudzha

A state of emergency has been declared in the Kursk region of Russia, as a rare cross-border attack by Ukrainian troops continued on Wednesday. The acting regional governor, Alexei Smirnov, said the move was necessary ""to eliminate the consequences of enemy forces coming into the region"". Russian officials said at least five civilians had been killed and 31 wounded, six of them children, since the start of the incursion. Ukraine has not officially commented and the depth of the incursion remains unclear.

On Tuesday morning, up to 1,000 Ukrainian troops, as well as 11 tanks and more than 20 armoured combat vehicles, entered Russia near the town of Sudzha, Moscow said. Fighting reportedly took place in a number of villages throughout Tuesday, with local authorities urging residents to limit their movements and all public events cancelled. A number of air alerts were issued in Kursk and footage posted online – verified by the BBC - showed fighter jets flying low over the region, with smoke rising from areas on the ground. Thousands of people were evacuated from border areas and doctors were being drafted in from other cities, Mr Smirnov said.

Ukrainian incursions into Russian territory have been extremely rare since Russia launched its full-scale invasion in February 2022. On Wednesday evening, Ukrainian MP Oleksiy Honcharenko said the Ukrainian army had established control over the Sudzha gas hub, a major gas facility involved in the transit of natural gas from Russia to the EU via Ukraine, which has continued despite the war. It is the only point of entry for Russian gas into the EU. Although the claim has not been verified by the BBC, Mr Honcharenko's comment was the first confirmation of an incursion into Russian territory by a Ukrainian official. Mr Honcharenko said on Facebook that while he did not know what the ""plan"" behind the incursion was, it would show ""Europeans and Americans that... Russia can and needs to be attacked"". Russia's military response to the incursion will be one of Andrei Belousov's first big leadership tests as the country's new defence minister, after he replaced his long-serving predecessor Sergei Shoigu in May. Speaking to the BBC’s Newshour, Mr Honcharenko added that ""from a military point of view, we are trying to take back the initiative”. “We are showing the world that the world should not be scared of escalation or the reaction of Putin. There is no reaction,” he said. “For the first time since the Second World War, Russian territory that is internationally recognised is occupied and Putin did not [turn] to nukes and so on."" He said the incursion would also force Russia to move troops to the region and hopefully decrease the number of attacks it can carry out in eastern Ukraine. In a lukewarm reaction White House press secretary Karine Jean-Pierre said the US had no prior knowledge of the attack and that it planned to reach out to the Ukrainian military ""to learn more about their objectives"". Speaking on Wednesday, Ms Jean-Pierre said Washington will continue to ensure Kyiv has what it needs ""to defend themselves against Russia's aggression"".

‘Heavy’ fighting in Sudzha

In a televised meeting with government officials on Wednesday, Russian President Vladimir Putin accused Ukraine of launching a ""major provocation"" and ""firing indiscriminately"" at civilian buildings and residences. Russia's Chief of General Staff Valery Gerasimov said the ""advance"" into the Kursk region had been stopped, with Russian forces ""continuing to destroy the adversary in areas directly adjacent to the Russian-Ukrainian border"". Mr Gerasimov said Ukrainian forces aimed to take over the area around the town of Sudzha, and that Russia had already killed 100 men and injured another 215. However, some popular and generally well-informed pro-war Telegram channels suggested the situation on the ground was not as stable as the Kremlin said. Blogger Yuri Kotenok described the battles taking place in Sudzha and nearby Korenevo as ""heavy"", while the channel Rybar said that the situation in the area around Sudzha was ""continuing to deteriorate"" and Ukrainian formations were advancing towards the town. The BBC is unable to verify these claims. The influential pro-war Rybar Telegram channel went on to strongly criticise the highest ranks of the Russian military on Wednesday, saying that ""for two months the full information was sent to the useless headquarters"", adding that there was enough time ""to make an appropriate decision"". Rybar's concerns were echoed by several other pro-war bloggers, who are very popular with Russian readers. They often offer a more critical perspective of military developments than the Kremlin, without questioning whether or not the war is necessary. The Russian National Guard said it had strengthened the security of the Kursk nuclear power plant, which lies some 70km (43 miles) north-east of Sudzha. In its latest report, the Institute for the Study of War said geolocated footage from the past two days show that Ukrainian armoured vehicles have advanced to positions 10km into the Kursk region. In the Belgorod region, which neighbours Kursk, Governor Vyacheslav Gladkov also issued missile attack warnings throughout Tuesday and said several people had been injured in Ukrainian air attacks."
Russia says its troops are battling to push Ukrainian forces back a cross-border incursion.,https://www.aljazeera.com/news/2024/8/8/putin-accuses-ukraine-of-major-provocation-in-attack-on-russias-kursk,"State of emergency declared in southestern region amid fighting that began on Tuesday.

Russia said it has been battling a significant cross-border incursion for the third consecutive day as Ukrainian troops advance in the Kursk region.

Russia’s Ministry of Defence said on Thursday its troops were “continuing to destroy” armed Ukrainian units and were using air strikes, rocket and artillery fire to try to push them back.

It said it had rushed in reserves and was “thwarting attempts to break through” deeper into the Kursk region.

Alexey Smirnov, the region’s acting governor, said he had announced a state of emergency after pro-Ukrainian forces stormed into the region on Tuesday, deploying about 1,000 soldiers and more than two dozen armoured vehicles and tanks, according to the Russian army.

Without mentioning the Kursk attacks, Ukraine’s President Volodymyr Zelenskyy said on Wednesday: “The more pressure we put on Russia … the closer we will get to peace. A just peace through just force.”

Russian President Vladimir Putin has accused Ukraine of a “major provocation”.

The Institute for the Study of War (ISW) said Ukrainian troops have advanced up to 10km (6 miles) inside Russia in possibly the most serious border incursion of the conflict.

“The current confirmed extent and location of Ukrainian advances in Kursk Oblast indicate that Ukrainian forces have penetrated at least two Russian defensive lines and a stronghold,” the think tank based in Washington, DC said in its latest update that geolocated footage.

The troops appeared to be trying to advance along the Sudzha-Korenovo highway, it added.

The advance has centred on the logistical hub of Sudzha, a town of about 5,000 inhabitants located 8km (5 miles) from the Ukrainian border.

The Ministry of Health said 31 civilians, including six children, had been injured on Wednesday. Smirnov said the day before that five people had been killed as Ukrainian troops backed by tanks and armoured vehicles breached the border.

Russia did not provide any information on military casualties.

Witnesses interviewed on Russian television said they had fled border areas in cars under drone fire. A priest in Sudzha, Evgeny Shestopalov, said in a video shared by Russian media, that the town was “on fire” and that residents unable to evacuate had taken shelter in his church.

The General Staff of the Armed Forces of Ukraine did not mention the incursion in its daily battlefield update on Wednesday. In a late evening report, it said fighting had intensified in the Sumy region, where authorities have evacuated about 6,000 people.

It said Russian forces had deployed aircraft, helicopters and heavy weapons in the area, “but made no headway and suffered significant losses”.

An aide to Ukraine’s presidential office on Thursday blamed Moscow for the Ukrainian incursion into Russia, without taking direct responsibility for the most serious attack on Russian territory in months.

“The root cause of any escalation, shelling, military actions, forced evacuations and destruction of normal life forms – including within the Russian Federation’s own territories like Kursk and Belgorod regions – is solely Russia’s unequivocal aggression,” presidential aide Mykhailo Podolyak said on social media.

The root cause of any escalation, shelling, military actions, forced evacuations, and destruction of normal life forms, including within Rf’s own territories like #Kursk and Belgorod regions, is solely Russia’s unequivocal aggression. This includes attempts to seize foreign… — Михайло Подоляк (@Podolyak_M) August 8, 2024

White House spokeswoman Karine Jean-Pierre said the United States was seeking an understanding from Ukraine on the incursion, and said it had had no advance knowledge of it.

US National Security Council spokesman John Kirby stressed that Washington had not changed its policy on Ukraine’s use of US-supplied weaponry, which could be used only “to target imminent threats just across the border”.

Zelesnkyy posted on X that he had met with a bipartisan delegation of the US House of Representatives to discuss air defence and ways to stop “any attempts by Russia to prolong this war”.

In a separate post, he also said that “F-16s are already in Ukrainian skies, and there will be more”.

US-made F-16 fighter jets had been long sought after by Ukraine to protect its skies against Russian missiles.

The battles around Sudzha come as Russia announced advances along the front line in Ukraine’s east and claims to have taken 420 square kilometres (162 square miles) of territory from Ukrainian forces since June 14.

Russia began its full-scale invasion of Ukraine in February 2022.

Pro-Ukrainian forces, including units of Russians fighting on Ukraine’s side, such as the Russian Volunteer Corps and the Freedom of Russia Legion, have made several brief incursions into Russia since then."
Russia says its troops are battling to push Ukrainian forces back a cross-border incursion.,https://www.wdrb.com/news/national/russia-says-its-troops-are-battling-to-push-ukrainian-forces-back-a-cross-border-incursion/article_6f084ff2-dbe5-519c-9e02-9b8c44a609f6.html,"Copyright 2024 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed without permission."
Russia says its troops are battling to push Ukrainian forces back a cross-border incursion.,https://www.newspressnow.com/news/world_news/russia-says-troops-are-battling-to-push-ukrainian-forces-back-after-cross-border-incursion-in/article_8f289216-6dfd-5460-8ba2-1d4135e3a232.html,"State Alabama Alaska Arizona Arkansas California Colorado Connecticut Delaware Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New Hampshire New Jersey New Mexico New York North Carolina North Dakota Ohio Oklahoma Oregon Pennsylvania Rhode Island South Carolina South Dakota Tennessee Texas Utah Vermont Virginia Washington Washington D.C. West Virginia Wisconsin Wyoming Puerto Rico US Virgin Islands Armed Forces Americas Armed Forces Pacific Armed Forces Europe Northern Mariana Islands Marshall Islands American Samoa Federated States of Micronesia Guam Palau Alberta, Canada British Columbia, Canada Manitoba, Canada New Brunswick, Canada Newfoundland, Canada Nova Scotia, Canada Northwest Territories, Canada Nunavut, Canada Ontario, Canada Prince Edward Island, Canada Quebec, Canada Saskatchewan, Canada Yukon Territory, Canada

Zip Code"
Russia says its troops are battling to push Ukrainian forces back a cross-border incursion.,https://www.pinalcentral.com/world_news/russia-says-its-troops-are-battling-to-push-ukrainian-forces-back-a-cross-border-incursion/article_c6a1e010-3624-59a8-81bf-49ec9acb5d4b.html,"State Alabama Alaska Arizona Arkansas California Colorado Connecticut Delaware Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New Hampshire New Jersey New Mexico New York North Carolina North Dakota Ohio Oklahoma Oregon Pennsylvania Rhode Island South Carolina South Dakota Tennessee Texas Utah Vermont Virginia Washington Washington D.C. West Virginia Wisconsin Wyoming Puerto Rico US Virgin Islands Armed Forces Americas Armed Forces Pacific Armed Forces Europe Northern Mariana Islands Marshall Islands American Samoa Federated States of Micronesia Guam Palau Alberta, Canada British Columbia, Canada Manitoba, Canada New Brunswick, Canada Newfoundland, Canada Nova Scotia, Canada Northwest Territories, Canada Nunavut, Canada Ontario, Canada Prince Edward Island, Canada Quebec, Canada Saskatchewan, Canada Yukon Territory, Canada

Zip Code"
Russia says its troops are battling to push Ukrainian forces back a cross-border incursion.,https://www.independent.co.uk/news/world/europe/ukraine-russia-incursion-kursk-region-putin-b2593051.html,"✕ Close Ukraine getting ‘closer and closer’ to becoming Nato member, says secretary general

Support truly

independent journalism Support Now Find out more Close Our mission is to deliver unbiased, fact-based reporting that holds power to account and exposes the truth.



Whether $5 or $50, every contribution counts.



Support us to deliver journalism without an agenda. Louise Thomas Editor

Intense battles between Ukrainian and Moscow’s troops inside the Russian border region of Kursk have entered a third day after an audacious attack by Kyiv’s forces.

War monitor the Institute for the Study of War (ISW) said Ukrainian soldiers had penetrated more than six miles (10km) across the border, breaking through two Russian defensive lines and a stronghold.

Russia declared a state of emergency amid the fierce fighting, despite seeking to claim that the situation was under control. Russian state media said that 3,000 people have been evacuated from the area.

Moscow’s military chief Valery Gerasimov briefed president Vladimir Putin on Wednesday about the attack, while neither Kyiv nor president Volodymyr Zelensky has made any direct reference to the assault while exhorting Kyiv’s soldiers to press on and weaken Russian forces.

Multiple pro-Russian military bloggers said the battles continued into Thursday.

""Sudzha [a district in Kursk] is basically lost to us. And this is an important logistics hub,"" said Yuri Podolyaka, a popular Ukrainian-born pro-Russian military blogger, adding that Ukrainian forces were pushing north towards Lgov."
Russia says its troops are battling to push Ukrainian forces back a cross-border incursion.,https://www.arabnews.com/node/2565096,"Russia says its troops are battling to push Ukrainian forces back a cross-border incursion in Kursk

KYIV: Russian troops are battling to push back Ukrainian forces from the Kursk region on the third day of one of the largest cross-border incursions of the war, the Russian Defense Ministry said Thursday.

A ministry statement said the Russian military and border guards have blocked Ukrainian forces from pushing deeper into the region in southwestern Russia. It added that the army is attacking Ukrainian fighters trying to advance into the area from Ukraine’s Sumy region.

“Attempts by individual units to break through deep into the territory in the Kursk direction are being suppressed,” the ministry said.

Ukrainian troops had advanced as much as 15 kilometers (9 miles) into Russian territory, according to the Institute for the Study of War, a Washington-based think tank. The data that hasn’t been officially confirmed.

Kyiv has not commented on the incursion. In a video address to the nation late Thursday, Ukraine’s President Volodymyr Zelensky did not mention the fighting in the Kursk region but emphasized that “Russia brought the war to our land, and it should feel what it has done.”

“Ukrainians know how to achieve their goals,” Zelensky said, adding that he received three “productive reports, exactly the kind our country needs now” on Thursday from the commander of Ukraine’s armed forces, Oleksandr Syrskyi.

Russia says the military has stemmed Ukrainian advances in the border area about 500 kilometers (about 320 miles) southwest of Moscow, but military bloggers and open source data indicate Ukrainian troops have made gains in several areas in Kursk.

The Kursk region’s acting governor, Alexei Smirnov, briefed Russian President Vladimir Putin on conditions there by video link Thursday. Smirnov said the region plans to equip gas stations with electronic warfare units and to provide them with unspecified armored defense.

Putin, who described the incursion as a “large-scale provocation” that involved “indiscriminate shelling of civilian buildings, residential houses and ambulances” was briefed on the situation by his top military and security officials on Wednesday.

Gen. Valery Gerasimov, the chief of the Russian military’s General Staff, told Putin via video link that about 100 Ukrainian soldiers had been killed in the battle and more than 200 others were wounded. Kursk regional authorities reported Wednesday that at least five civilians, including two ambulance workers, were killed.

It wasn’t possible to independently verify the Russian claims. During the war, now in its third year, disinformation and propaganda have played a central role.

John Kirby, the White House’s national security spokesman, declined to comment on the operation and said the Biden administration has reached out to the Ukrainians to better understand the situation.

The cross-border foray would be among Ukraine’s largest since Russia launched its full-scale invasion on Feb. 24, 2022.

Kyiv’s aim could be to draw Russian reserves to the area, potentially weakening Moscow’s offensive operations in several parts of Ukraine’s eastern Donetsk region, where Russian forces have increased attacks and are advancing gradually toward operationally significant gains.

But it could risk stretching outmanned Ukrainian troops further along the front line, which is more than 1,000 kilometers (620 miles) long.

Even if Russia were to commit reserves to stabilize the new front, given its vast manpower and the relatively small number of Ukrainian forces engaged in the operation, it would likely have little long-term impact. Pulling units from the front line to stabilize the Kursk region would also be time consuming.

However, the operation could boost Ukrainian morale at a time when Kyiv’s forces are facing relentless Russian attacks, with more expected in the coming weeks.

Myhailo Podolyak, a top adviser to Zelensky, said Thursday that border region attacks will cause Russia to “start to realize that the war is slowly creeping inside of Russian territory.” He also suggested such an operation would improve Kyiv’s hand in the event of negotiations with Moscow.

“When will it be possible to conduct a negotiation process in the way that we can push them or get something from them? Only when the war is not going on according to their scenarios,” he said.

Several Ukrainian brigades stationed along the border region would not comment, along with Ukraine’s Defense Ministry and General Staff.

Russian forces have swiftly repelled previous cross-border incursions, but not before they caused damage and embarrassed authorities.

Responsibility for previous incursions into Russia’s Belgorod and Bryansk regions has been claimed by two murky groups: the Russian Volunteer Corps and the Freedom of Russia Legion, made up of Russian citizens and have fought alongside Ukrainian forces.

The Kursk region’s border with Ukraine is 245 kilometers (150 miles) long, making it possible for saboteur groups to launch swift incursions and capture some ground before Russia deploys reinforcements."
Russia says its troops are battling to push Ukrainian forces back a cross-border incursion.,https://sg.news.yahoo.com/russia-battling-major-ukraine-border-095258304.html,"Zelensky says Russia must feel the war as Ukraine presses attack

Ukrainian President Volodymyr Zelensky said Thursday that Russia needed to ""feel"" the consequences of its war as a major Ukrainian incursion across the Russian border stretched into a third day.

Pro-Kyiv forces stormed into Russia's southwestern Kursk region on Tuesday morning, deploying around 1,000 troops and more than two dozen armoured vehicles and tanks, according to the Russian army.

It appears to be the most significant Ukrainian attack into Russia since the war began, with independent analysts suggesting Kyiv's troops had advanced up to 10 kilometres into Russia.

""Russia brought the war to our land and should feel what it has done,"" Zelensky said in his evening address, without directly referring to the offensive.

""Ukrainians know how to achieve their goals. And we did not choose to achieve our goals in the war,"" he added.

Russia's defence ministry said Thursday its troops were ""continuing to destroy"" armed Ukrainian units and were using air strikes, rocket and artillery fire to try to push them back.

It said it had rushed in reserves and was ""thwarting attempts to break through"" deeper into the Kursk region.

The independent US-based Institute for the Study of War said Ukraine had made significant territorial gains in the first two days of the incursion.

""Ukrainian forces have made confirmed advances up to 10 kilometres (six miles) into Russia's Kursk Oblast amid continued mechanised offensive operations on Russian territory,"" it said in its latest update.

""The current confirmed extent and location of Ukrainian advances in Kursk Oblast indicate that Ukrainian forces have penetrated at least two Russian defensive lines and a stronghold,"" it added.

- 'Entrenching' -

Kyiv has not officially taken responsibility for the operation, but an aide to Zelensky said Moscow was to blame for the incursion.

""The root cause of any escalation, shelling, military actions, forced evacuations and destruction of normal life forms -- including within the Russian Federation's own territories like Kursk and Belgorod regions -- is solely Russia's unequivocal aggression,"" presidential aide Mykhailo Podolyak said Thursday on social media.

Russian President Vladimir Putin has called it a ""large-scale provocation"" by Kyiv and Russia's top general vowed on Wednesday to crush the incursion.

The US State Department expressed support for Kyiv without directly commenting on the operation.

The surprise attack appeared to catch Russia's army off guard, triggering criticism of its top brass by the country's influential military bloggers.

The Ukrainian advance has centred on the logistical hub of Sudzha, a town of around 5,000 inhabitants located eight kilometres from the Ukrainian border.

Russian military bloggers, who have links to the army, also reported Thursday that Kyiv had made significant advances.

""The situation is complicated and continues to worsen,"" blogger Yury Podolyaka said in a post on Telegram.

""Sudzha has been completely lost,"" he said.

Residents evacuated from Sudzha also reported a difficult situation, according to images shared by Russia's LDPR party.

""The situation is bad. There's no communication"" with those who stayed behind, said Alexei, an ambulance worker waiting to receive humanitarian aid.

Another man also called Alexei, a volunteer, said the evacuees ""feel abandoned"".

The Dva Mayora Telegram channel said Ukraine was ""entrenching, indicating that the fighting is likely to be long-term"".

- Thousands evacuated -

Many reported Ukrainian troops had advanced towards the town of Korenevo, more than 25 kilometres from the Ukrainian border.

AFP could not verify those reports.

Russian energy giant Gazprom said on Thursday it would continue shipping gas through the Sudzha metering station, the last transit point for Russian gas heading to Europe via Ukraine.

Moscow also said its forces had destroyed a US-made Bradley Fighting Vehicle that Ukraine was using in the incursion.

The Russian defence ministry had initially blamed a pro-Ukrainian ""sabotage group"" for the raid, but it has since said Ukraine's army is carrying it out.

Pro-Kyiv militia, including those made up of Russian citizens fighting against Moscow, have previously staged several cross-border raids.

But the latest incursion into the Kursk region appears to be the most successful and organised attempt by Ukraine to penetrate Russian territory.

Kyiv's objectives remain unclear, with some analysts suggesting it is an attempt to stretch Russia's army, forcing them to move units away from the eastern Donetsk region where they have been advancing.

The governor of Kursk declared a state of emergency in the region on Wednesday evening, a move that gives authorities the power to restrict movement in a bid to bring the situation under control.

Several thousand people have been evacuated on both sides of the border.

bur/imm/gv"
Russia says its troops are battling to push Ukrainian forces back a cross-border incursion.,https://www.theguardian.com/world/article/2024/aug/07/ukraine-incursion-into-russia-kursk-region-continues-into-second-day,"Ukraine’s surprise incursion into Russia’s Kursk region has continued into a second day, prompting Vladimir Putin to convene a meeting with his top defence and law enforcement officials.

A report from one Russia military blogger suggested Ukrainian forces had advanced northwards, possibly as far as nine miles (15km) from the border, along a highway north of the border village of Sverdlikovo and near a major natural gas transmission hub, but this could not be verified.

Official and unofficial Russian sources reported that a force of several hundred soldiers had crossed a lightly defended part of the border on Tuesday morning, in what appears to be one of the largest incursions into Russia since the war began in February 2022. Russia’s defence ministry said on Wednesday that the attack was being neutralised.

It had claimed Russian forces had repelled the raid on Tuesday, but acknowledged at lunchtime on Wednesday that fighting was ongoing. It said they had used air and missile strikes and artillery fire against the invaders, inflicting 260 casualties and knocking out 50 armoured vehicles.

In televised remarks at the start of a meeting with members of the Russian government, Putin described the raid as a major provocation. He later met Russia’s top military figures. The chief of general staff, Valery Gerasimov, told Putin that Russian forces were battling Ukrainian forces near the border and would push them back to the border.

The acting governor of Kursk oblast, Alexei Smirnov, said he had introduced a state of emergency in the border region, though it was unclear what measures that entailed. Several thousand civilians were evacuated from frontline areas and 300 people were housed in temporary accommodation overnight.

Authorities in Ukraine’s northeastern Sumy region, just across the border from Kursk, also announced they were evacuating about 6,000 people.

Ukrainian officials have remained quiet as the incursion has developed, anxious perhaps not to appear triumphant or give away too much information about their intentions.

Russia said the attack began at about 8am on Tuesday morning, when Ukrainian troops crossed the border between the villages of Nikolayevo-Daryino and Oleshnya, with the apparent intention of heading north and east.

The attack is most likely to be an attempt by Ukraine, whose defences are stretched on the eastern Donbas front, to divert some Russian forces to defend a part of the frontline that has been largely inactive since early 2022.

skip past newsletter promotion Sign up to This is Europe Free weekly newsletter The most pressing stories and debates for Europeans – from identity to economics to the environment Enter your email address Sign up Privacy Notice: Newsletters may contain info about charities, online ads, and content funded by outside parties. For more information see our Newsletters may contain info about charities, online ads, and content funded by outside parties. For more information see our Privacy Policy . We use Google reCaptcha to protect our website and the Google Privacy Policy and Terms of Service apply. after newsletter promotion

Critics in Ukraine, however, argue that such assaults serve no long-term military purpose. Anti-Kremlin Russian groups launched attacks from Ukraine into Belgorod and Kursk regions in March, but were repelled with no strategic gain.

Information is scant, but this time the operation appears to be an attack by Ukraine’s military rather than Russian opposition groups. Russia said it was led by Kyiv’s 22nd mechanised brigade.

Fighting was taking place in and around the town of Sudzha, about 6 miles from the border. A local Russian Telegram channel released a short video showing bombed out rural homes, which it said demonstrated the “situation today”.

The main operational gas pipeline into Europe runs near Sudzha, where a metering station monitors the reduced Russian supplies to countries such as Austria and Hungary. Ukraine has allowed gas to continue flowing through the pipeline as part of a contract that expires at the end of 2024.

Other online speculation suggested that a target of the incursion could be the Kursk nuclear power plant, but the facility is 35 miles from the border and a long way from what a force of several hundred – or thousand – would be capable of.

Russia has been pouring soldiers into Ukraine. Its force in the country is estimated at about 520,000, two to three times the size of the original invasion. Ukraine, meanwhile, is finding it challenging to mobilise fresh recruits and is being pushed back in certain parts of the eastern front, particularly the central Donbas towards Pokrovsk.

Additional reporting by Pjotr Sauer"
