Headline,Links
"ISIS-inspired suspect planned suicide attack at Taylor Swift concert, Austrian authorities say.","['https://www.cnn.com/2024/08/08/europe/isis-inspired-suicide-terror-attack-taylor-swift-vienna-intl/index.html', 'https://apnews.com/article/austria-taylor-swift-concerts-canceled-extremism-arrests-17b494f1a164b205128d7faeb607e731', 'https://www.reuters.com/world/europe/austria-finds-chemicals-house-suspected-taylor-swift-concert-attack-plotter-2024-08-08/', 'https://abcnews.go.com/International/chemical-substances-technical-devices-found-home-austrian-terror/story?id', 'https://nypost.com/2024/08/08/world-news/taylor-swift-isis-suspects-planned-to-drive-bomb-riddled-car-into-crowd/', 'https://www.nytimes.com/2024/08/08/world/europe/taylor-swift-concert-terror-plot-vienna.html', 'https://www.pbs.org/newshour/world/officials-say-suspects-in-foiled-plot-at-taylor-swift-shows-hoped-to-kill-as-many-people-as-possible', 'https://www.livenowfox.com/news/taylor-swift-isis-terror-attack-foiled-austria', 'https://www.hindustantimes.com/entertainment/music/taylor-swift-vienna-terror-threat-suspects-1-employed-by-the-venue-other-isis-inspired-teen-intended-to-kill-fans-101723139478845.html', 'https://www.sbs.com.au/news/article/planning-a-bloodbath-details-emerge-of-taylor-swift-concert-terror-plot/8xcubwnlf', 'https://au.news.yahoo.com/taylor-swift-vienna-concerts-cancelled-202604056.html', 'https://www.rollingstone.com/music/music-news/details-emerge-thwarted-terror-plot-taylor-swift-vienna-shows-1235076180/', 'https://english.alarabiya.net/News/world/2024/08/08/austria-finds-chemicals-in-house-of-suspected-taylor-swift-concert-attack-plotter', 'https://nypost.com/2024/08/07/world-news/isis-plot-against-taylor-swift-concert-in-vienna-narrowly-foiled/', 'https://www.reuters.com/world/uk/taylor-swifts-london-dates-not-impacted-by-vienna-events-uk-police-say-2024-08-08/', 'https://www.reuters.com/world/europe/what-we-know-about-taylor-swift-concert-plot-suspects-2024-08-08/', 'https://uk.news.yahoo.com/swifties-outside-stadium-were-targets-140134193.html', 'https://radaronline.com/p/taylor-swift-terror-plot-isis-security-plot-bomb-gig-mow-down-fans/', 'https://www.reuters.com/world/europe/swifties-heartbroken-after-concerts-cancelled-due-foiled-attack-2024-08-08/', 'https://www.reuters.com/world/europe/taylor-swift-vienna-concerts-cancelled-due-planned-attack-organizer-says-2024-08-07/', 'https://abcnews.go.com/International/2-arrested-planning-terror-plot-taylor-swift-show/story?id', 'https://www.nbcnews.com/news/world/taylor-swift-vienna-concert-plot-planning-suicide-attack-rcna165734', 'https://www.wsj.com/world/europe/taylor-swift-vienna-isis-terror-plot-bomb-car-510c24dc', 'https://www.goodmorningamerica.com/news/story/chemical-substances-technical-devices-found-home-austrian-terror-112669660', 'https://abc7ny.com/feed/taylor-swift-concert-terror-plot-suspect-had-islamic-state-material/15158719/', 'https://globalnews.ca/news/10687638/taylor-swift-terror-plot-suspects-isis-al-qaeda/', 'https://www.the-sun.com/news/12144619/taylor-swift-isis-suspect-confession-bomb-plot/', 'https://www.dailymail.co.uk/news/article-13723653/Pictured-ISIS-teen-plotted-Taylor-Swift-concert-carnage-posing-knives-Austrian-neighbours-say-harmless-boy-door-radically-changed-look-radicalised.html', 'https://ca.news.yahoo.com/2-arrested-planning-terror-plot-173700330.html', 'https://www.sheppnews.com.au/aap-entertainment/isis-led-suspect-in-swift-plot-planned-suicide-attack/', 'https://www.ibtimes.sg/taylor-swift-concert-terror-plot-teen-suspects-arrested-were-hired-stadium-security-had-planned-75611', 'https://headtopics.com/us/austrian-authorities-release-photo-of-suspect-in-taylor-57124937', 'https://townpress.co.za/suspect-in-isis-inspired-outfit-in-taylor-swifts-event-plans-a-suicide-attack/']"
Cardi B Reveals She Had a 'Freak Accident' That Left Her with a 'Freak Accident'.,"['https://people.com/cardi-b-reveals-the-freak-accident-that-left-her-paralyzed-and-almost-caused-pregnancy-loss-report-8692474', 'https://okmagazine.com/p/pregnant-cardi-b-freak-accident-paralyzed-almost-miscarriage/', 'https://www.complex.com/music/a/backwoodsaltar/cardi-b-reveals-she-was-left-paralyzed-following-freak-accident', 'https://www.usmagazine.com/celebrity-news/news/cardi-b-recalls-freak-accident-that-almost-caused-a-pregnancy-loss/', 'https://www.eonline.com/news/1405929/pregnant-cardi-b-details-freak-accident-that-nearly-left-her-paralyzed', 'https://nz.news.yahoo.com/cardi-b-had-miscarriage-fears-220806314.html', 'https://www.tmz.com/2024/08/08/cardi-b-accident-almost-lost-baby/', 'https://www.etonline.com/cardi-b-says-a-freak-accident-almost-caused-a-miscarriage-and-left-her-briefly-paralyzed-230204', 'https://parade.com/news/cardi-b-health-update-freak-accident-while-pregnant-left-her-paralyzed-torn-ligament-pelvis', 'https://www.dailymail.co.uk/tvshowbiz/article-13725183/Cardi-B-accident-PREGNANCY-LOSS-paralyzed-hurt.html', 'https://perezhilton.com/cardi-b-freak-accident-nearly-caused-miscarriage/', 'https://www.geo.tv/latest/558260-cardi-b-shares-freak-accident-that-nearly-caused-pregnancy-loss', 'https://people.com/pregnant-cardi-b-new-details-accident-couldnt-move-for-days-8692894', 'https://whatstrending.com/cardi-b-reveals-freak-accident-nearly-leaving-her-paralyzed-amid-pregnancy-news/', 'https://www.thenews.com.pk/latest/1218050-cardi-b-reveals-freak-accident-that-paralysed-her-amid-pregnancy', 'https://www.music-news.com/news/UK/175730/Cardi-B-opens-up-about-freak-accident-that-left-her-temporarily-paralysed', 'https://www.nme.com/news/music/cardi-b-reveals-freak-accident-left-her-temporarily-paralysed-and-almost-caused-miscarriage-3782151', 'https://allhiphop.com/news/cardi-b-reveals-unborn-babys-life-was-at-risk-following-freak-accident/', 'https://uk.news.yahoo.com/cardi-b-opens-freak-accident-213000281.html', 'https://www.msn.com/en-us/health/other/cardi-b-details-freak-accident-that-almost-caused-a-miscarriage-and-left-her-briefly-paralyzed/ar-AA1osA8T', 'https://uk.news.yahoo.com/cardi-b-opens-freak-accident-152541815.html', 'https://face2faceafrica.com/article/cardi-b-almost-had-a-miscarriage-after-freak-accident-left-her-paralyzed', 'https://www.hot97.com/news/cardi-b-says-a-freak-accident-almost-caused-a-miscarriage/', 'https://www.hotnewhiphop.com/831880-cardi-b-miscarriage-hip-hop-news', 'https://hiphopdx.com/news/cardi-b-almost-suffers-miscarriage-freak-accident-pregnancy', 'https://www.vibe.com/news/entertainment/cardi-b-almost-miscarriage-paralyzing-freak-accident-1234903917/', 'https://balleralert.com/profiles/blogs/cardi-b-reveals-she-almost-suffered-a-miscarriage-after-freak-accident/', 'https://celebrity.nine.com.au/latest/cardi-b-freak-accident-after-pregnancy-news-report/8d324063-0d3c-4c82-8b28-6dedb1f05c9a', 'https://metro.co.uk/2024/08/08/cardi-b-reveals-freak-accident-caused-brief-paralysis-near-miscarriage-21390315/', 'https://marketresearchtelecast.com/cardi-b-reveals-freak-accident-that-nearly-caused-miscarriage-and-paralysis/', 'https://headtopics.com/us/cardi-b-says-a-freak-accident-almost-caused-a-miscarriage-57124886', 'https://www.aceshowbiz.com/news/view/00230215.html', 'https://hollywoodunlocked.com/cardi-b-hospitalized-freak-accident-pregnant-offset-divorce/']"
Michelle Pfeiffer will officially star in ‘Yellowstone’ sequel series.,"['https://nypost.com/2024/08/08/entertainment/michelle-pfeiffer-to-lead-yellowstone-series-madison/', 'https://www.hollywoodreporter.com/tv/tv-news/michelle-pfeiffer-to-lead-yellowstone-sequel-series-1235969376/', 'https://www.menshealth.com/entertainment/a61826415/madison-yellowstone-sequel-michelle-pfeiffer/', 'https://people.com/yellowstone-spinoff-madison-featuring-michelle-pfeiffer-announced-8692439', 'https://m.imdb.com/news/ni64752079/?ref_', 'https://www.esquire.com/entertainment/tv/a61777052/the-madison-yellowstone-spinoff-cast-news/', 'https://movieweb.com/michelle-pfeiffer-gets-her-own-yellowstone-spinoff/', 'https://www.msn.com/en-us/tv/news/michelle-pfeiffer-to-lead-yellowstone-sequel-series/ar-AA1osTHf', 'https://screenrant.com/yellowstone-sequel-show-madison-cast-michelle-pfeiffer-story-details/', 'https://collider.com/yellowstone-spin-off-cast-michelle-pfeiffer/', 'https://dailycaller.com/2024/08/08/taylor-sheridan-michelle-pfeiffer-madison-yellowstone-spinoff-sequel/', 'https://www.joblo.com/madison-michelle-pfeiffer/', 'https://m.imdb.com/news/ni64751761/?ref_', 'https://m.imdb.com/news/ni64751086/?ref_', 'https://m.imdb.com/news/ni64751151/?ref_', 'https://tvovermind.com/michelle-pfeiffer-cast-as-lead-in-yellowstone-sequel-the-madison/', 'https://aussiedlerbote.de/en/michelle-pfeiffer-cast-for-the-madison/', 'https://headtopics.com/us/yellowstone-sequel-s-lead-star-confirmed-as-more-plot-57118414']"
Sadie Sink found her voice thanks to ‘Stranger Things’.,"['https://variety.com/2024/tv/features/sadie-sink-stranger-things-taylor-swift-singing-1236096387/', 'https://m.imdb.com/news/ni64751308/?ref_', 'https://ca.news.yahoo.com/taylor-swift-fans-sing-vienna-195802789.html', 'https://m.imdb.com/news/ni64751344/?ref_', 'https://m.imdb.com/news/ni64751576/?ref_', 'https://m.imdb.com/news/ni64750993/?ref_']"
'Unstoppable' movie First-Look Photos Unveiled By Amazon MGM Studios.,"['https://deadline.com/2024/08/unstoppable-movie-first-look-photos-unveiled-amazon-mgm-studios-1236034717/', 'https://m.imdb.com/news/ni64751464/?ref_', 'https://ca.news.yahoo.com/amazon-mgm-unveils-first-look-162020707.html', 'https://collider.com/unstoppable-images-jharrel-jerome/', 'https://www.comingsoon.net/movies/news/1827736-unstoppable-photos-amazon-anthony-robles-biopic', 'https://www.lankatimes.com/amazon-mgm-studios-has-revealed-first-look-images-for-unstoppable/', 'https://marketresearchtelecast.com/first-look-at-amazons-anthony-robles-biopic-revealed-in-unstoppable-photos/', 'https://marketresearchtelecast.com/jennifer-lopez-unveils-sneak-peek-of-new-movie-with-ben-affleck-amid-marital-woes/']"
Colin Farrell opens up about his son with Angelman syndrome: ‘We still struggle.’’,"['https://www.theguardian.com/film/article/2024/aug/08/colin-farrell-son-angelman-syndrome', 'https://www.buzzfeednews.com/article/stephaniesoteriou/colin-farrell-emotional-son-angelman-syndrome-disabilities', 'https://people.com/parents-of-kids-with-disabilities-praise-colin-farrell-after-sharing-son-s-diagnosis-8692586', 'https://parade.com/news/colin-farrell-opens-up-son-james-health-struggle-first-time-angelman-syndrome-video', 'https://www.msn.com/en-us/health/other/what-is-angelman-syndrome-the-rare-disorder-colin-farrell-s-son-has/ar-AA1or9ms', 'https://www.wdef.com/i/colin-farrell-starts-foundation-in-honor-of-son-with-angelman-syndrome/', 'https://english.jagran.com/world/angelman-syndrome-colin-farrell-opens-up-about-son-james-struggle-with-rare-health-condition-10179325', 'https://www.sheknows.com/health-and-wellness/articles/3078495/colin-farrell-son-james-angelman-syndrome/', 'https://www.comingsoon.net/guides/features/1826551-what-is-angelman-syndrome-colin-farrell-son', 'https://www.irishcentral.com/news/colin-farrell-foundation', 'https://people.com/colin-farrell-son-angelman-syndrome-what-is-it-8691752', 'https://dailycaller.com/2024/08/07/colin-farrell-foundation-angelman-syndrome-neurogenetic-disorder-james-support-aid/', 'https://www.sundayworld.com/lifestyle/health-fitness/colin-farrell-opens-up-about-his-sons-angelman-syndrome-as-he-turns-21/a1913411120.html', 'https://evrimagaci.org/tpg/colin-farrell-launches-foundation-for-son-with-angelman-syndrome-7511', 'https://www.theguardian.com/uk-news/video/2024/aug/07/counter-protesters-gather-across-england-as-riots-predicted-across-the-uk-video', 'https://nypost.com/2024/08/07/entertainment/colin-farrell-chokes-up-over-son-with-angelman-syndrome-as-he-launches-foundation/', 'https://www.livenowfox.com/news/angelman-syndrome-colin-farrell-son-foundation', 'https://www.forbes.com/sites/maryroeloffs/2024/08/07/what-is-angelman-syndrome-colin-farrell-reveals-son-living-with-rare-disorder/', 'https://www.newsnationnow.com/health/what-is-angelman-syndrome-colin-farrell/', 'https://www.newsweek.com/colin-farrell-breaks-down-son-rare-angelman-syndrome-1935861', 'https://www.thesun.co.uk/tvandshowbiz/29753543/colin-farrell-son-james-angelman-syndrome-foundation/', 'https://evrimagaci.org/tpg/colin-farrell-champions-support-for-adults-with-angelman-syndrome-8243', 'https://evrimagaci.org/tpg/colin-farrell-creates-foundation-to-support-families-navigated-by-intellectual-disabilities-7836', 'https://www.theguardian.com/environment/video/2024/aug/07/slow-tv-take-a-tour-of-the-south-australian-seabed-on-the-back-of-a-sea-lion-video', 'https://m.aceshowbiz.com/news/view/00230218.html', 'https://marketresearchtelecast.com/colin-farrell-launches-foundation-in-honor-of-son-with-angelman-syndrome/', 'https://m.aceshowbiz.com/news/view/00230220.html']"
'NCIS' actor Gabriel Olds is charged with 7 felony sexual assault counts amid LAPD investigation.,"['https://www.latimes.com/california/story/2024-08-08/actor-gabriel-olds-charged-with-7-felony-sexual-assault-counts', 'https://2urbangirls.com/2024/08/ncis-actor-gabriel-olds-charged-with-7-felony-sexual-assault-counts-amid-lapd-investigation/', 'https://www.rv-times.com/nation_world/ncis-actor-gabriel-olds-charged-with-7-felony-sexual-assault-counts-amid-lapd-investigation/article_8006df0c-461a-5495-9718-5f4e9cb99caa.html', 'https://www.the-sun.com/entertainment/12141737/hollywood-actor-gabriel-olds-arrested-accused-violent-sexual-assault/', 'https://ktla.com/news/local-news/hollywood-actor-arrested-amid-allegations-of-violent-sexual-assault/', 'https://www.thederrick.com/ap/national/man-charged-in-1977-strangulations-of-three-southern-california-women-after-dna-investigation/article_67541ba1-2e2b-56db-b121-85442d99a705.html']"
Blake Lively's It Ends With Us Movie Has Rotten Tomatoes Critics United.,"['https://www.slashfilm.com/1638964/blake-lively-it-ends-with-us-movie-rotten-tomatoes-critics-united/', 'https://m.imdb.com/news/ni64751478/?ref_', 'https://www.dailymail.co.uk/tvshowbiz/article-13721037/Blake-Livelys-film-branded-completely-ludicrous-critics.html', 'https://m.imdb.com/news/ni64751645/?ref_', 'https://m.imdb.com/news/ni64743152/?ref_', 'https://m.imdb.com/news/ni64751538/?ref_', 'https://headtopics.com/uk/it-ends-with-us-gets-lukewarm-reaction-blake-lively-s-57100824']"
Critic reviews of the Borderlands movie are absolutely savage. Early Borderlands movie impressions brand it as a bad movie.,['https://www.pcgamer.com/movies-tv/critic-reviews-of-the-borderlands-movie-are-absolutely-savage/']
Steve Martin has turned down playing Tim Walz on Saturday Night Live.,"['https://www.latimes.com/entertainment-arts/tv/story/2024-08-07/steve-martin-will-not-play-tim-walz-on-saturday-night-live', 'https://www.theguardian.com/tv-and-radio/article/2024/aug/08/tim-walz-saturday-night-live-snl-steve-martin', 'https://thehill.com/blogs/in-the-know/4818107-steve-martin-tim-walz-saturday-night-live-role/', 'https://www.usatoday.com/story/entertainment/tv/2024/08/08/steve-martin-tim-walz-snl/74717010007/', 'https://www.businessinsider.com/who-will-play-tim-walz-snl-actors-comedians-2024-8', 'https://www.forbes.com/sites/monicamercuri/2024/08/08/social-media-wants-steve-martin-to-portray-tim-walz-on-saturday-night-live-this-fall/', 'https://toofab.com/2024/08/08/steve-martin-turned-down-offer-play-tim-walz-snl/', 'https://www.nytimes.com/2024/08/08/arts/television/snl-2024-election-harris-trump.html', 'https://www.thedailybeast.com/steve-martin-says-he-just-declined-lorne-michaels-offer-to-play-tim-walz-on-snl', 'https://www.comicsands.com/steve-martin-tim-walz-snl-2668930826.html', 'https://www.aol.com/steve-martin-turned-down-playing-161046257.html', 'https://www.inquirer.com/politics/election/snl-harris-walz-impression-steve-martin-20240808.html', 'https://www.hollywoodreporter.com/tv/tv-news/steve-martin-reacts-tim-walz-snl-1235968202/', 'https://bringmethenews.com/minnesota-lifestyle/steve-martin-declines-to-play-tim-walz-on-saturday-night-live', 'https://variety.com/2024/tv/news/steve-martin-snl-tim-walz-turns-down-offer-1236099470/', 'https://stylecaster.com/lists/who-play-tim-walz-snl/', 'https://www.vulture.com/article/snl-who-will-play-jd-vance-tim-walz-vp-impressions.html', 'https://screenrant.com/saturday-night-live-season-50-steve-martin-tim-walz-role-reject/', 'https://nypost.com/2024/08/07/entertainment/steve-martin-turns-down-offer-from-lorne-michaels-to-play-tim-walz-on-snl-id-be-struggling/', 'https://www.newsnationnow.com/morninginamerica/im-not-an-impressionist-steve-martin-turns-down-role-as-walz-on-snl-morning-in-america/', 'https://apnews.com/article/steve-martin-tim-walz-snl-7a2c6be72295e6ea270b3dda12ca3d12', 'https://www.ign.com/articles/steve-martin-turned-down-tim-walz-snl-role', 'https://www.wxii12.com/article/steve-martin-turns-down-tim-walz-impersonation-role-on-snl/61824359', 'https://www.startribune.com/steve-martin-mn-governor-tim-walz-snl-jim-gaffigan/600941950', 'https://www.yoursun.com/charlotte/features/steve-martin-turns-down-tim-walz-impersonation-role-on-snl-dashing-internets-casting-hopes/article_bc9c0f10-c0c4-56b2-acf1-4f99159a40c7.html', 'https://www.cnn.com/2024/08/07/entertainment/steve-martin-declined-tim-walz-snl/index.html', 'https://www.rollingstone.com/tv-movies/tv-movie-news/steve-martin-tim-walz-snl-reacts-1235075490/', 'https://www.thewrap.com/who-should-play-tim-walz-on-snl/', 'https://www.comingsoon.net/tv/news/1827039-steve-martin-tim-walz-snl', 'https://www.huffpost.com/entry/steve-martin-tim-walz-saturday-night-live_n_66b40201e4b05d0bc2809ea5', 'https://deadline.com/2024/08/steve-martin-tim-walz-snl-1236033769/', 'https://comicbook.com/tv-shows/news/saturday-night-live-steve-martin-not-playing-tim-walz/', 'https://www.syracuse.com/celebrity-news/2024/08/lookalike-comedy-star-says-he-wont-play-tim-walz-on-snl-heres-why.html', 'https://www.thewrap.com/steve-martin-tim-walz-snl-role/', 'https://www.nj.com/entertainment/2024/08/everyone-wanted-steve-martin-to-play-tim-walz-on-snl-he-said-no-heres-why.html', 'https://www.film-news.co.uk/news/UK/111885/Steve-Martin-turns-down-Tim-Walz-role-on-SNL', 'https://www.msn.com/en-us/tv/news/steve-martin-reportedly-turned-down-offer-from-lorne-michaels-to-play-tim-walz-on-snl/ar-AA1opmTp?ocid', 'https://www.justjared.com/2024/08/07/steve-martin-was-offered-tim-walz-role-on-snl-explains-why-he-turned-it-down-already/', 'https://uk.news.yahoo.com/al-franken-tim-walz-colin-220302845.html', 'https://www.newsmax.com/thewire/steve-martin-tim-walz-snl/2024/08/08/id/1175758/', 'https://www.bloomberg.com/news/articles/2024-08-08/clash-of-the-yachts-steve-martin-says-no-to-snl-social-buzz', 'https://www.cleveland.com/tv/2024/08/famous-actorcomedian-passes-on-calls-to-portray-vice-presidential-candidate-on-snl.html', 'https://www.expressnews.com/entertainment/article/steve-martin-turns-down-tim-walz-impersonation-19627186.php', 'https://www.wglr.com/2024/08/07/steve-martin-declined-snl-offer-to-play-tim-walz-says-im-not-an-impressionist/', 'https://b105country.com/ixp/164/p/snl-tim-walz-vp/', 'https://tribune.com.pk/story/2486429/steve-martin-declines-saturday-night-live-role-as-democratic-vp-nominee-tim-walz', 'https://www.yahoo.com/entertainment/steve-martin-turns-down-offer-025102519.html', 'https://www.seattletimes.com/entertainment/steve-martin-turns-down-tim-walz-impersonation-role-on-snl-dashing-internets-casting-hopes/?utm_source', 'https://www.msn.com/en-us/tv/news/steve-martin-reportedly-turned-down-offer-from-lorne-michaels-to-play-tim-walz-on-snl/ar-AA1opmTp', 'https://www.newsweek.com/tim-walz-brad-pitt-kamala-harris-2024-election-snl-meme-1936344', 'https://www.newser.com/story/354120/steve-martin-responds-to-calls-to-play-walz-on-snl.html', 'https://m.imdb.com/news/ni64750017/?ref_', 'https://www.yahoo.com/entertainment/steve-martin-turns-down-lorne-212923067.html', 'https://www.cp24.com/entertainment-news/steve-martin-turns-down-tim-walz-impersonation-role-on-snl-dashing-internet-s-casting-hopes-1.6992555', 'https://m.imdb.com/news/ni64749196/?ref_', 'https://m.imdb.com/news/ni64750148/?ref_', 'https://www.ctvnews.ca/mobile/entertainment/steve-martin-turns-down-tim-walz-impersonation-role-on-snl-dashing-internet-s-casting-hopes-1.6992615?cache', 'https://www.cinemablend.com/television/steve-martin-jim-oheir-responded-fans-want-play-tim-walz-snl', 'https://uk.news.yahoo.com/why-steve-martin-won-t-230151380.html', 'https://www.themix.net/2024/08/steve-martin-reveals-why-he-refuses-to-play-kamala-harris-vp-pick-tim-walz-on-snl/', 'https://ijr.com/steve-martin-explains-why-he-declined-snl-role-to-play-harris-vp-pick/', 'https://www.aceshowbiz.com/news/view/00230274.html', 'https://www.contactmusic.com/steve-martin/news/i-d-struggle-why-steve-martin-turned-down-snl-approach-to-play-tim-walz_6383943', 'https://headtopics.com/au/steve-martin-has-turned-down-playing-tim-walz-on-saturday-57113507', 'https://www.lankatimes.com/steve-martin-turns-down-tim-walls-role-on-snl-despite-fan-pleas/', 'https://headtopics.com/uk/steve-martin-gets-candid-about-why-he-turned-down-offer-to-57094607', 'https://headtopics.com/ca/steve-martin-won-t-be-playing-tim-walz-on-snl-even-with-57085935', 'https://headtopics.com/ca/steve-martin-turns-down-tim-walz-impersonation-role-on-57083402']"
