Headline,Summary,Links
Referees 'wanted the US to lose' Olympic 3x3 tournament.,"The USA 3x3 female basketball team suffered a shock defeat in Paris in the semi-finals on Monday. The US team will now be left to take on Canada for a bronze medal, while Spain will progress to the final to battle it out for gold with Germany. In normal basketball, the men have won 16 golds in 20 appearances, while the women are 9-for-12 (one silver, one bronze) USA captain Hailey Van Lith said after the game: ""They were flopping left and right  They are not that good"" It's day 10 of the 2024 Paris Olympics and the women's balance beam and floor exercise finals are the main events. Simone Biles will be looking to continue her imperious form and add more gold medals to her tally in both events after taking three in her first three events at these Games.","['https://www.foxnews.com/sports/referees-wanted-u-s-lose-olympic-3x3-tournament-star-player-hailey-van-lith-says', 'https://www.marca.com/en/olympic-games/2024/08/05/66b10b3622601dfa708b459e.html', 'https://www.msn.com/en-us/sports/nba/refs-wanted-the-us-to-lose-hailey-van-lith-and-co-s-exit-vs-spain-indigestible-for-fans-as-olympics-officiating-gets-questioned/ar-AA1ohNEI', 'https://www.nbcnews.com/sports/olympics/live-blog/olympic-games-2024-live-updates-rcna162870', 'https://www.themirror.com/sport/basketball/olympics-van-lith-usa-conspiracy-630858', 'https://www.marca.com/en/olympic-games/2024/08/05/66b0ece381748c002a2b242c-live.html', 'https://africa.espn.com/olympics/story/_/id/40718638/serbia-holds-south-sudan-earn-quarterfinals-berth-greece-advances']"
Brandon Aiyuk is more likely to be traded than sign an extension with the 49ers.,"Brandon Aiyuk is reportedly more likely to be traded than signed to a new contract with the San Francisco 49ers. The wide receiver requested a trade from the 49ers in July amid ongoing contract disputes. Multiple teams are reportedly in play for him, including the Cleveland Browns, New England Patriots and Pittsburgh Steelers. No deal is in place right now, but it feels like we are close to a decision being made, according to NFL Media's Mike Garafolo and Tom Pelissero. The report comes amid rumors about a trade to the Pittsburgh Steelers, though NFL insider Jordan Schultz reported Monday that there was no deal in place.The San Francisco 49ers and wide receiver Brandon Aiyuk don't appear to be remotely close to reaching an agreement on a long-term contract. Multiple teams are reportedly in play for the second-team All-Pro wideout, but a trade isn't in place yet. The Pittsburgh Steelers, Washington Commanders, and New England Patriots have been linked as potential destinations for the 26-year-old. The 49ers are believed to have an offer out to Aiyuka a couple of million shy of the $30 million annually the receiver has been seeking.","['https://www.nfl.com/news/brandon-aiyuk-more-likely-to-be-traded-than-sign-extension-with-49ers-no-trade-in-place', 'https://www.cbssports.com/nfl/news/brandon-aiyuk-trade-demand-49ers-wr-more-likely-to-be-dealt-than-get-extension-from-san-francisco-per-report/', 'https://www.si.com/nfl/49ers/news/49ers-would-be-foolish-to-trade-brandon-aiyuk-01j4jdt0p0y8', 'https://bleacherreport.com/articles/10130881-nfl-rumors-brandon-aiyuk-trade-not-in-place-between-steelers-49ers-despite-buzz', 'https://www.49erswebzone.com/articles/182407-report-49ers-multiple-permission-brandon/', 'https://www.on3.com/pro/news/49ers-more-likely-to-trade-brandon-aiyuk-than-sign-wide-receiver-to-extension/', 'https://clutchpoints.com/nfl-rumors-brandon-aiyuk-more-likely-to-be-traded-than-sign-extension-with-49ers', 'https://www.ninersnation.com/2024/8/5/24214130/49ers-brandon-aiyuk-trade-extension-steelers-training-camp-trent-williams', 'https://www.thescore.com/news/3049333', 'https://www.pennlive.com/steelers/2024/08/what-is-the-latest-on-the-steelers-brandon-aiyuk-trade-rumors.html', 'https://nfltraderumors.co/latest-on-brandon-aiyuk-trade-rumors/', 'https://www.audacy.com/957thegame/sports/san-francisco-49-ers/brandon-aiyuk-more-likely-to-be-traded-than-extended', 'https://www.si.com/nfl/49ers/news/is-it-time-to-panic-on-brandon-aiyuk-remaining-with-the-49ers-01j4jcp757db', 'https://www.49erswebzone.com/articles/182404-nfl-insider-brandon-currently-steelers/', 'https://clutchpoints.com/nfl-rumors-expert-floats-brandon-aiyuk-davante-admas-trade-49ers-raiders', 'https://www.steelernation.com/2024/08/04/steelers-strike-likely-49ers-brandon-aiyuk', 'https://fansided.com/posts/latest-brandon-aiyuk-rumors-could-be-blessing-and-curse-for-steelers']"
Team USA will face Brazil in the Olympic men's basketball quarterfinals.,"Team USA basketball is off to a great start at the 2024 Paris Olympics. The Americans are 3-0 after the group stage, boasted a point differential of plus-64 and secured the No  1 seed. Team USA will face Brazil in the quarterfinals, while Canada will meet France. The other two quarterfinals on Tuesday will be Germany vs  Greece and Serbia vs  Australia. The semifinals are slated for Thursday, Aug  8, and the gold medal matchup will be on Aug 10. The loser will exit the Olympics incredibly disappointed. The U S has posted 105 7 points per game — over 25 more than its opponent  Brazil will be overmatched trying to keep up with Team USA's scoring. The game can be seen on USA Network, Peacock and NBCOlympics.com. Amit Elor assured Team USA its first wrestling medal of the Olympic Games Paris 2024 with a 10-0 victory over North Korea's Pak Sol Gum. Gabby Thomas, McKenzie Long and Brittany Brown advanced to the women’s 200-meter final.","['https://www.usatoday.com/story/sports/olympics/2024/08/04/olympic-mens-basketball-quarterfinals/74661393007/', 'https://www.si.com/college/gonzaga/basketball/how-to-watch-team-usa-vs-brazil-olympic-men-s-basketball-quarterfinal-game-01j4hz7bqy5z', 'https://www.cbssports.com/olympics/news/2024-paris-olympics-mens-basketball-bracket-schedule-no-1-seed-team-usa-draws-brazil-in-quarterfinals/', 'https://www.azcentral.com/story/sports/olympics/2024/08/05/how-to-watch-team-usa-men-basketball-brazil-2024-olympics/74661714007/', 'https://www.usab.com/news/2024/08/usa-mens-national-ready-for-olympic-quarterfinal-bout-with-hot-shooting-brazil', 'https://www.espn.com/olympics/story/_/id/40738092/2024-paris-summer-olympics-live-updates-highlights-schedule-results-tuesday', 'https://www.nbcnews.com/sports/olympics/live-blog/olympic-games-2024-live-updates-rcna162870', 'https://en.as.com/olympic_games/when-is-brazil-usa-times-how-to-watch-on-tv-and-stream-online-olympic-games-mens-basketball-n/', 'https://olympics.com/en/news/team-usa-paris-2024-preview-highlights-schedule-6-august', 'https://www.nba.com/news/usa-basketball-7-opponents-quarterfinals-olympics', 'https://www.on3.com/pro/news/united-states-to-face-brazil-in-olympic-mens-basketball-tournament-quarterfinal-matchups-revealed/', 'https://www.cbssports.com/olympics/news/2024-paris-olympics-mens-basketball-power-rankings-team-usa-still-no-1-as-canada-germany-looking-for-upset/', 'https://news.abs-cbn.com/sports/2024/8/5/paris-2024-team-usa-prepares-to-face-brazil-in-qfinals-2035', 'https://www.azcentral.com/story/sports/olympics/2024/08/05/team-usa-basketball-brazil-picks-predictions-odds-2024-paris-olympics/74661473007/', 'https://www.si.com/nba/lakers/news/team-usa-gearing-up-for-brazil-in-olympic-quarterfinals-tuesday-01j4fprmh9wy', 'https://www.usatoday.com/story/sports/olympics/2024/08/05/paris-olympics-live-updates-results/74190961007/', 'https://www.cbssports.com/olympics/news/usa-basketball-vs-brazil-what-to-know-as-americans-set-to-meet-brazilian-kevin-durant-in-2024-olympics/', 'https://www.cbssports.com/olympics/news/usa-basketball-canada-germany-among-biggest-threats-to-americans-in-2024-olympics-mens-basketball/', 'https://www.nbcphiladelphia.com/paris-2024-summer-olympics/team-usa-mens-basketball-next-game-schedule-brazil/3932998/', 'https://www.israelhayom.com/2024/08/05/giannis-antetokounmpo-leads-greeces-mens-basketball-team-to-quarterfinals-in-paris-olympics/', 'https://m.economictimes.com/news/international/us/olympics-mens-basketball-quarterfinals-usa-faces-brazil-france-plays-canada-when-and-where-to-watch-on-tv-and-live-streaming/articleshow/112298292.cms', 'https://www.psucollegian.com/sports/olympics/3-former-penn-state-men-s-volleyball-players-lead-team-usa-to-quarterfinal-win-over/article_49abc35c-536f-11ef-81f6-1773b7c39f43.html', 'https://www.msn.com/en-us/sports/other/olympic-basketball-usa-basketball-not-looking-past-tuesday-s-quarterfinal-opponent/ar-AA1oeza9', 'https://www.msn.com/en-us/sports/other/team-usa-men-s-basketball-will-play-brazil-to-open-olympic-quarterfinals/ar-AA1obWcV', 'https://bvmsports.com/2024/08/05/2024-paris-olympics-team-usa-prepares-to-face-brazil-in-olympic-basketball-quarterfinals/']"
"Biles wins silver in gymnastics floor, her fourth medal in Paris.","US gymnast Simone Biles wins three golds as teammate Jordan Chiles takes bronze. Brazil's Rebeca Andrade wins gold in women's floor exercise. Team USA's Val Allman won a second straight gold in discus. Noah Lyles won his first heat in the 200 meters after his gold-medal photo finish in the 100 meters. Biles missed chance to get a record-setting tally of five gold medals in one Games. She now has 11 Olympic medals, which is more than any other American gymnast. The 2028 Games will be held in Los Angeles, but Biles knows that would be too taxing on her body and mind. The 27-year-old fell off the beam when attempting to do a back handspring into two back layouts, costing her a fourth medal in Paris. She has not said whether she intends to retire from gymnastics.","['https://www.nbcnews.com/video/biles-wins-silver-in-gymnastics-floor-her-fourth-medal-in-paris-216489029616', 'https://www.teamusa.com/news/2024/august/05/biles-chiles-finish-their-paris-2024-run-with-silver-and-bronze', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/', 'https://bleacherreport.com/articles/10130867-simone-biles-olympic-legacy-is-unmatched-after-dominant-showing-at-2024-paris-games', 'https://www.npr.org/2024/08/05/g-s1-15360/simone-biles-silver-olympics-paris', 'https://www.france24.com/en/live-news/20240805-biles-caps-glittering-campaign-with-floor-exercise-silver-after-beam-fall', 'https://people.com/simone-biles-wins-four-medals-2024-olympics-8690143', 'https://www.usatoday.com/story/sports/olympics/2024/08/05/olympic-gymnastics-live-results/74194380007/', 'https://www.indystar.com/story/sports/olympics/2024/08/05/olympic-gymnastics-live-results/74194380007/', 'https://www.nbcnews.com/sports/olympics/live-blog/olympic-games-2024-live-updates-rcna162870', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/LkKHCQmSzT31/', 'https://bearswire.usatoday.com/story/sports/nfl/bears/2024/08/05/jonathan-owens-reacts-simone-biles-wins-olympic-silver-floor-exercise/74676305007/', 'https://www.france24.com/en/live-news/20240805-biles-bows-to-brazil-s-olympics-gymnastics-floor-queen-andrade', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/V50ei4F9tW2X/', 'https://www.nytimes.com/live/2024/08/05/world/olympics-gymnastics-beam-floor-biles', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/ImSPbOh2kP1b/', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/HQng6NB4Pbvi/', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/mpPFfgWZRwrJ/', 'https://www.nytimes.com/athletic/live-blogs/simone-biles-live-updates-gymnastics-paris-olympics-2024-finals-results/hmcvrP769s7F/Ib9xjTdRfm2D/', 'https://bleacherreport.com/articles/10130802-simone-biles-jordan-chiles-win-silver-bronze-medals-in-womens-floor-at-olympics', 'https://bleacherreport.com/articles/10130830-olympic-2024-medal-count-final-tally-winners-from-day-10-early-events', 'https://www.huffpost.com/entry/simone-biles-floor-routine-olympics_n_66b08976e4b0f21c1146c95e', 'https://www.marieclaire.com/celebrity/simone-biles-silver-medal-win-paris-olympics-2024/', 'https://www.kgw.com/article/sports/olympics/simone-biles-floor-finals-routine-jordan-chiles/507-4faad41d-9420-44db-9054-d77610e185cb', 'https://www.whec.com/national-world/simone-biles-finishes-off-her-return-to-the-olympics-with-a-silver-on-floor-exercise/']"
Harbaugh 'was not aware' of any U-M violations.,"Jim Harbaugh is accused of committing a Level 1 violation, the most serious category in the NCAA's enforcement process. Harbaugh could face a ""show-cause"" restriction if he ever opts to return to college sports. The Big Ten suspended Harbaugh for the final three regular-season games of the 2023 season for violating the conference’s sportsmanship rules relating to a sign-stealing scandal involving a former staffer. Harbaugh led the Wolverines to a 15-0 record and the national championship in January  The Chargers then hired him on Jan  24.Jim Harbaugh was charged with a Level I violation for “unethical or dishonest conduct and a failure to cooperate,” according to the draft NOA that was delivered to Michigan last October. Harbaugh could face a show-cause penalty from the NCAA as a repeat offender if he is charged with not cooperating with investigators. The school also faces a Level 1 violation charge because of its “pattern of noncompliance within the football program” and institutional efforts to hinder or thwart the NCAA’s investigation. Stalions reportedly purchased tickets in his name to multiple games from 2021-2023 involving future Michigan opponents.","['https://www.espn.com/nfl/story/_/id/40738044/jim-harbaugh-denies-wrongdoing-amid-michigan-allegations', 'https://www.ocregister.com/2024/08/05/chargers-coach-jim-harbaugh-unaware-of-violations-at-michigan/', 'https://www.detroitnews.com/story/sports/college/university-michigan/2024/08/05/i-do-not-apologize-harbaugh-denies-knowing-about-um-sign-stealing-scheme/74681493007/', 'https://www.si.com/fannation/college/cfb-hq/news/jim-harbaugh-reacts-michigan-football-violations-report', 'https://www.mlive.com/wolverines/2024/08/jim-harbaugh-responds-to-alleged-michigan-violations-i-do-not-apologize.html', 'https://www.detroitnews.com/story/sports/college/university-michigan/2024/08/04/michigan-wolverines-coach-sherrone-moore-face-punishment-ncaa-sign-stealing-investigation/74665636007/', 'https://thebharatexpressnews.com/jim-harbaugh-again-denies-knowledge-of-michigan-sign-theft-scheme-i-make-no-apologies/']"
Noah Lyles wins 100-metre sprint in ultra-close photo finish.,"Noah Lyles won gold in the men’s 100-metres at the Stade de France on Sunday (4 August) The American crossed the line in 9 79 seconds, beating Kishane Thompson by five thousandths of a second. Julien Alfred defeated Sha'Carri Richardson to win the gold medals in the women's 100m. Snoop Dogg stepped out of a sleek black SUV, his entourage in tow, as a Parisian crowd erupts into chants of “Snoop, Snoop,. Snoop!” The 27-year-old made sure to dedicate a bit of his celebrations to his love of the genre of Japanese animation popularly associated in the U S with nerds. He pressed his wrists together to strike the signature pose of Goku from Dragon Ball Z.","['https://www.ft.com/content/b58a3982-3862-400d-89c7-c205340414f4', 'https://apnews.com/article/2024-olympics-100m-lyles-thompson-ccf37184afc2f3318271d4c495d2a16b', 'https://time.com/7007745/noah-lyles-olympics-100-meters-gold-anime-dragon-ball-celebration/', 'https://www.indiatoday.in/sports/olympics/story/paris-olympics-noah-lyles-kishane-thompson-photo-finish-100m-final-rules-explained-2577227-2024-08-05', 'https://www.firstpost.com/sports/watch-noah-lyles-100m-gold-five-thousandths-second-photo-finish-13800900.html', 'https://www.news9live.com/sports/others-sports/noah-lyles-wins-by-0-005-seconds-what-is-photo-finish-and-how-is-it-decided-in-olympics-2643972', 'https://ca.sports.yahoo.com/news/fastest-man-noah-lyles-jock-043949690.html', 'https://athleticsillustrated.com/lyles-wins-the-greatest-olympic-100-metre-sprint-final-in-history/', 'https://www.myjoyonline.com/fentuo-explaining-how-noah-lyles-was-declared-winner-over-kishane-thompson-in-olympics-100m-final/', 'https://www.tuko.co.ke/sports/athletics/557620-noah-lyles-kishane-thompson-how-paris-2024-mens-100m-winner-decided/', 'https://www.gearpatrol.com/watches/noah-lyles-omega-speedmaster/', 'https://www.theoaklandpress.com/2024/08/05/snoop-dogg-has-exploded-on-the-olympics-global-stage/amp/', 'https://www.hindustantimes.com/entertainment/anime/us-olympic-legend-is-the-world-s-fastest-anime-fan-japan-approves-101722881210619-amp.html', 'https://www.independent.co.uk/tv/sport/noah-lyles-olympics-100m-final-words-b2591209.html', 'https://www.yoursun.com/ap/sports/lyles-wins-historically-close-100-meter-sprint/article_d4e1dfac-b52e-510b-8f93-f3810c0c3e56.html', 'https://www.dexerto.com/anime/dragon-ball-z-tribute-olympic-gold-medalist-2850493/']"
"Armand ""Mondo"" Duplantis breaks pole vault world record in gold.","Sweden's Armand ""Mondo"" Duplantis won gold at the men's pole vault finals on Monday in Paris. US discus thrower Val Allman won her second straight Olympic gold with a throw of 69 50 meters. The men's basketball competition reaches the quarter-final stage (from 11am), with the top eight teams going head-to-head. Men's hockey is also reaching its conclusion, reaching the last four, as is women's football. The first gold medal will be awarded in boxing at the historic Roland-Garros Stadium. The canoe sprint events begin in Vaires-sur-Marne on Tuesday morning, with the final taking place on Wednesday morning at 11am. The women's 4x100m relay final takes place on Tuesday at the Stade de France.","['https://www.cbsnews.com/news/mondo-duplantis-pole-vaulting-record-olympic-gold-paris-2024/', 'https://www.theguardian.com/sport/article/2024/aug/05/2024-paris-olympic-games-armand-duplantis-pole-vault-world-record', 'https://www.washingtonpost.com/sports/olympics/2024/08/05/mondo-duplantis-pole-vault-world-record-gold-olympics/', 'https://www.walb.com/2024/08/05/mondo-duplantis-breaks-pole-vault-world-record-gold-medal-performance-olympics/', 'https://olympics.com/en/news/paris-2024-athletics-mondo-duplantis-soars-to-paris-2024-mens-pole-vault-gold-all-results', 'https://uk.news.yahoo.com/armand-duplantis-breaks-pole-vault-202237547.html', 'https://www.npr.org/2024/08/05/g-s1-15440/mondo-pole-vault-gold-sweden-paris-olympics', 'https://www.somdnews.com/2024olympics/armand-mondo-duplantis-breaks-pole-vault-world-record-in-gold-medal-performance-at-olympics/article_24491b88-2b6e-5290-9cb3-67c20267d6ba.html', 'https://www.news-herald.com/2024/08/05/armand-mondo-duplantis-breaks-pole-vault-world-record-katie-moon-advances-to-final/', 'https://www.wdsu.com/article/sweden-mens-pole-vault-olympics-gold-paris/61795316', 'https://www.goskagit.com/2024olympics/armand-mondo-duplantis-breaks-pole-vault-world-record-in-gold-medal-performance-at-olympics/article_16299cc7-c73e-5153-b5fa-e93706c7101f.html', 'https://www.espn.com/olympics/story/_/id/40737670/armand-duplantis-breaks-own-pole-vault-jump-record-wins-olympic-gold', 'https://www.tribdem.com/sports/paris-olympics-mondo-duplantis-breaks-pole-vault-world-record-in-gold-medal-performance/article_1a3a1d71-b71b-5c9c-b3df-4409b3e7bd6d.html', 'https://www.flotrack.org/articles/12767233-mondo-duplantis-still-has-it-mens-pole-vault-world-records-since-1994', 'https://www.theadvocate.com/baton_rouge/sports/lsu/history-made-mondo-duplantis-wins-second-olympic-pole-vault-gold-breaks-his-world-record/article_20f170d7-6e18-52db-8c02-261b8f9a0836.html', 'https://olympics.com/en/paris-2024/live-updates/3040f0c0-5283-451a-874b-ccf2dd24afd6', 'https://www.nytimes.com/athletic/5682112/2024/08/05/mondo-duplantis-pole-vault-final-sam-kendricks/', 'https://www.nytimes.com/athletic/live-blogs/paris-olympics-2024-live-updates-day-ten-scores-results/XOqC8eDGCzc5/', 'https://www.wbrz.com/news/former-lsu-pole-vaulting-star-mondo-duplantis-wins-second-gold-medal-breaks-own-world-record/', 'https://www.lemonde.fr/en/sports/article/2024/08/05/mondo-duplantis-breaks-pole-vault-world-record-in-gold-medal-performance-at-olympics_6709741_9.html', 'https://www.bbc.com/sport/olympics/articles/c17ggrnv2eno', 'https://olympics.com/en/paris-2024/live-updates/229cfb1d-8089-4494-a50a-810d7a1d8745', 'https://indianexpress.com/article/sports/sport-others/mondo-duplantis-pole-vault-world-record-paris-olympics-9497182/', 'https://olympics.com/en/paris-2024/live-updates/5a3cbb9c-d2ad-41e2-82bd-135fbe19aedc', 'https://www.springfieldnewssun.com/nation-world/mondo-duplantis-breaks-pole-vault-world-record-in-gold-medal-performance-at-olympics/7GKTAOQG4JAYHCOO3VFSD75WI4/']"
Harrison Butker of the Kansas City Chiefs is reportedly becoming the highest paid NFL kicker.,"Kansas City Chiefs kicker Harrison Butker has agreed to a four-year deal, according to reports. Butker announced the extension on X but provided no details. The new contract is reportedly for $25 6 million over four years, including $17 75 million guaranteed. The 29-year-old represented himself in negotiations, ESPN’s Adam Schefter and NFL Network’S Ian Rapoport said. He has made 89% of the field goals he has attempted in his seven-year career – second best in history – with his longest kick a 62-yarder in 2022.Harrison Butker, 29, is entering his eighth NFL season as the best-paid player at his position. The kicker made headlines this offseason after delivering a controversial commencement speech at Benedictine College. Butker said some Catholic leaders were ""pushing dangerous gender ideologies onto the youth of America"" He also said the women in attendance ""have had the most diabolical lies told to you"" The NFL released a statement asserting that Butker's ""views are not those of the NFL as an organization "" Butker stood by the contents of his speech, saying he had no regrets.","['https://www.cnn.com/2024/08/05/sport/harrison-butker-nfl-highest-paid-kicker-spt/index.html', 'https://www.nbcnews.com/news/sports/chiefs-harrison-butker-highest-paid-kicker-rcna165253', 'https://www.si.com/nfl/chiefs/news/report-harrison-butker-signing-contract-extension-with-kansas-city-chiefs-becomes-highest-paid-kicker-in-nfl', 'https://www.thebiglead.com/posts/the-nfl-s-biggest-political-lightning-rod-is-also-the-highest-paid-at-his-position', 'https://thescore.com/nfl/news/3049211']"
"Daniel Jones explains involvement in the Lions-Giants joint-practice scuffle: 'You know, you know, you know.'","The New York Giants and Detroit Lions had a fight-filled day at a joint practice Monday. Quarterback Daniel Jones shoved Lions defensive lineman Alim McNeill in the back to spark a scrum. Jones was pulled out of the skirmish for which he supplied the lighter fluid by a team employee. Giants and Lions have gotten into multiple fights, most of which have been caught on camera by members of the media or fans attending the open practice. It might be time to separate these two teams and put every individual player in timeout. Neither team can afford for any player to miss time from something as dumb as a training camp fight.The New York Giants and the Detroit Lions had several scuffles during their joint practice on Monday. A multitude of separate instances where large groups of players were seen shoving one another and punches were even thrown between both teams. Giants starting quarterback Daniel Jones was involved in one of the skirmishes, a sight that organizations and fans alike especially never want to see at practice. The two teams will be able to square off for all to see in a preseason matchup on Thursday at MetLife Stadium. The Giants won the 7-on-7 period against Detroit’s first-team defense. Will focus more on the offense on Tuesday.","['https://www.nfl.com/news/daniel-jones-explains-involvement-in-lions-giants-joint-practice-scuffle-you-try-to-stand-up-for-guys', 'https://www.espn.com/nfl/story/_/id/40739056/daniel-jones-incites-scuffle-chippy-giants-lions-practice', 'https://www.mlive.com/sports/2024/08/camp-observations-lions-dont-take-no-expletive-in-fight-filled-practice.html', 'https://uk.sports.yahoo.com/news/multiple-fights-break-out-at-giants-lions-joint-training-camp-qb-daniel-jones-pulled-out-of-fray-video-170353786.html', 'https://uk.sports.yahoo.com/news/multiple-fights-break-out-at-giants-lions-joint-training-camp-qb-daniel-jones-pulled-out-of-fray-170353428.html', 'https://www.nytimes.com/athletic/5682391/2024/08/05/lions-giants-joint-practice-gets-chippy-plus-a-day-following-the-defense/', 'https://www.on3.com/pro/news/quarterback-daniel-jones-general-manager-joe-schoen-involved-new-york-giants-detroit-lions-training-camp-fight/']"
Alabama football's 2024 preseason coaches poll ranking is program's lowest since 2009. Alabama football's 2024 preseason coaches poll ranking is program's lowest since 2009.,"Alabama debuts at No. 5 in USA Today's Top 25 Preseason Coaches Poll. The Crimson Tide plays Georgia in week five of the regular season at Bryant-Denny Stadium. Georgia had 46 first-place votes, followed by Ohio State (seven), Texas (one) and reigning national champion Michigan (1) The SEC and Big Ten make up more than half of the spots. No teams from Group of 5 conferences made the poll — Memphis was the closest, finishing fifth in the “others receiving votes” category. Six of the teams in the top 25 changed leagues: Oregon and USC (Pac-12 to Big Ten), Texas and Oklahoma (Big 12 to SEC) and Utah and Arizona ( Pac- 12 to Big 12) The former Pac-12, which is now down to only Oregon State and Washington State, would have placed four programs in the preseason poll.","['https://247sports.com/college/alabama/article/alabama-footballs-2024-preseason-coaches-poll-ranking-is-programs-lowest-since-2009-234464774/', 'https://6abc.com/sports/georgia-ohio-state-top-coaches-preseason-college-football-poll/15146952/', 'https://tdalabamamag.com/2024/08/05/alabama-football-debuts-at-lowest-preseason-ranking-in-usa-today-coaches-poll-since-2009/', 'https://247sports.com/college/alabama/article/roll-pod-go-hike-a-mountain-234484024/', 'https://247sports.com/college/alabama/article/alabamas-2024-preseason-coaches-poll-ranking-is-programs-lowest-since-2009-234464774/', 'https://www.nytimes.com/athletic/5681893/2024/08/05/college-football-preseason-top-25-coaches-poll/']"
