Headlines,Links,ArticleBodyText
"‘House of the Dragon’ to End With Season 4, Season 3 to End.",https://variety.com/2024/tv/news/house-of-the-dragon-end-season-4-1236095543/,"Send a raven: It’s finally been confirmed how many seasons HBO’s “House of the Dragon” will run.

During a press conference on Monday discussing the Season 2 finale of “House of the Dragon,” showrunner and co-creator Ryan Condal revealed that the “Game of Thrones” prequel will include two more seasons, and will conclude with Season 4.

Condal also confirmed that the third season is currently being written, they will be doing prep for it in the fall, with the plan to go into production in “earlyish 2025.” When asked whether Season 3 will also be eight episodes, as its second season was, Condal said: “I haven’t had discussions with HBO about it. I would just anticipate the cadence of the show, from a dramatic storytelling perspective, will continue to be the same from Season 2 on.”

“A Song of Ice and Fire” author George R.R. Martin, who is co-creator on “House of the Dragon,” has previously stated on his personal blog that he believes it would take four seasons of 10 episodes each to tell the show’s “Dance of the Dragons” story from his “Fire & Blood” book. But up until now, HBO had not confirmed how many seasons “House of the Dragon” would be.

Popular on Variety

HBO’s adaptation of Martin’s “Game of Thrones” — based on his still-not-concluded “A Song of Ice and Fire” series — ran for eight seasons from 2011-2019. Currently, the premium cable channel is in production on another “Game of Thrones” prequel, “A Knight of the Seven Kingdoms,” which is based on Martin’s “Tales of Dunk and Egg,” and takes place 100 years before the events of “Game of Thrones.”

Elsewhere during the Monday presser, Condal addressed why the Season 2 finale, which aired on Aug. 4, didn’t include the Battle of the Gullet, an iconic story beat from “Fire & Blood” that is the logical next point in the “House of the Dragon” plot.

“We we were trying to give the Gullet, which is arguably the most anticipated — well, I would say maybe the second-most-anticipated — action event of ‘Fire & Blood,’ trying to give it the time and the space that it deserves,” Condal said. “Obviously, as anybody that’s seen the finale, we’re building to that event. That event will happen very shortly in terms of the storytelling of ‘House of the Dragon.’

“Based on what we know now, it should be the biggest thing to date that we’ve pulled off,” Condal said. “And we just wanted to have the time, the space to do that at a level that is going to excite and satisfy the fans and in the way it’s deserved.”

The “House of the Dragon” boss says the team “also wanted to build some anticipation toward it,” further detailing why Season 2 didn’t end with the Battle of the Gullet.

“I know everybody wants this to come out every summer,” Condal said. “It’s just that the show is so complex that we’re really making multiple feature films every season. So I apologize for the wait, but I will just say if Rook’s Rest and the Red Sowing are any indication, we’re gonna pull off a hell of a win with the Battle the Gullet in the future.”

Condal also teased why Otto Hightower (Rhys Ifans) — the former Hand of the King, and Alicent’s father — was seen briefly among the Season 2 finale’s last images, seemingly imprisoned — a departure from “Fire & Blood.” Condal deflected on giving specifics on what that glimpse of the character meant, saying those answers will have to wait until Season 3, adding, “We were delighted to have Rhys reenter the story, and I will just say that the Otto Hightower tale has not yet come to an end.”"
"‘House of the Dragon’ to End With Season 4, Season 3 to End.",https://deadline.com/2024/08/house-of-the-dragons-ryan-condal-confirms-drama-ending-after-four-seasons-1236031608/,"As Deadline reported in March, House of the Dragon was given a shorter season this year — two fewer than season one — as part of a long-term plan for the drama. That meant a major battle was going to be postponed until season 3, and for fans of George R.R. Martin’s books, that obviously meant the bloody Battle of the Gullet between the Blacks and Greens.

In talking with reporters Monday, Showrunner Ryan Condal didn’t straight-up address how the reduction of episodes led to a relatively low-energy finale on Sunday, or why the decision was made not to go out with a bang. But Condal did remind fans that the drama is not exactly rich with infinite time and resources to stage a battle at every turn.

“As a showrunner you are always in a position of having to balance storytelling and resources you have available to tell that story,” said Condal. “We are also starting to think about, what is the final destination of this series and where are we going? A combination of factors led to that re-balance. There is a tremendous amount of resources, construction, armor, costumes and visual affects needed to give the Gullet, which is arguably the second most anticipated action even to Fire and Blood, the time and the space it deserved. We are building to that event. It will happen very shortly in terms of storytelling. It will be the biggest thing to date we have pulled off. We want to have the time and space to do that at a level that will excite the fans.”

RELATED: ‘House Of The Dragon’: Meet The Dragonseed Who Tames Vermithor In “The Red Sowing”

Condal was relatively coy about sharing key plot points from season 3 other than confirming that HOTD will run for four seasons (there was talk of either three or four) and production will resume in early 2025. He wouldn’t say how many episodes the new season will have, nor would he say whether to expect more dragons. He also wouldn’t tease what to expect from Otto Hightower (Rhys Ifans), who unexpectedly appeared behind bars at the end of season two other than hinting “the tale has not yet come to an end.”

“There are so many great events that we are already writing in season 3 as it is,” he said. “This war really comes to a big head at this point in the storytelling. I mean, if you look at season 2, it’s largely a metaphor for a nuclear conflict … There’s gonna be giant moments of spectacle but real moments of surprise and character nuance that we’re very much looking forward to. Some of my favorite moments of in the book, as a reader, I’m excited to adapt as a dramatist.”

Condal once again brought up the challenge of creating a show for audience members who haven’t read Martin’s books. House of the Dragon is set 172 years before the events of Game of Thrones and tells the story of House Targaryen.

“I invite anybody to take the off season to purchase and read Fire and Blood so you can be armed with lots of information going into season 3,” said Condal, who has already begun writing season 3. “It’s a very tricky position in my seat, Sara Hess and I are custodians of this world. We have to render an exciting TV adaptation of this story, knowing there will be a percentage of the gigantic TV audience that has not read the book. We are constantly trying to serve both worlds.”"
"‘House of the Dragon’ to End With Season 4, Season 3 to End.",https://www.cosmopolitan.com/entertainment/tv/a61112068/house-of-the-dragon-season-3-release-schedule/,"The Targaryen Dynasty will continue to reign on HBO, with more House of the Dragon coming our way for at least another season. Here's what we already know about House of the Dragon season 3.

Season 1 of the Game of Thrones prequel introduced us to the Targaryen civil war of succession by framing it as a friendship breakup. By the time Arya and Sansa Stark read about the Blacks and Greens, they know that Alicent Hightower, mother of the usurper Aegon II Targaryen, and Rhaenerya Targaryen, whose father King Viserys wished her to break the proverbial glass ceiling and sit on the Iron Throne, were rivals. But once upon a time, they were loving, caring childhood friends.

It makes the story of their families and allies tear each other apart over greed and miscommunication, which would be named the ""Dance of the Dragons,"" all the more devastating. At the end of season 1, the war had just begun in earnest. With season 2 about to conclude, here's what we know about what could come next.

So is House of the Dragon coming back for season 3?

Yes yes yes!!! House of the Dragon was already renewed for season 3, just days before season 2's arrival on our TV screens. Team Black and Team Green will continue to duke it out.

Showrunner and co-creator Ryan Condal revealed in a press conference that the series will end with its fourth season and that the series will begin filming for season 3 in the beginning of 2025, according to Variety.

What would season 3 be about?

That depends on how season 2 ends, so we'll have to wait until this weekend to see. The series is based on a few chapters of House Targaryen lore in the fictional ""history book"" Fire & Ice—specifically the ones that cover the ""Dance of the Dragons"" civil war. That conflict lasted for three years... which is wild considering that the first season of House of the Dragon took place over a decade thanks to some well-placed time jumps.

Honestly, it's hard to say who will be in season 3, because characters die very quickly on this show. But it seems that the war is going to keep raging because it's basically barely begun. Since I've read parts of Fire & Ice and know what's coming, I actually don't even want to tell you which characters it's safe to get attached so. Not many make it out alive. I'll leave it at that.



When would House of the Dragon season 3 come out?

There were two years between season 1 and season 2. As a lover of television, that's not ideal. They couldn't even blame the delay on last year's SAG-AFTRA strike, because actors in the UK are in a different union. I'm not hopeful, but fingers crossed that season 3 will be released in 2025, not 2026. With the exception of Game of Thrones season 8, which came out two years after season 7, the original series came out promptly every Spring/Summer for six years. Let's aim to get back to that, pretty please!!"
"‘House of the Dragon’ to End With Season 4, Season 3 to End.",https://comicbook.com/tv-shows/news/house-dragon-ending-canceled-season-3-4-hbo-max/,"House of the Dragon will be ending with Season 4. We also know when Season 3 will begin production.

House of the Dragon will officially be ending with Season 4. HBO has also announced that Season 3 of HotD will begin production in ""earlyish 2025,"" according to showrunner Ryan Condal.

(Photo: HBO)

Condal also hinted that Season 3 (and Season 3) of the show will also follow the format of Season 2 and consist of eight episodes, stating: ""I haven't had discussions with HBO about it, I would just anticipate the cadence of the show, from dramatic storytelling perspective, will continue to be the same from Season 2 on.""

The news of House of the Dragon ending was revealed during a press conference today, hours after the Season 2 Finale premiered on HBO and Max streaming. The sophomore season proved that House of the Dragon is one of the dominant TV shows in pop-culture right now – it's also proven the viability of HBO's Game of Thrones franchise as a larger universe of spinoff shows.

How Many Game of Thrones Spinoff Show Are There?

House of the Dragon takes place nearly 175 years before GoT; HBO has announced an Aegon the Conqueror series set 300 years before GoT, which would chronicle how the Targaryen Dynasty is first established in Westeros. HBO just revealed first footage of another prequel series in development, The Hedge Knight, which will be set less than 100 years before GoT and chronicle the legend of ""Dunk and Egg."" The most recent announcement was that 10,000 Ships, a series set roughly 1,000 years before the events of Game of Thrones, is still in development.

Based on George R.R. Martin's ""Fire & Blood"" book, House of the Dragon is set 200 years before the events of Game of Thrones. In Season 2 of House of the Dragon, Westeros is on the brink of a bloody civil war with the Green and Black Councils fighting for King Aegon and Queen Rhaenyra, respectively. New episodes of House of the Dragon premiere every Sunday on HBO at 9 p.m. ET.

The cast for House of the Dragon includes Matt Smith as Prince Daemon Targaryen, Olivia Cooke as Dowager Queen Alicent Hightower, Emma D'Arcy as Queen Rhaenyra Targaryen, Eve Best as Princess Rhaenys Targaryen, Steve Toussaint as Lord Corlys Velaryon, Fabien Frankel as Ser Criston Cole, Ewan Mitchell as Prince Aemond Targaryen, Tom Glynn-Carney as King Aegon II Targaryen, Sonoya Mizuno as Mysaria, and Rhys Ifans as Ser Otto Hightower.

Via Variety"
"‘House of the Dragon’ to End With Season 4, Season 3 to End.",https://www.slashfilm.com/1636657/house-of-the-dragon-season-4-end-series-season-3-shoots-early-2025/,"This article contains spoilers for the ""House of the Dragon"" season 2 finale.

Remember the good old days of TV, when you had enough episodes to really get to know a cast of characters, the shows could get weird and experimental, and you didn't have to wait two years for the next episode? Me neither.

""House of the Dragon"" has a structural problem. Although the show managed to win over many fans after the disastrous final season of ""Game of Throne"" with a delightful first season, its second season was disjointed, repetitive, and rather inconclusive. Despite a strong start, the show's eight-episode count ended up hurting it as many character arcs stalled for most of the season, and conversations started becoming redundant. It then concluded with a season finale that felt very much like a penultimate episode, cutting what was clearly being set up as the climax of the season and leaving the arc of this season without a culmination or conclusion, just table setting.

Those thinking the show would leave them hanging before we see such events as the Battle Above the Gods Eye need not worry though. According to Variety, HBO has confirmed that ""House of the Dragon"" season 3 will start shooting early next year, with the show ending after its fourth season as the Dance of the Dragons draws to a close."
"‘House of the Dragon’ to End With Season 4, Season 3 to End.",https://www.tvinsider.com/1139789/house-of-the-dragon-season-3-premiere-date-cast-hbo/,"[Warning: The following contains MAJOR spoilers for House of the Dragon Season 2.]

The Targaryen civil war will take place over just two more seasons of House of the Dragon. HBO and series co-creator Ryan Condal announced on August 5, the day after the Season 2 finale, that the Game of Thrones prequel will end with Season 4. They also shared the first production update on Season 3.

Based on George R.R. Martin’s Fire & Blood, House of the Dragon is set 200 years before the events of Game of Thrones and tells the story of House Targaryen. War has broken out between the two sides of the family after Alicent Hightower (Olivia Cooke) usurped the Iron Throne in favor of her son, Aegon (Tom Glynn-Carney) at the end of Season 1 and robbing Rhaenyra (Emma D’Arcy) of her inheritance. This was followed by the death of Rhaenyra’s young son Lucerys (Elliot Grihault) at the hand of Aemond’s (Ewan Mitchell) dragon Vhagar. Season 2 revealed what happened after those tragic events, ending with the setup for one of the most intense battles from Fire & Blood, the Battle of the Gullet, in Season 3.

Here’s everything there is to know about House of the Dragon Season 3 so far.

When does House of the Dragon Season 3 come out?

Co-creator and showrunner Ryan Condal announced in an August 5 press conference that House of the Dragon Season 3 production is expected to begin in “early-ish 2025.”

The House of the Dragon Season 3 premiere date will be announced at a later time, but for an idea of when Season 3 could come out, we can look to the time gap between the first two seasons. With just under two years having passed between Seasons 1 and 2, it would be reasonable to presume that it would take around the same time for Season 3 to debut. That’s not set in (dragon) stone, however.

Production on House of the Dragon Season 2 began in April 2023 following the October 2022 finale. Production on Season 2 was not delayed by the Hollywood strikes that summer, as the scripts for the eight-episode season were completed prior to the start of the writers’ strike. Most of the actors in the series are not members of SAG-AFTRA but rather U.K. acting unions, thus allowing them to continue working. Season 2 took about six months to film, with several months of post-production work after that. Season 2 then premiered in June. Based on that, a 2026 release date for Season 3 seems likely.

How many episodes will there be in House of the Dragon Season 3?

House of the Dragon Season 2 was shortened to eight episodes following the 10-episode second season. Condal was asked about the anticipated episode count for Season 3 during the press conference, to which he replied, “I haven’t had discussions with HBO about it. I would just anticipate the cadence of the show, from dramatic storytelling perspective, will continue to be the same from Season 2 on.” The vague answer leaves room for the possibility of a return to 10 episodes.

What will happen in House of the Dragon Season 3?

The Season 2 finale ended with intense buildup to a major battle from the book, the Battle of the Gullet. Condal says to expect that battle to take place early in Season 3, in addition to explaining why it wasn’t in Season 2. He says it will be “the biggest thing to date that we’ve pulled off.”

“We we were trying to give the Gullet, which is arguably the most anticipated — well, I would say maybe the second-most-anticipated action event of ‘Fire & Blood,’ trying to give it the time and the space that it deserves,” Condal told journalists. “Obviously, as anybody that’s seen the finale, we’re building to that event. That event will happen very shortly in terms of the storytelling of House of the Dragon. Based on what we know now, it should be the biggest thing to date that we’ve pulled off, and we just wanted to have the time, the space to do that at a level that is going to excite and satisfy the fans and in the way it’s deserved.”

The Battle of the Gullet is a fight between Rhaenyra’s forces and the Aegon’s, now led by Aemond. As teased in the Season 2 finale, the battle is fought by air and sea. Dragons and their dragonriders will face off as Corlys (Steve Toussaint) leads his fleet in battle against the greens’ naval arsenal. The finale showed Tyland Lannister (Jefferson Hall) successfully recruiting an armada from Essos to Aegon’s side, led by the Triarchy Admiral Sharako Lohar (Abigail Thorn). They’ll face off in the Gullet, the stretch of water between Driftmark and Dragonstone. Blackwater Bay opens into the Gullet.

Condal says they “wanted to build” more “anticipation toward” this epic battle in Season 2. “I know everybody wants this to come out every summer,” he said. “It’s just that the show is so complex that we’re really making multiple feature films every season. So I apologize for the wait, but I will just say if Rook’s Rest and the Red Sowing are any indication, we’re gonna pull off a hell of a win with the Battle the Gullet in the future.”

HBO Gave House of the Dragon an Early Season 3 Renewal

HBO renewed House of the Dragon for Season 3 just days before the Season 2 premiere, which aired on Sunday, June 16. The early renewal came even earlier than House of the Dragon‘s Season 2 pickup in 2022. The first Game of Thrones spinoff was renewed on August 26, 2022, five days after its series premiere on August 21. Now, its Season 3 renewal comes three days before the show returns to our screens.

“George, Ryan, and the rest of our incredible executive producers, cast, and crew, have reached new heights with the phenomenal second season of House of the Dragon,” Francesca Orsi, Executive Vice President, HBO Programming, Head of HBO Drama Series and Films, said in a statement on June 13. “We are in awe of the dragon-sized effort the entire team has put into the creation of a spectacular Season 2, with a scope and scale that is only rivaled by its heart. We could not be more thrilled to continue the story of House Targaryen and watch this team burn bright again for Season 3.”

House of the Dragon Season 3 Cast

While an official cast for House of the Dragon Season 3 has not been announced, Season 2 features returning stars D’Arcy, Cooke, Glynn-Carney, Mitchell, Matt Smith, Fabien Frankel, Rhys Ifans, Eve Best, Steve Toussaint, Matthew Needham, Sonoya Mizuno, Harry Collett, Bethany Antonia, Phoebe Campbell, Phia Saban, and Jefferson Hall.

Additional cast for Season 2 includes Abubakar Salim, Gayle Rankin, Freddie Fox, Simon Russell Beale, Clinton Liberty, Jamie Kenna, Kieran Bew, Tom Bennett, Tom Taylor, and Vincent Regan. Thorn will presumably return as Sharako in Season 3 now that her forces are pledged to Aegon’s cause.

Unless she appears in flashback form or in some kind of vision as seen at Harrenhal this season, Best will not be back as Rhaenys. Her character met her tragic fate in the Battle of Rook’s Rest depicted in Season 2 Episode 4.

House of the Dragon, Season 3 Premiere, TBA, HBO"
"‘House of the Dragon’ to End With Season 4, Season 3 to End.",https://www.gamesradar.com/entertainment/fantasy-shows/game-of-thrones-spin-off-series-house-of-the-dragon-to-end-with-season-4/,"House of the Dragon is set to end after four seasons.

Showrunner and co-creator Ryan Condal broke the news during a press conference discussing the House of the Dragon season 2 finale. Season 3 is currently being written and is set to begin production in early 2025, though it still seems we'll have to wait some two years for the season premiere.

""I haven’t had discussions with HBO about it,"" Condal said, when asked if season 3 would consist of eight episodes (via Variety). ""I would just anticipate the cadence of the show, from a dramatic storytelling perspective, will continue to be the same from Season 2 on."" The question stemmed from a 2022 post on George R.R. Martin's personal blog, where he speculated that each season would need 10 episodes to adequately tell the complete story.

House of the Dragon is based on the book Fire & Blood, which tells the story of House Targaryen and takes place nearly 200 years before the events of Game of Thrones. The season 2 cast includes Matt Smith, Eve Best, Steve Toussaint, Fabien Frankel, Ewan Mitchell, Tom Glynn-Carney, Sonoya Mizuno, and Rhys Ifans.

The second season of the Game of Thrones spin-off focuses on the battle between the Blacks and the Greens, AKA the two sides of the Targaryen family – which eventually becomes the epic event known as the Dance of the Dragons.

House of the Dragon seasons 1 and 2 are streaming now on Max. For more, check out our list of the best new TV shows coming your way in 2024 and beyond, or, check out our guide to the House of the Dragon season 2 ending explained."
"‘House of the Dragon’ to End With Season 4, Season 3 to End.",https://www.indiewire.com/news/breaking-news/house-of-the-dragon-to-end-season-4-showrunner-confirms-1235032662/,"HBO‘s “House of the Dragon” will end after four seasons, showrunner and co-creator Ryan Condal revealed in a Monday press conference.

The third season of the “Game of Thrones” prequel series is currently being written, Condal told press. The Season 2 finale just aired (and streamed on Max!) on Sunday night. Condal expects to begin production on Season 3 sometime in “early-ish” 2025.

While it was suspected that “House of the Dragon” might only last four or five seasons, this is the first time Condal has confirmed a definitive end. George R. R. Martin, who is a co-creator on “House of the Dragon,” wrote in a 2022 blog post that he expected the series would need roughly four seasons of 10 episodes each in order to fully tell the story of “Dance of the Dragons” from his book “Fire & Blood.” HBO’s drama chief Francesca Orsi also previously said she expected “House of the Dragon” would run for a minimum of four seasons. She recently (officially, it was never in doubt) picked up a third season.

At the presser, Condal was also asked what we might expect, episode-count-wise, from these subsequent seasons. All he said was to not expect too many changes to the formula.

“Without saying anything, because I haven’t had discussions with HBO about it, I would just anticipate the cadence of the show, from a dramatic storytelling perspective, will continue to be the same from Season 2 on,” Condal said.

Season 1 was 10 episodes; Season 2 had eight.

Condal did tease a bit of what he’s excited about working on for Season 3. The war is coming to a head at this very moment in the story; Condal said this just-wrapped season was “largely a metaphor for a nuclear conflict.” The best stuff is still to come, he promised.

“If Season 2 was the the arming of the sides and the Cold War, with moments of actual conflict and explosion, I think Season 3, really, you do start to see things boil over from here to the end of the war,” he said. “So as always with this show, there’s going to be giant moments of spectacle, but also real moments of surprise and character nuance that we’re very much looking forward to. And I think really, some of my favorite moments in the book are, just as a reader, that I’m excited to adapt as a dramatist are yet to come in the story.”

Condal previously said he felt Season 3 would be the biggest challenge in finding fresh storylines.

“There’s a rhythm to all this, these kinds of stories as you tell them,” Condal said. “And we’re trying to find satisfying arcs within the season structure. So, hopefully you start with a bang, and then you build to another bang through the series, but you’re really trying to arc out the characters, so that each season is a different experience for all of them. And then you leave them off all in a place where you can pick up with them next year, and then take them in a new direction, because you don’t want to end up in that place where you’re doing the same thing again and again.”

“House of the Dragon” has continued to be a major hit for HBO, with the premiere providing the biggest premiere in Max history, but only because when the first season premiered even bigger, the service was still called HBO Max."
"‘House of the Dragon’ to End With Season 4, Season 3 to End.",https://ew.com/house-of-the-dragon-creator-ryan-condal-show-ending-season-4-8690442,"Warning: This article contains spoilers from the House of the Dragon season 2 finale.

The war is only just starting to heat up on House of the Dragon, but the end is already in sight.

On Monday, creator Ryan Condal revealed that the Game of Thrones prequel will only last four seasons. ""I think it's four,"" he told the group of journalists via a Zoom press conference the morning after the House of the Dragon season 2 finale aired.

Matt Smith and Emma D'Arcy on 'House of the Dragon'. Ollie Upton/HBO

The showrunner first answered a question about how the highly anticipated Battle of the Gullet did not occur in the season 2 finale, and whether it was originally supposed to take place this season.

""One of the things that really came into play in season 2 is what is the final destination of the series and where are we going?"" Condal said. ""And I think it was a combination of factors that led us — knowing now where we're going and we know what that end point is — to rebalance the story in such a way that we had three further great seasons of television to round out and tell this story, and we knew where we were going and we know how those things kind of break up and break out.""

He added that they ""were trying to give the Gullet, which is arguably the most anticipated — well, I would say maybe the second most anticipated action event of Fire & Blood — trying to give it the time and the space that it deserves.""

Ollie Upton/HBO

Later during the conversation, Condal was asked to clarify what he meant by ""three further great seasons of television to round out and tell this story,"" which is when he confirmed that he's planning to end the show with season 4.

As for when the prequel series will return with season 3, Condal revealed the tentative schedule. ""We will be starting prep in the fall and we should be in production again in early-ish 2025,"" he said.

Now that Rhaenyra (Emma D'Arcy) has seven adult dragons and Daemon (Matt Smith) re-pledged his loyalty and armies to her, the table has been set for the war to really ignite.



Olivia Cooke as Alicent Hightower on 'House of the Dragon' season 2. HBO

""I haven't had discussions with HBO about it, [but] I would just anticipate the cadence of the show from a dramatic storytelling perspective will continue to be the same from season 2 on,"" he said. ""There are so many great events that we're already writing in season 3 as this war really comes to a big head at this point in the storytelling.""

He added that the show is ""largely a metaphor for nuclear conflict.""

""If season 2 was the arming of the sides and the cold war with moments of actual conflict and explosion, I think season 3 you do start to see things boil over from here to the end of the war,"" Condal explained. ""As always with this show, there's going to be giant moments of spectacle but also real moments of surprise and character nuance that we're very much looking forward to. Some of my favorite moments in the book, just as a reader, that I'm excited to adapt as a dramatist, are yet to come in the story.""

Sign up for Entertainment Weekly's free daily newsletter to get breaking TV news, exclusive first looks, recaps, reviews, interviews with your favorite stars, and more."
"‘House of the Dragon’ to End With Season 4, Season 3 to End.",https://www.independent.co.uk/arts-entertainment/tv/news/the-house-of-dragon-season-3-release-date-b2591587.html,"Support truly

independent journalism Support Now Our mission is to deliver unbiased, fact-based reporting that holds power to account and exposes the truth.



Whether $5 or $50, every contribution counts.



Support us to deliver journalism without an agenda. Louise Thomas Editor Find out more

House of the Dragon co-creator and showrunner Ryan Condal has confirmed that the show will end after four seasons.

Condal made the announcement on Monday (August 5) during a press conference following the release of the show’s season two finale.

He also shared an update about the drama’s third season, revealing that it’s currently being written and will go into production in “earlyish 2025.”

When asked whether season three will have eight episodes as season two did, Condal said: “I haven’t had discussions with HBO about it. I would just anticipate the cadence of the show, from a dramatic storytelling perspective, will continue to be the same from season two on.”

The HBO show is based on Fire & Blood, the first prequel book in author George RR Martin’s A Song of Ice and Fire fantasy series. It is set nearly 200 years before the events detailed in Game of Thrones and follows the story of the Targaryen civil war with King Viserys I Targaryen’s five children battling for control of the Iron Throne.

Martin, who also serves as a co-creator on the show, previously said he anticipated House of the Dragon would have at least four seasons.

open image in gallery ‘House of the Dragon’ will officially conclude with season four ( Theo Whiteman/HBO )

“It is going to take four full seasons of 10 episodes each to do justice to the Dance of the Dragons, from start to finish,” he wrote on his personal blog in 2022.

In a January update, the bestselling author said that he had been discussing the “third and fourth seasons” with Condal and the other writers.

The House of the Dragon was officially renewed for a third season ahead of its season two debut in June.

Watch Apple TV+ free for 7 days New subscribers only. £8.99/mo. after free trial. Plan auto-renews until cancelled Try for free

Watch Apple TV+ free for 7 days New subscribers only. £8.99/mo. after free trial. Plan auto-renews until cancelled Try for free

“George, Ryan, and the rest of our incredible executive producers, cast, and crew, have reached new heights with the phenomenal second season of House of the Dragon,” said HBO programming Executive Vice President Francesca Orsi in a statement at the time.

“We are in awe of the dragon-sized effort the entire team has put into the creation of a spectacular season two, with a scope and scale that is only rivaled by its heart. We could not be more thrilled to continue the story of House Targaryen and watch this team burn bright again for season three.”

The season two finale, which was released on Sunday (August 4), has left critics and viewers disappointed.

“Eight episodes in, we’re still waiting for fiery action,” The Indendent’s Nick Hilton wrote in his two-star review of the finale. The show “is still afflicted by a glacial narrative pace. Even its characters seem gripped by ennui,” he added.

House of the Dragon is available to stream on Max in the US and on Now and Sky Atlantic in the UK."
