Headlines,Links,ArticleBodyText
Cancer Screening costs over $43 Billion a year in the U.S.,https://www.medpagetoday.com/hematologyoncology/othercancers/111379,"The cost of initial cancer screening in the U.S. was estimated to be over $43 billion in 2021, which was less than the reported annual cost of cancer treatment in the first year after diagnosis, according to a modeling study.

Using national healthcare survey and cost resources data, the total healthcare system costs for initial breast, cervical, colorectal, lung, and prostate cancer screening were estimated at $43.2 billion in 2021, reported Michael T. Halpern, MD, PhD, of the National Cancer Institute, and colleagues.

Of note, colorectal cancer screening accounted for 63.6% of the total amount, at $27.5 billion, with screening colonoscopy representing about 55% of the total, they noted in the Annals of Internal Medicine.

Patients with private insurance accounted for more than 88% of all screening costs, while Medicare beneficiaries accounted for 8.5%, and Medicaid beneficiaries, those with coverage from another government program, and uninsured patients accounted for 3.2%.

""The annual cost of cancer screening represents a notable portion of overall U.S. healthcare system costs related to cancer,"" Halpern and colleagues wrote. ""Identification of these costs and the drivers for cancer screening costs are critical to help inform policy and develop programmatic priorities, particularly for enhancing access to recommended cancer screening services.""

While the costs of screening are substantial, the authors noted that ""it is important to consider the value resulting from cancer screening.""

They pointed out that previous research supports the cost-effectiveness of screening for breast, cervical, colorectal, and lung cancer, and clinical trials have shown that recommended cancer screening can reduce cancer-specific mortality.

However, in an editorial accompanying the study, H. Gilbert Welch, MD, MPH, of Brigham and Women's Hospital in Boston, noted that whether the cost of screening is ""$43 billion or $100 billion, questions remain about the value of the expenditure.""

He argued that the effect of cancer screening ""is so small that randomized trials must enroll tens of thousands of participants to reliably detect a change in cancer-specific mortality -- not all-cause mortality,"" adding that ""exaggeration of benefits and minimization of harms cause real problems.""

""Resources devoted to cancer screening would be better directed toward ensuring widespread access to effective cancer treatment,"" Gilbert wrote. ""And addressing the social determinants of cancer risk -- smoking, obesity, poverty, and unhealthy living conditions -- would reduce death from multiple causes, not just cancer.""

For this study, Halpern and team estimated the number of people screened for breast, cervical, colorectal, lung, and prostate cancer in the past year using data from the 2021 National Health Interview Survey. To estimate the total cost of cancer screening, they multiplied the number of people screened for those cancers and associated healthcare system costs by typical insurance cost per screen in 2021 dollars.

""For all screening tests, only medical care costs associated with the initial screening were included,"" they noted. ""Due to limitations of available data, costs of follow-up imaging and procedures after initial abnormal or positive screening results were not included, although these are critical components of the screening process.""

Halpern and colleagues determined that mammography (32.8 million) and cervical cancer screening (33.0 million) accounted for the largest total number of tests performed in 2021, while an estimated 22.3 million colorectal cancer screening tests were performed, mainly comprising fecal immunochemical testing (9.8 million) and colonoscopy (9.2 million). In addition, there were 8.3 million prostate-specific antigen tests performed, as well as 2.4 million lung screening tests.

Of the estimated cost of $43.2 billion:

Colonoscopy was the largest component, accounting for an estimated $23.7 billion

All other colorectal cancer screening tests combined accounted for an additional $3.8 billion

Breast cancer screening accounted for $8.8 billion, cervical cancer screening for $5.5 billion, and prostate and lung cancer screening each cost an estimated $700 million

The authors also observed that the cost of cancer screening is dependent on facility costs, particularly in the cases of colonoscopy, sigmoidoscopy, CT colonography, and CT lung cancer screening, for which the facility costs are much higher than the physician costs.

""Policies that affect facility costs or sites where screening tests are done (hospital outpatient facilities vs ambulatory surgery centers) may have substantial effects on the cost of cancer screening,"" Halpern and colleagues wrote. ""In addition, changes in rates of receipt of facility- versus home-based colorectal cancer screening tests could have substantial effects on cost estimates.""

Mike Bassett is a staff writer focusing on oncology and hematology. He is based in Massachusetts.

Disclosures Halpern reported receiving funding to his institution for travel to the American Association for Cancer Research annual meeting, and being a chair of the American Public Health Association Cancer Forum. Co-authors reported relationships with industry, government entities, and universities. Welch reported receiving royalties from books, and honoraria for speaking at the University of Pennsylvania, University of Michigan, and University of Maryland. Primary Source Annals of Internal Medicine Source Reference: Halpern MT, et al ""The annual cost of cancer screening in the United States"" Ann Intern Med 2024; DOI: 10.7326/M24-0375. Secondary Source Annals of Internal Medicine Source Reference: Welch HG ""Dollars and sense: The cost of cancer screening in the United States"" Ann Intern Med 2024; DOI: 10.7326/M24-0887.

Please enable JavaScript to view the comments powered by Disqus."
Cancer Screening costs over $43 Billion a year in the U.S.,https://www.nytimes.com/2024/08/05/health/cancer-screening-tests-cost.html,"The United States spent $43 billion annually on screening to prevent five cancers, according to one of the most comprehensive estimates of medically recommended cancer testing ever produced.

The analysis, published on Monday in The Annals of Internal Medicine and based on data for the year 2021, shows that cancer screening makes up a substantial proportion of what is spent ever year on cancer in the United States, which most likely exceeds $250 billion. The researchers focused their estimate on breast, cervical, colorectal, lung and prostate cancers, and found that more than 88 percent of screening was paid for by private insurance and the rest mostly by government programs.

Dr. Michael Halpern, the lead author of the estimate and a medical officer in the federally funded National Cancer Institute’s health care delivery research program, said his team was surprised by the high cost, and noted that it was likely to be an underestimate because of the limits of the analysis.

For Karen E. Knudsen, the chief executive of the American Cancer Society, the value of screening for the cancers is clear. “We are talking about people’s lives,” she said. “Early detection allows a better chance of survival. Full stop. It’s the right thing to do for individuals.”"
Cancer Screening costs over $43 Billion a year in the U.S.,https://www.healthday.com/healthpro-news/cancer/estimated-us-annual-cost-of-initial-cancer-screening-43-billion-in-2021,"MONDAY, Aug. 5, 2024 (HealthDay News) -- In 2021, the estimated total health care costs for initial cancer screening were $43 billion in the United States, according to a study published online Aug. 6 in the Annals of Internal Medicine.

Michael T. Halpern, M.D., Ph.D., from the National Cancer Institute in Bethesda, Maryland, and colleagues estimated the annual cost of initial cancer screening in the United States in 2021 using national health care survey and cost resources data.

The researchers found that in 2021, total health care costs for initial cancer screenings were estimated at $43 billion in the United States. Of the costs, about 88.3, 8.5, and 3.2 percent were attributed to private insurance; Medicare; and Medicaid, other government programs, and uninsured persons, respectively. Colorectal cancer screening represented about 64 percent of the total cost; screening colonoscopy represented more than half of the total (55 percent). Major drivers of the total estimated costs of screening were facility costs (amounts paid to the facilities where testing occurred).

""This study provides previously unavailable estimates for the annual medical care cost of cancer screening in the United States,"" the authors write. ""Identification of these costs and the drivers for cancer screening costs are critical to help inform policy and develop programmatic priorities, particularly for enhancing access to recommended cancer screening services.""

Abstract/Full Text (subscription or payment may be required)

Editorial (subscription or payment may be required)"
Cancer Screening costs over $43 Billion a year in the U.S.,https://www.auntminnie.com/clinical-news/article/15680964/cancer-screening-in-the-us-costs-432b-annually,"Total U.S. healthcare system costs for initial cancer screenings in 2021 were $43.2 billion, according to a report published August 5 in Annals of Internal Medicine.

Researchers at the U.S. National Cancer Institute (NCI) found that colorectal cancer represented approximately 64% of the total cost, with colonoscopies making up about 55% of the total. The total cost is less than the reported annual cost of cancer treatment in the first 12 months after diagnosis, the group noted.

“Identification of cancer screening costs and their drivers is critical to help inform policy and develop programmatic priorities, particularly for enhancing access to recommended cancer screening services,” wrote lead author Michael T. Halpern, MD, PhD, of the NCI’s Division of Cancer Control and Population Sciences in Bethesda, MD.

More than two million new cancer cases and more than 611,000 cancer deaths are projected to occur in the U.S. in 2024, according to the authors. While cancer screening may decrease cancer mortality and treatment costs, the cost of screening in the U.S. is unknown, they added.

To address the knowledge gap, the group analyzed data made available in 2021 from the U.S. Centers for Disease Control and Prevention in its National Health Interview Survey (NHIS). NHIS data are collected through personal household interviews.

The study considered breast, cervical, colorectal, and lung cancer screening, as well as prostate cancer screening among men aged 55 to 69 years. For breast cancer, the study considered screening among women aged 40 to 49 years old only by mammography. Types of colorectal cancer (CRC) screening methods included colonoscopy, sigmoidoscopy, CT colonography, fecal immunochemical testing (FIT), and Cologuard.

According to the results, mammography (32.8 million) and cervical cancer screenings (33 million) accounted for the largest total number of tests. An estimated 22.3 million CRC screening tests were performed, mainly comprising FIT (9.8 million) and colonoscopy (9.2 million).

Of the estimated $43 billion total, the largest component was screening colonoscopy, which accounted for $23.7 billion, or approximately 55% of the total, the researchers reported. All other CRC screening tests combined accounted for an additional $3.8 billion.

Breast cancer screening accounted for 20.4% of the total ($8.8 billion), and cervical cancer screening accounted for 12.8% ($5.5 billion), while lung cancer screening accounted for approximately 1.5% ($656 million) and prostate cancer screening (PSA tests) accounted for 1.6% ($702 million).

In addition, people with private insurance accounted for more than 88% of all screening costs; Medicare beneficiaries accounted for 8.5%; and Medicaid beneficiaries, those with coverage from another government program, and uninsured persons accounted for 3.2%.

The authors noted limitations, namely that the estimates are only for the number and medical care cost of initial cancer screening tests and do not include costs for follow-up for abnormal initial screening results, although these are critical components of the screening process.

Ultimately, they wrote that screening for breast, cervical, colorectal, and lung cancer has generally been reported to be cost-effective in the U.S. and that colorectal cancer screening may be cost-saving in certain scenarios. The cost-effectiveness of prostate cancer screening is less clear, they noted.

“This study provides previously unavailable estimates for the annual medical care cost of cancer screening in the United States,” the group concluded.

The full study is available here."
Nearly half of dementia cases could be avoided or delayed by tackling 14 risk factors.,https://www.everydayhealth.com/dementia/vision-loss-high-cholesterol-join-list-of-preventable-dementia-risk-factors/,"By addressing 14 modifiable risk factors, which now include vision loss and high cholesterol, an estimated 45 percent of dementia cases could be delayed or prevented entirely — even in individuals with high genetic risk for dementia, according to a recent report.

[1] Written by 27 of the world’s leading dementia experts, the new 2024 Lancet Commission report urges health officials and the public to take action to reduce these specific preventable risks beginning in childhood and continuing throughout life.

[2] “Some people will still develop dementia, but if they address these risks they should have a longer, healthier life and will not have dementia for such a long time,” said lead author Gill Livingston, MD a professor specializing in the psychiatry of older people at University College London, in a press release.“It’s never too early or too late to take action, with opportunities to make an impact at any stage of life.”

Preventing Direct Physical Threats to Mental Sharpness

The Lancet report identifies these 14 modifiable risk factors for dementia:

High blood pressure

Diabetes

Obesity

Physical inactivity

Drinking too much alcohol

Smoking

Traumatic brain injury

Hearing Loss

Exposure to air pollution

Depression

Social isolation

Lower education

Vision loss

High LDL cholesterol

diabetes, [3] Physical risk factors like high blood pressure obesity , and physical inactivity may lead to narrowed or blocked arteries that decrease blood flow to the brain, and brain cells need a constant supply of blood and oxygen to work properly.

[4] [5] Drinking too much alcohol and smoking can also contribute to heart disease and be toxic to brain cells, causing them to die.

Another risk factor that directly impacts mental capabilities is traumatic brain injury, which disrupts how the brain functions.

High Cholesterol and Vision Loss Can Contribute to Dementia Risk

The new guidelines have now added high cholesterol in midlife (from around age 40) to the list of modifiable risk factors. The Lancet Commission estimates that 7 percent of dementia cases are attributable to this “bad” cholesterol, which leads to a build-up of cholesterol in the arteries.

[6] When the list was last updated four years ago, available evidence indicating LDL cholesterol as a possible risk factor was inconclusive, according to Dr. Livingston. Since that time, “new compelling evidence” has found that LDL cholesterol increases the chances of experiencing cognitive decline.

[7] While hearing problems were already on the dementia risk roster, loss of vision was just added in this recent update. A decline in these sensory functions are common as we age, and can lead to confusion and problems processing information and everyday perception.

The Lancet report found that 2 percent of dementia cases were attributable to untreated vision loss in later life.

Air Pollution, Depression, Loneliness, and Lack of Education Can Also Threaten Brain Health

Air pollution has been linked to heart disease, which in turn can raise the likelihood of cognitive impairment. Individuals may have little control over their exposure to air pollution, so it can be difficult to limit. The researchers, however, suggest that people can take some individual actions, such as not using wood burning stoves or coal burning fires and avoiding being outside at times when air quality is at its worst.

Depression and social isolation can contribute to dementia as well because they may lead to changes in health and behaviors that heighten dementia risk, such as physical inactivity, poor diet, higher alcohol consumption, less sleep, and a lack of mental stimulation and engagement.

Although the connection between dementia and education may not be as apparent compared with other risk determinants, the Lancet Commission notes that quality of education in early life is linked to brain resilience.

“People with more and better education have a stronger, more flexible set of neural connections to rely on if they ever do have brain disease that can cause dementia,” says Jessica Caldwell, PhD, director of the Women’s Alzheimer’s Movement Prevention Center at Cleveland Clinic’s Lou Ruvo Center for Brain Health. “The other good news in this update is that education is being recognized as impactful beyond early life. This means that people in their thirties through their sixties may also see strong benefits from lifelong learning. Take a class, learn a language, take up a challenging hobby, or research history before you travel.”

How to Reduce Dementia Risks

While people can take effective steps to prevent mental decline at any age, Livingston notes that there is now stronger evidence showing that longer exposure to risk is more harmful. She emphasizes that developing healthy habits in childhood — such as getting regular exercise and following a healthy diet to avoid obesity — can form the basis for behaviors later in life that can curb dementia risks.

The new Lancet report outlines several suggestions to help governments and individuals keep the dangers of dementia at bay, including:

Provide all children with good quality education and be cognitively active in midlife.

Make hearing aids available for all those with hearing loss and reduce harmful noise exposure.

Detect and treat high LDL cholesterol in midlife, starting at around age 40.

Make screening and treatment for vision impairment accessible for all.

Treat depression effectively.

Wear helmets and head protection in contact sports and on bikes.

Prioritize supportive community environments and housing to increase social contact.

Reduce exposure to air pollution through strict clean air policies.

Expand measures to reduce smoking, such as price control, raising the minimum age of purchase, and smoking bans.

Reduce sugar and salt content in food sold in stores and restaurants.

Dr. Caldwell, who is not part of the Lancet Commission, stresses, “There are steps all of us can take when we are young and at midlife to increase our chances of aging well.”"
Nearly half of dementia cases could be avoided or delayed by tackling 14 risk factors.,https://www.wxow.com/news/health/nearly-half-of-dementia-cases-could-be-avoided-or-delayed-by-tackling-14-risk-factors/article_ac527c7e-6e9d-5bd2-a3cc-1b2ed3d645f7.html,"Weather Alert

.Areas of heavy rainfall are likely tonight from southeast Minnesota into central and southwest Wisconsin. Amounts of 1 to 2 inches are likely with localized higher amounts exceeding 3 inches possible, especially for areas impacted by multiple storms. ...FLOOD WATCH IN EFFECT FROM 7 PM CDT THIS EVENING THROUGH TUESDAY MORNING... The National Weather Service in La Crosse has expanded the * Flood Watch to include portions of southeast Minnesota and Wisconsin, including the following areas, in southeast Minnesota, Dodge, Fillmore, Houston, Olmsted, and Winona. In Wisconsin, La Crosse, Richland, and Vernon. * From 7 PM CDT this evening through Tuesday morning * WHEN...From this evening through Tuesday morning. * IMPACTS...Excessive runoff may result in flooding of rivers, creeks, streams, and other low-lying and flood-prone locations. Flooding may occur in poor drainage and urban areas. PRECAUTIONARY/PREPAREDNESS ACTIONS... You should monitor later forecasts and be prepared to take action should Flash Flood Warnings be issued. &&"
Nearly half of dementia cases could be avoided or delayed by tackling 14 risk factors.,https://www.msn.com/en-ie/health/other/the-14-factors-that-may-delay-or-prevent-nearly-half-of-dementia-cases/ar-BB1qYMwL?ocid,
Nearly half of dementia cases could be avoided or delayed by tackling 14 risk factors.,https://scitechdaily.com/new-strategies-to-combat-dementia-14-risk-factors-you-can-control/,"The 2024 Lancet Commission report identifies vision loss and high cholesterol as new risk factors for dementia, adding to 12 others previously known.

It emphasizes the importance of early and lifelong management of these factors, including for those with a genetic predisposition to dementia. The report provides 13 recommendations targeting both individuals and governments to mitigate risk. These include managing hearing and vision loss, maintaining cognitive and social activity, using head protection in sports, managing vascular risks like cholesterol and diabetes, improving air quality, and fostering supportive communities. Research focusing on England indicates that implementing these measures could save about £4 billion by addressing risk factors such as excessive alcohol consumption, brain injuries, air pollution, smoking, obesity, and hypertension.

According to the third Lancet Commission on dementia prevention, intervention, and care, addressing 14 modifiable risk factors from childhood and continuing throughout life could prevent or delay nearly half of dementia cases. This is crucial as global life expectancy increases and the number of dementia cases is projected to rise significantly in all countries. These findings were recently presented at the Alzheimer’s Association International Conference (AAIC 2024).

Based on the latest available evidence, the new report adds two new risk factors that are associated with 9% of all dementia cases —with an estimated 7% of cases attributable to high low-density lipoprotein (LDL) or “bad” cholesterol in midlife from around age 40 years, and 2% of cases attributable to untreated vision loss in later life.

These new risk factors are in addition to 12 risk factors previously identified by the Lancet Commission in 2020 (lower levels of education, hearing impairment, high blood pressure, smoking, obesity, depression, physical inactivity, diabetes, excessive alcohol consumption, traumatic brain injury [TBI], air pollution and social isolation), which are linked with 40% of all dementia cases.

The new report estimates that the risk factors associated with the greatest proportion of people developing dementia in the global population are hearing impairment and high LDL cholesterol (7% each), along with less education in early life and social isolation in later life (5% each).

The Commission, authored by 27 world-leading dementia experts, calls for governments and individuals to be ambitious about tackling risks across the life course of dementia, arguing that the earlier we can address and reduce risk factor levels, the better. The report outlines a new set of policy and lifestyle changes to help prevent and better manage dementia.

More action is needed worldwide to reduce dementia risks

Because of the rapidly aging population around the world, the number of people living with dementia is expected to almost triple by 2050, rising from 57 million in 2019 to 153 million. Increasing life expectancy is also driving a surge in people with dementia in low-income countries. Global health and social costs related to dementia are estimated at over $1 trillion every year.

However, in some high-income countries, including the USA and UK, the proportion of older people with dementia has fallen, particularly among those in socio-economically advantaged areas. The report’s authors say that this decline in people developing dementia is probably in part due to building cognitive and physical resilience over the life course and less vascular damage as a result of improvements in healthcare and lifestyle changes, demonstrating the importance of implementing prevention approaches as early as possible.

Nevertheless, most national dementia plans do not make specific recommendations about diversity, equity, or inclusion of people from underserved cultures and ethnicities who are disproportionately affected by dementia risks.

“Our new report reveals that there is much more that can and should be done to reduce the risk of dementia. It’s never too early or too late to take action, with opportunities to make an impact at any stage of life”, says lead author Professor Gill Livingston from University College London, UK. “We now have stronger evidence that longer exposure to risk has a greater effect and that risks act more strongly in people who are vulnerable. That’s why it is vital that we redouble preventive efforts towards those who need them most, including those in low- and middle-income countries and socio-economically disadvantaged groups. Governments must reduce risk inequalities by making healthy lifestyles as achievable as possible for everyone.”

To reduce dementia risk throughout life, the Commission outlines 13 recommendations to be adopted by governments and individuals, including (see key messages on page 2 of the report for the full list):

Provide all children with good quality education and be cognitively active in midlife.

Make hearing aids available for all those with hearing loss and reduce harmful noise exposure.

Detect and treat high LDL cholesterol in midlife from around age 40 years.

Make screening and treatment for vision impairment accessible to all.

Treat depression effectively.

Wear helmets and head protection in contact sports and on bikes.

Prioritize supportive community environments and housing to increase social contact.

Reduce exposure to air pollution through strict clean air policies.

Expand measures to reduce smoking, such as price control, raising the minimum age of purchase, and smoking bans.

Reduce sugar and salt content in food sold in stores and restaurants.

These actions are especially important given new evidence which shows that reducing the risks of dementia not only increases years of healthy life but also reduces the time people who develop dementia spend in ill health.

As Professor Livingston explains, “Healthy lifestyles that involve regular exercise, not smoking, cognitive activity in midlife (including outside formal education), and avoiding excess alcohol can not only lower dementia risk but may also push back dementia onset. So, if people do develop dementia, they are likely to live fewer years with it. This has huge quality of life implications for individuals as well as cost-saving benefits for societies.”

England could achieve cost savings of around £4 billion

In a separate study published in The Lancet Healthy Longevity journal alongside the Commission, Professor Livingston, lead author Naaheed Mukadam, and co-authors modeled the economic impact of implementing some of these recommendations, using England as an example. The study’s findings suggest that using population-level interventions of known effectiveness to tackle dementia risk factors of excess alcohol use (more than 21 units per week), brain injury, air pollution, smoking, obesity, and high blood pressure could achieve cost savings of more than £4 billion and over 70,000 quality-adjusted life-year (QALY) gains (one QALY equates to a year of life in perfect health). The authors stress that potential benefits may be even greater in low- and middle-income countries and any country where population-level interventions such as public smoking bans and compulsory education are not already in place.

“Given the much higher burden of dementia risk factors in low- and middle-income countries with the expected rise in dementia over the next few decades from rapid population aging and increased rates of high blood pressure, diabetes, and obesity, we need urgent policy-based preventative approaches that will have huge potential benefits far in excess of the costs,” says report co-author Dr. Cleusa Ferri from Universidade Federal de Sao Paulo and Hospital Alemão Oswaldo Cruz, Sao Paulo Brazil.

Commission co-author Dr. Naaheed Mukadam of University College London adds, “Prioritising population-level approaches that improve primary prevention (eg, reducing salt and sugar intake) and effective health care for conditions like obesity and high blood pressure, restricting smoking and air pollution, and enabling all children to gain a good education, could have a profound effect on dementia prevalence and inequalities, as well as significant cost savings.”

Prioritising advances in research and support for people living with dementia

The report also discusses the hopeful advances in blood biomarkers and the Anti-amyloid β antibodies for Alzheimer’s disease. The authors explain that blood biomarkers are a significant move forward for people with dementia, potentially increasing scalability and decreasing the intrusiveness and the cost of testing for accurate diagnosis. While there are promising clinical trials, the report authors caution that Anti-amyloid β antibody treatments are new, without long-term data available, and call for more research and expanded transparency about the short and long-term side effects.

Finally, the report calls for more support for people living with dementia and their families. The authors stress that in many countries, effective interventions known to benefit people with dementia are still not available or a priority, including activity interventions that provide enjoyment and reduce neuropsychiatric symptoms and cholinesterase inhibitors for slowing cognitive decline in Alzheimer’s. Similarly, many carers’ needs are unevaluated and unmet. They recommend providing multi-component coping interventions for family caregivers who are at risk of depression and anxiety, including providing emotional support, planning for the future, and information on medical and community-based resources.

The authors note that while nearly all the evidence for dementia still comes from high-income countries, there is now more evidence and interventions from LMICs, but interventions usually need to be modified to best support different cultures, beliefs, and environments. They also point out that the prevention estimates assume there is a causal relationship between risk factors and dementia, and while they were careful to only include risk factors with convincing evidence, they note that some associations may only be partly causal. For example, while unremitting depression in midlife may be causal, depression in late life may be caused by dementia. Finally, they note that this risk modification affects the population, and does not guarantee that any individual will avoid dementia.

References: “Dementia prevention, intervention, and care: 2024 report of the Lancet standing Commission” by Gill Livingston, Jonathan Huntley, Kathy Y Liu, Sergi G Costafreda, Geir Selbæk, Suvarna Alladi, David Ames, Sube Banerjee, Alistair Burns, Carol Brayne, Nick C Fox, Cleusa P Ferri, Laura N Gitlin, Robert Howard, Helen C Kales, Mika Kivimäki, Eric B Larson, Noeline Nakasujja, Kenneth Rockwood, Quincy Samus, Kokoro Shirai, Archana Singh-Manoux, Lon S Schneider, Sebastian Walsh, Yao Yao, Andrew Sommerlad and Naaheed Mukadam, 31 July 2024, The Lancet.

DOI: 10.1016/S0140-6736(24)01296-0

“Benefits of population-level interventions for dementia risk factors: an economic modelling study for England” by Naaheed Mukadam, Robert Anderson, Sebastian Walsh, Raphael Wittenberg, Martin Knapp, Carol Brayne and Gill Livingston, 31 July 2024, The Lancet Healthy Longevity.

DOI: 10.1016/S2666-7568(24)00117-X

The Lancet Commission was funded by University College London, UK, Alzheimer’s Society, Alzheimer’s Research UK and the Economic and Social Research Council. The full list of researchers and institutions who conducted the research is available in the Commission report.

The Lancet Healthy Longevity paper was funded by the NIHR Three Schools."
Nearly half of dementia cases could be avoided or delayed by tackling 14 risk factors.,https://uk.news.yahoo.com/many-dementia-cases-could-prevented-021812192.html,"Many dementia cases could be prevented, but far from all: study

Decades of research have failed to produce a cure or truly effective drug for dementia (SEBASTIEN BOZON)

Millions of cases of dementia could be prevented or delayed by reducing a range of risk factors such as smoking or air pollution, according to a major new study, though outside experts warn that such measures can only go so far.

The debilitating condition, which progressively robs people of their memories, cognitive abilities, language and independence, currently affects more than 55 million people across the world.

Dementia is caused by a range of diseases, the most common of which is Alzheimer's.

A huge review of the available evidence published in The Lancet journal on Wednesday said that the ""potential for prevention is high"" in the fight against dementia.

The study follows a previous report in 2020 that also emphasised the importance of prevention.

At the time, the international team of researchers estimated that 40 percent of dementia cases were linked to 12 risk factors.

The factors included people having a lower level of education, hearing problems, high blood pressure, smoking, obesity, depression, physical inactivity, diabetes, excessive drinking, traumatic brain injury, air pollution and social isolation.

The latest update adds two more risk factors: vision loss and high cholesterol.

""Nearly half of dementias could theoretically be prevented by eliminating these 14 risk factors,"" the study said.

- EU turns down new drug -

Decades of research and billions of dollars have failed to produce a cure or truly effective drug for dementia.

But since the start of last year, two Alzheimer's treatments have been approved in the United States: Biogen's lecanemab and Eli Lilly's donanemab.

They work by targeting the build-up of two proteins -- tau and amyloid beta -- considered to be one of the main ways the disease progresses.

However, the benefits of the drugs remain modest, they have severe side effects, and they are often very expensive.

In contrast to the US, the European Union's medicine watchdog last week refused to approve lecanemab, and it is still considering donanemab.

Some researchers hope the fact that the new drugs work at all means they will pave the way for more effective treatments in the future.

Others prefer to focus on ways to prevent dementia in the first place.

Masud Husain, a neurologist at the UK's University of Oxford, said that focusing on risk factors ""would be far more cost effective than developing high-tech treatments which so far have been disappointing in their impacts on people with established dementia"".

- 'How much more could we do?' -

The Lancet study was welcomed by experts in the field, among whom the importance of prevention is hardly debatable.

However, some said the idea that nearly half of all dementia cases could be prevented should be put in perspective.

It has not been proven that the risk factors directly cause dementia, as the authors of the study acknowledged.

For example, could it be dementia that is causing depression, rather than the other way around?

It is also difficult to separate the risk factors from each other, though the researchers tried.

Some could be intrinsically linked, such as depression and isolation, or smoking and high blood pressure.

Above all, many of the risk factors are societal scourges that have long proven near impossible to fully address.

The study lays out different recommendations ranging from the personal -- such as wearing a helmet while cycling -- to governmental, such as improving access to education.

""It is not clear whether we could ever completely eliminate any of these risk factors,"" Charles Marshall, a neurologist at Queen Mary University of London, told AFP.

""We already have public health programmes to reduce smoking and hypertension (high blood pressure), so how much more could we do?""

Tara Spires-Jones, a neuroscientist at the University of Edinburgh, said it was important that ""we do not blame people living with dementia for their brain disease"".

That is because ""it is clear that a large portion of dementias could not be prevented due to genes and things beyond people's control, like opportunities for education as children"", she added.

jdy/dl/giv/smw"
Nearly half of dementia cases could be avoided or delayed by tackling 14 risk factors.,https://finchannel.com/uk-bolsters-support-to-british-nationals-in-lebanon-as-foreign-secretary-says-leave-now/122067/world-2/2024/08/,"The FINANCIAL — Ministers call for British nationals in Lebanon to leave now “as situation could deteriorate rapidly.”

Government strengthens its support for British nationals as regional tensions in the Middle East increase.

Border Force, consular officials and military personnel deployed to the region to support embassy staff following Ministers visiting the Middle East this week.

The Government has called for British nationals in Lebanon to leave now as it bolsters its support for British nationals still in the Middle East.

The UK continues to advise against all travel to Lebanon and advises British nationals still in the country to leave now while commercial options remain available. British nationals in Lebanon are also advised to sign up to Register Your Presence to receive the latest information and important updates directly from the Foreign, Commonwealth and Development Office (FCDO).

Officials have been sent to the region – including Lebanon – to provide additional support to embassy staff as part of government’s preparatory planning for a range of possible conflict scenarios, and with regional tensions rising.

Consular experts will assist with strategic planning and responding to enquiries from British nationals to make sure they get the help and advice they need, and Border Force has deployed officers who stand ready to aid consular operations.

With the potential for exit routes out of Lebanon – including roads – being affected, limited, or closed, due to events escalating with little warning, teams will continue to urge British nationals to leave while commercial options remain available.

Military personnel are also in the process of deploying to the region to provide Embassies with operational support to help British nationals. This is alongside Landing ship RFA Cardigan Bay and HMS Duncan already being in the eastern Mediterranean to support allies with humanitarian requirements, with the Royal Air Force also putting transport helicopters on standby.

Foreign Secretary, David Lammy, said:

Tensions are high, and the situation could deteriorate rapidly. While we are working round the clock to strengthen our consular presence in Lebanon, my message to British nationals there is clear – leave now.

A widening of this conflict is in nobody’s interest – the consequences could be catastrophic. That’s why we continue to call for de-escalation and a diplomatic solution.

The deployment of additional staff to the region follows the Foreign Secretary and Defence Secretary visiting the Middle East, including Lebanon this week, where the pair stressed the need to de-escalate tensions and pushed calls for peace and stability.

Defence Secretary, John Healey, said:

Our Armed Forces will always step up to support British citizens around the world and reinforce regional stability with their professionalism and bravery.

As I told leaders in the Middle East this week, de-escalation must be the primary focus in the region, and we are urging all to dial down tensions. There must be an end to the fighting, an immediate ceasefire in Gaza, the release of all hostages, and a diplomatic path to peace and security."
