Headlines,Links,ArticleBodyText
Referees 'wanted the US to lose' Olympic 3x3 tournament.,https://www.foxnews.com/sports/referees-wanted-u-s-lose-olympic-3x3-tournament-star-player-hailey-van-lith-says,"The United States failed to go back-to-back in the women's 3x3 basketball tournament, and one of the star players is blaming the referees.

The Americans dropped their semifinal matchup against Spain, who eventually lost to Germany in the gold medal game; the USA earned bronze by defeating Canada.

But gold for America in basketball is almost a given: In normal basketball, the men have won 16 golds in 20 appearances, while the women are 9-for-12 (one silver, one bronze).

CLICK HERE FOR MORE SPORTS COVERAGE ON FOXNEWS.COM

That was not the case here. While the women earned gold when the 3x3 tournament debuted in Tokyo in 2021, they fell short this year.

TCU's Hailey Van Lith, who transferred to the Horned Frogs after starring for LSU this past season, took her shot after dropping eight points in the semifinal.

""This was 1,000% BS. Those refs wanted the U.S. to lose,"" she said after the game. ""They were flopping left and right. They are not that good. Great job, ladies, we know who should have won.""

Her teammate, Cierra Burdick, went a different route.

US OLYMPIC SHOT PUTTER SAYS SHE HAD 'NIGHTMARE' WITH COMPETITION UNIFORMS

""Not the medal we wanted, obviously, but I don't want to take away from the moment,"" Burdick said after the bronze medal match. ""A lot of gratitude, a lot of blood, sweat and tears were invested into this. That's so cliché, but it's so true.""

Van Lith's comments, though, echoed what ESPN's Brian Windhorst recently said.

""FIBA doesn’t really want the USA to do good at three-on-three basketball. They really want that to be for countries that can’t field five-on-five teams,"" Windhorst said.

""So, they do all these things, like they have all these different layers and layers of things you have to do to qualify. … The only way you can play is if you play in, like, 15 qualifying events.""

CLICK HERE TO GET THE FOX NEWS APP

The men's 3x3 team failed to qualify out of group play, going 2-5 in their seven contests.

Follow Fox News Digital’s sports coverage on X and subscribe to the Fox News Sports Huddle newsletter."
Referees 'wanted the US to lose' Olympic 3x3 tournament.,https://www.marca.com/en/olympic-games/2024/08/05/66b10b3622601dfa708b459e.html,"One USA basketball player has hit out at the referees following a shock exit from the Olympic Games.

The USA 3x3 female basketball team suffered a shock defeat in Paris in the semi-finals on Monday, losing narrowly to Spain by a scoreline of 18-16.

USA captain Hailey Van Lith bagged eight points during the match, but she couldn't quite lead her team to the final, with the USA now left to battle it out for a bronze medal instead.

But Van Lith did not go quietly, and after the game, she took aim at the referees and suggested that the officials actually wanted to see the US lose.

She said after the game: ""This was 1000% bs. Those refs wanted the US to lose. They were flopping left and right. They are not that good. Great job ladies we know who should have won.""

The US team will now be left to take on Canada for a bronze medal, while Spain will progress to the final to battle it out for gold with Germany, who beat Canada by one point.

Both of those games take place on Monday night.

Van Lith's explains difficulties of 3x3 basketball

Van Lith has previously spoken about the US' struggle for success in the 3x3 variation of the sport, given the clear dominance of the full-sided game.

She told ESPN over the weekend: ""I think the public doesn't quite get the sport yet. It's just a tough game. It's really gritty. It's for the tough people. You can't be soft and play.

""We only play 10 minutes. So if you look at the first quarter of 5-on-5 games, they're very, very close. And sometimes even the USA is down. So it's a game of who's hot. If our shooters aren't hitting shots and the other team is, no matter how much better we are, we're probably going to lose."""
Referees 'wanted the US to lose' Olympic 3x3 tournament.,https://www.msn.com/en-us/sports/nba/refs-wanted-the-us-to-lose-hailey-van-lith-and-co-s-exit-vs-spain-indigestible-for-fans-as-olympics-officiating-gets-questioned/ar-AA1ohNEI,
Referees 'wanted the US to lose' Olympic 3x3 tournament.,https://www.nbcnews.com/sports/olympics/live-blog/olympic-games-2024-live-updates-rcna162870,"Good morning! It’s day 10 of the 2024 Paris Olympics.

Today marks the last day of artistic gymnastics competition from the Bercy Arena and the women’s balance beam and floor exercise finals are the main events. That's partly because Simone Biles will be looking to continue her imperious form and add more gold medals to her tally in both events after taking three in her first three events at these Games. She’ll be joined on the beam by Suni Lee, herself on a comeback journey, and by Jordan Chiles on the floor. The beam event is at 6:38 a.m. ET and 12:38 p.m. local time, while the floor exercise is at 8:24 a.m. ET and 2:24 p.m. local time.

Elsewhere, with track and field events well underway, Team USA's Valerie Allman will be hoping to spin up a storm in the women's discus event at 2:30 p.m. ET and 8:30 p.m. local time. That follows the men's pole vault final, at 1:00 p.m. ET and 7:00 p.m. local time, where Sam Kendricks will be hoping to take home a medal. He'll have to outjump Sweden's record-breaker Mondo Duplantis, though. On the track, the women's 5,000m final is at 3:15 p.m. ET and 9:15 p.m. local time; and the women's 800m medal event is at 3:47 p.m. ET and 9:47 p.m. local time.

Team USA is going for the top spot in the women's 3x3 basketball tournament: their semifinal game against Spain is at 11:30 a.m. ET and 5:30 p.m. local time, with the gold medal game at 3:00 p.m. ET and 9:00 p.m. local time. The men's final also happens today a half hour later than the women's final.

In non-medal events, Chase Budinger and Miles Evans are among the American beach volleyball pairs to play today. They face Norway's defending champions at 8:00 a.m. ET and 2:00 p.m. local time. And it's also the first day of Olympic wrestling, with 20-year-old Californian and two-time world champion (in the 72kg category) Amit Elor making her Olympic debut in the women’s freestyle (68kg/149 lbs).

Show more"
Referees 'wanted the US to lose' Olympic 3x3 tournament.,https://www.themirror.com/sport/basketball/olympics-van-lith-usa-conspiracy-630858,"Team USA won bronze in the women's 3x3 basketball in the Paris Olympics, but Hailey Van Lith fumed at the officiating in the semi-final defeat to Spain, laying the loss at the feet of the referees

Hailey Van Lith insisted the officials were to blame for Team USA’s exit from the basketball 3x3 at the Paris Olympics.

On Monday, Van Lith scored eight points and left it all out on the court but it wasn’t enough as Team USA fell to Spain in the semi-finals. Spain clinched the 18-16 overtime victory, with Sandra Ygueravide leading the way with nine points - including the game-sealing free throws.

Team USA were then forced to face Canada for bronze after their North American rivals lost to Germany in the other semi-final. Van Lith helped her nation win bronze, securing the 16-13 victory.

READ MORE: NBA star Devin Booker refuses to U-turn on Noah Lyles after Olympics 100m gold

READ MORE: Team USA star to finally receive Olympic medal 12 years after winning due to doping fiasco

However, the TCU star was frustrated. Following the loss to Spain, Van Lith took issue with the referees and insisted the game was “rigged”.

“This was 1,000 percent BS,” she said. “Those refs wanted the U.S. to lose. They were flopping left and right. They are not that good. Great job ladies. We know who should have won.”

During the “Pat McAfee Show”, NBA insider Brian Windhorst suggested Van Lith’s theory was somewhat substantiated. He believes the global basketball governing body FIBA hopes other countries excel in 3x3.

“FIBA doesn’t really want the USA to do good at three-on-three basketball,” Windhorst said. “They really want that to be for countries that can’t field 5-on-5 teams.

Follow us on Xfor the best and latest in sports news

Image: AFP via Getty Images) AFP via Getty Images)

“So they do all these things, like they have all these different layers and layers of things you have to do to qualify. I don’t just mean the team. I’m talking about no, like, Kyrie [Irving] can’t just show up and play. The only way you can play is if you play in like 15 qualifying events. It’s not 15, I’m just coming up with that number.”

He added: “They don’t want guys from America.”

Windhorst then added that 3x3 was a discipline WNBA rising star and women's basketball phenom Caitlin Clark could have contributed since the Indiana Fever rookie was not named to the women’s USA Basketball team to go to Paris. However, he then played it down, as FIBA have other goals.

“FIBA doesn’t care about ratings, they just care about, like, growing the game elsewhere outside the U.S. so it’s not their priority,” the ESPN analyst concluded.

In 3x3 basketball, chemistry and fluidity are paramount. Van Lith and co. struggled to find rhythm amid the difficult conditions presented to them by the officials - but they still clinched bronze over France."
Referees 'wanted the US to lose' Olympic 3x3 tournament.,https://www.marca.com/en/olympic-games/2024/08/05/66b0ece381748c002a2b242c-live.html,"Hello everybody and welcome along to this MARCA In English 2024 Paris Olympics live blog. In this space, we will be bringing you the latest updates from this summer's Games in the French capital.

The 2024 Paris Olympics officially run from Friday, July 26, 2024, and they will continue until Sunday, August 11, 2024.

2024 Olympics LIVE: latest updates from Olympic Games in Paris"
Referees 'wanted the US to lose' Olympic 3x3 tournament.,https://africa.espn.com/olympics/story/_/id/40718638/serbia-holds-south-sudan-earn-quarterfinals-berth-greece-advances,"Open Extended Reactions

VILLENEUVE-D'ASCQ, France -- South Sudan's coach and basketball federation president said referees were biased against their team after a 96-85 loss to Serbia on Saturday that ended an exciting run for the lone African team in the men's basketball tournament at the Paris Games.

Bogdan Bogdanovic scored 28 points to help Serbia move into next week's quarterfinals.

South Sudan coach Royal Ivey pointed to a wide foul discrepancy as evidence of bias by game officials, and federation president Luol Deng said African referees should be part of major international tournaments.

""They shot 31 free throws; we shot six free throws?"" Ivey said after the game. ""Let's tell the story. Let's tell the real story, because that's a travesty. How do they shoot 31 free throws and we shoot six free throws? How?""

Nikola Jokic added 22 points and 13 rebounds for Serbia, which finished second in Group C behind the United States.

South Sudan's loss means Greece gets the final wild card for the knockout round because it had a better point differential than South Sudan over three group stage games.

""I was scared of South Sudan before the game. They had a great tournament,"" Bogdanovic said. ""Respect to them. We've known them since the World Cup. They really got better.""

Marial Shayok and Carlik Jones led South Sudan with 17 points each.

Ivey said referees complained about his players standing in the bench area and threatened him with ejection for being out of the coach's box, all while tolerating similar behavior by Serbia's coach.

""My guys were out there giving their all -- blood, sweat and tears -- and you tell me how we shot six free throws? We shot one free throw in the second half,"" Ivey said.

Deng, who starred at Duke and played 16 seasons in the NBA, said he thought the discrepancy was ""deliberate.""

""I know Serbia is known for basketball; they've been great for many years,"" Deng said. ""The way, the style the guards play, it's almost like the ref knows them. It's OK if the refs know certain players to let them play their style. As soon as our guys play their style, they're getting fouls every time.""

He questioned why there seems to be a narrative that African players are aggressive.

""I don't know why there's no African referees in the Olympics. It's 2024,"" Deng said. ""If we're representing the continent, then we've got to be represented fully. That's something that we've got to keep working on. But if these referees aren't familiar with our game, with our style, then I don't know what the world championship or the Olympics is. Is it just a European basketball style and we're not allowed to be aggressive?""

South Sudan played like a team whose tournament was on the line. Players dove on the floor for loose balls and crowded around Jokic every time he got the ball deep.

There also were all-out effort plays, including Wenyen Gabriel sprinting for a chase-down block of Aleksa Avramovic during a fast-paced first quarter.

Serbia -- ranked fourth in the world by FIBA -- led 33rd-ranked South Sudan 47-44 at halftime.

Serbia held a five-point advantage entering the fourth quarter. And South Sudan kept coming. A steal by Peter Jok and an alley-oop to Gabriel got a roar from the crowd and shrank its deficit to a basket.

But Serbia just kept making shots, using a 19-3 spurt to take a 91-74 lead with less than three minutes remaining in the contest.

South Sudan has prepared for the Olympic spotlight since September, when it finished the World Cup as Africa's highest-ranked team, earning an automatic spot for these Summer Games.

But despite entering the Olympics with the lowest world ranking, it was clear just making it to France was never the goal for this team. It wanted to prove it belonged on the world stage alongside LeBron James, Stephen Curry, Kevin Durant, Jokic and the greatest players in the sport.

South Sudan got the Americans' attention prior to the Games when it led the U.S. late during an Olympic exhibition matchup in London before ultimately falling by a point.

South Sudan then announced its arrival in its Olympic opener with a 90-79 victory over Puerto Rico. It turned a debut that began with organizers playing the wrong national anthem for South Sudan before the game into validation that it was ready to compete in one of the most talent-rich Olympic tournaments in history.

The U.S. imposed its will in its rematch with South Sudan, rolling to a 17-point win. Yet it was close enough to keep the first-timers in the hunt for a wild card.

It didn't materialize, and South Sudan's inspired inaugural run at the Olympics is over."
Brandon Aiyuk is more likely to be traded than sign an extension with the 49ers.,https://www.nfl.com/news/brandon-aiyuk-more-likely-to-be-traded-than-sign-extension-with-49ers-no-trade-in-place,
Brandon Aiyuk is more likely to be traded than sign an extension with the 49ers.,https://www.cbssports.com/nfl/news/brandon-aiyuk-trade-demand-49ers-wr-more-likely-to-be-dealt-than-get-extension-from-san-francisco-per-report/,"A resolution to the Brandon Aiyuk saga may be on the horizon. According to NFL Media, contract talks between the San Francisco 49ers and their star wideout have been stalled for quite some time, and it's now more likely that Aiyuk is traded than work out an extension with the 49ers.

Mike Garafolo reports that no deal is in place right now, despite the rampant speculation found on social media. But it feels like we are close to a decision being made, as multiple teams are reportedly in play for him. The Athletic reported the Cleveland Browns, New England Patriots and Pittsburgh Steelers have all been interested teams.

There are two parts to a potential Aiyuk trade: The contract, and the trade compensation. Any team that trades for Aiyuk will sign him to a new contract immediately. How much is Aiyuk worth? The wide receiver market has, of course, been very active this offseason, and there are now four pass-catchers who have secured contracts that include averages of at least $30 million per year.

As for what San Francisco would accept for its All-Pro wideout, reports indicate that before the 2024 NFL Draft, the 49ers were in search of a first-round pick. They did not find a trade partner. In fact, Pro Football Talk reported that before the draft, Aiyuk's agent was actually given permission to see if other teams would pay the wide receiver what he was after. At the time, that price was $28 million per year. Aiyuk's agent reportedly found five different teams willing to give that contract to Aiyuk, but those five teams could not meet the 49ers' desired trade compensation.

Brandon Aiyuk SF • WR • #11 TAR 105 REC 75 REC YDs 1342 REC TD 7 FL 1 View Profile

The former No. 25 overall pick out of Arizona State had his best NFL season yet in 2023, as Aiyuk caught 75 passes for a career-high 1,342 yards and seven touchdowns. His 17.9 yards per reception ranked second in the NFL among qualified players behind George Pickens, while his 3.1 yards per route run ranked third behind Tyreek Hill and Nico Collins.

For five logical Aiyuk landing spots, click here."
Brandon Aiyuk is more likely to be traded than sign an extension with the 49ers.,https://www.si.com/nfl/49ers/news/49ers-would-be-foolish-to-trade-brandon-aiyuk-01j4jdt0p0y8,"From The Insiders on @nflnetwork: The latest on Brandon Aiyuk, who is still a member of the #49ers as of right now. pic.twitter.com/qdVyoZOYuU"
