Headlines,Links,ArticleBodyText
Bangladeshi PM Sheikh Hasina resigns as widening unrest sees protesters storm her.,https://apnews.com/article/bangladesh-hasina-student-protest-quota-violence-fdc7f2632c3d8fcbd913e6c0a1903fd4,"DHAKA, Bangladesh (AP) — Bangladesh’s prime minister resigned and fled the country Monday after weeks of protests against a quota system for government jobs descended into violence and grew into a broader challenge to her 15-year rule. Thousands of demonstrators stormed her official residence and other buildings associated with her party and family.

FILE- Bangladesh Prime Minister Sheikh Hasina, centre, is flanked by her daughter Saima Wazed Putul, left, and sister Sheikh Rehana as she speaks to the media after casting her vote in Dhaka, Bangladesh, Sunday, Jan. 7, 2024. (AP Photo/Altaf Qadri, File)

People shout slogans as they take part in a protest against Prime Minister Sheikh Hasina and her government demanding justice for the victims killed in the recent countrywide deadly clashes, in Dhaka, Bangladesh, Monday, Aug. 5, 2024. (AP Photo/Rajib Dhar)

Prime Minister Sheikh Hasina’s departure threatens to create even more instability in the densely populated nation on India’s border that is already dealing with a series of crises, from high unemployment to corruption to climate change. Amid security concerns, the main airport in Dhaka, the capital, suspended operations.

Violence just before and after her resignation left at least 41 people dead and about 200 others injured, according to media reports, which could not be independently confirmed. More than a dozen were reportedly killed when protesters set fire to a hotel owned by a leader in Hasina’s party in the southwestern town of Jashore.

The military chief, Gen. Waker-uz-Zamam said he was temporarily taking control of the country, and soldiers tried to stem the growing unrest. Mohammed Shahabuddin, the country’s figurehead president, announced late Monday after meeting with Waker-uz-Zamam and opposition politicians that Parliament would be dissolved and a national government would be formed as soon as possible, leading to fresh elections.

Speaking after the embattled leader was seen in television footage boarding a military helicopter with her sister, Waker-uz-Zaman sought to reassure a jittery nation that order would be restored. Experts, though, warned the road ahead would be long.

Hundreds of thousands of people poured into the streets waving flags and cheering to celebrate Hasina’s resignation. But some celebrations soon turned violent, with protesters attacking symbols of her government and party, ransacking and setting fires in several buildings.

“This is not just the end of the tyrant Sheikh Hasina, with this we put an end to the mafia state that she has created,” declared Sairaj Salekin, a student protester, on the streets of Dhaka.

Men run past a burning vehicle inside the Bangabandhu Sheikh Mujib Medical University Hospital, set on fire by protesters, during a rally against Prime Minister Sheikh Hasina and her government demanding justice for the victims killed in the recent countrywide deadly clashes, in Dhaka, Bangladesh, Sunday, Aug. 4, 2024. (AP Photo/Rajib Dhar)

A rickshaw puller rides in the smoke caused by a burning shopping center which was set on fire by protesters during a rally against Prime Minister Sheikh Hasina and her government demanding justice for the victims killed in the recent countrywide deadly clashes, in Dhaka, Bangladesh, Sunday, Aug. 4, 2024. (AP Photo/Rajib Dhar)

Protests began peacefully last month as frustrated students demanded an end to a quota system for government jobs that they said favored those with connections to the prime minister’s Awami League party. But amid a deadly crackdown, the demonstrations morphed into an unprecedented challenge to Hasina, highlighting the extent of economic distress in Bangladesh, where exports have fallen and foreign exchange reserves are running low.

Waker-uz-Zaman promised that the military would launch an investigation into a crackdown that had left nearly 300 people dead since mid-July, some of the country’s worst bloodshed since the 1971 war of independence, and which had fueled outrage against the government. Nearly 100 people, including 14 policemen, were killed Sunday, according to the country’s leading Bengali-language daily newspaper, Prothom Alo. At least 11,000 people have been arrested in recent weeks.

“Keep faith in the military. We will investigate all the killings and punish the responsible,” he said.

The military wields significant political influence in Bangladesh, which has faced more than 20 coups or coup attempts since independence in 1971. But it was not clear if Hasina’s resignation or the military chief’s calls for calm would be enough to end the turmoil.

Nahid Islam, a top student coordinator, told reporters late Monday that the movement would propose an outline for the new interim government — and they would not accept any other solution.

Protesters shout slogans as they celebrate after getting the news of Prime Minister Sheikh Hasina’s resignation, in Dhaka, Bangladesh, Monday, Aug. 5, 2024. (AP Photo/Rajib Dhar)

Protesters climb a public monument as they celebrate the news of Prime Minister Sheikh Hasina’s resignation, in Dhaka, Bangladesh, Monday, Aug. 5, 2024. (AP Photo/Rajib Dhar)

Throughout the day, people continued to pour into and out of Hasina’s official residence, where they set fires, carried out furniture and pulled raw fish from the refrigerators. They also massed outside the parliament building, where a banner reading “justice” was hung.

Crowds also ransacked Hasina’s family’s ancestral home-turned-museum where her father, Sheikh Mujibur Rahman — the country’s first president and independence leader — was assassinated. They torched major offices of the ruling party and the country’s two leading, pro-government TV stations — both of which were forced to go off air.

Elsewhere, protests were peaceful, and thousands gathered Monday evening outside the presidential palace, where the military chief, opposition politicians and the country’s figurehead president met.

Hasina, meanwhile, landed in a city in India on the border with Bangladesh, according to a military official who spoke on condition of anonymity because he was not authorized to release the information to the media. It was not clear where she would go next.

The 76-year-old was elected for a fourth consecutive term in a January vote that was boycotted by her main opponents. Thousands of opposition members were jailed in the lead-up to the polls, and the U.S. and the U.K. denounced the result as not credible, though the government defended it.

Hasina had cultivated ties with powerful countries, including both India and China. But under her, relations with United States and other Western nations have come under strain, as they have expressed concerns over human rights violations and press freedoms in the predominantly Muslim nation of 170 million people.

Her political opponents have previously accused her of growing increasingly autocratic and have blamed the unrest on that authoritarian streak. In total, she served more than 20 years, longer than any other female head of government.

U.N. Secretary-General Antonio Guterres urged a peaceful transition, according to a statement from U.N. deputy spokesman Farhan Haq, calling for “a full, independent, impartial and transparent investigation into all acts of violence.”

U.S. State Department spokesperson Matthew Miller, speaking to reporters in Washington, welcomed the announcement that an interim government would be formed and called for “calm and restraint in the days ahead.”

Ali Riaz, an expert on Bangladeshi politics who teaches political science at Illinois State University, said the country now faces an immense political challenge, as politicians and the military will struggle to restore calm while satisfying various camps and reining in attempts to settle scores.

People use a stretcher trolley to carry a man, who was injured during the anti-government protests in Bangladesh, to the emergency ward of a hospital in Dhaka, Bangladesh, Sunday, Aug. 4, 2024. (AP Photo/Rajib Dhar)

“So the challenges on the process going forward are daunting,” he said, adding that observers will be watching to ensure that the military’s role stays that of mediator, given the history of army takeovers.

Protests continued even after the Supreme Court last month ruled that the quota system — which set aside up to 30% of government jobs for family members of veterans who fought in Bangladesh’s war of independence against Pakistan — must be drastically cut.

The debate has highlighted the fact that there’s a lack of quality jobs for college graduates, who increasingly seek the more stable and lucrative government jobs. But there aren’t enough to go around — each year, some 400,000 graduates compete for around 3,000 jobs in the civil service exam.

The unrest has resulted in the closure of schools and universities across the country, and authorities at one point imposed a shoot-on-sight curfew. Fears also rose among Hindus that they might be targeted in the unrest since they are generally thought to be supporters of Hasina’s party.

Authorities also shut off mobile internet on Sunday, and broadband internet was cut briefly Monday but services were restored later in the day.

Hasina’s son, Sajeeb Wazed Joy, told the BBC that he doubted his mother would make a political comeback, as she has in the past, saying she was “so disappointed after all her hard work.”

___

Pathi reported from New Delhi."
Bangladeshi PM Sheikh Hasina resigns as widening unrest sees protesters storm her.,https://www.aljazeera.com/news/2024/8/5/world-reacts-to-bangladesh-pm-sheikh-hasinas-removal-from-power,"Reactions as Hasina is forced to resign and flee the country after weeks of deadly unrest in the country.

Bangladesh’s Prime Minister Sheikh Hasina has resigned and fled the country after weeks of protests against her government in which hundreds of people were killed.

Hasina, 76, quit on Monday after last month’s student-led protests against a quota system for government jobs turned into a popular call for her sacking – the worst political crisis to hit during her 15-year rule.

As tens of thousands of people surrounded government offices and residences in the capital Dhaka, Hasina fled in an army helicopter with her sister. She has landed in New Delhi, according to Indian media reports.

In an address to the nation, Bangladesh’s army chief General Waker-Uz-Zaman announced that an interim government will now run the country of 170 million people, without providing details.

Here are some global reactions to Hasina’s ouster and the unrest in the country:

Tarique Rahman, acting chairman of main opposition Bangladesh Nationalist Party

Rahman, who lives in exile in the United Kingdom, said on X that “Hasina’s resignation proves the power of the people.”

“Together, let’s rebuild Bangladesh into a democratic and developed nation, where the rights and freedoms of all people are protected,” he urged.

British PM’s office

In a statement, UK Prime Minister Keir Starmer’s spokesperson said his office is concerned by the violence and the “significant loss of life, including of students, children and law enforcement officers”, saying it was “completely unacceptable”.

“The right to peaceful protest must be protected and never subject to violence and we call on the authorities to release all peaceful protesters and ensure due process is followed for those charged and prosecuted,” Starmer’s spokesperson added.

Bangladeshi diaspora in UK

In Whitechapel, a London neighbourhood home to a large Bangladeshi community, many took to the streets to celebrate.

Waving their national flag and honking car horns, they chanted: “Bangladesh! Bangladesh!”

“Bangladesh has achieved its second independence now,” said Abu Sayem, 50. “We actually got our independence first in 1971, but autocrat Sheikh Hasina was ruling the country forcibly. She has snatched away our rights. She has killed thousands of children.”

Cab driver Ishtiaque Choudhury said: “It is a relief for us and I’m happy for my nation.”

Germany

A German foreign ministry spokesperson said it is “important that Bangladesh continue on its democratic path” amid the unrest in the country.

European Union

The European Union has called for an “orderly and peaceful” transition to democratic rule in Bangladesh.

“The EU calls for calm and restraint. It is vital that an orderly and peaceful transition towards a democratically elected government is ensured, in full respect of human rights and democratic principles,” EU foreign policy chief Josep Borrell said.

United States

The United States has commended Bangladesh’s army for its “restraint”.

A State Department spokesperson said Washington welcomed the announcement that an interim government will be formed.

The White House has also called for respecting democratic rights in Bangladesh. “We urge that the interim government formation be democratic and inclusive. We commend the Army for the restraint they have showed today,” a White House spokesperson added.

US Senate Majority leader Chuck Schumer said on X that PM Hasina’s violent reaction to legitimate protests made her continued rule untenable.

“I applaud the brave protestors & demand justice for those killed. It’s critical to establish a balanced interim government that respects the rights of all & sets up democratic elections swiftly,” Schumer said.

United Nations

UN Secretary-General Antonio Guterres has urged calm in Bangladesh after the resignation and departure of prime minister Sheikh Hasina, and highlighted the need for a “peaceful, orderly and democratic transition,” his spokesman said.

Guterres “stands in full solidarity with the people of Bangladesh and calls for the full respect of their human rights,” said spokesperson Farhan Haq.

“He continues to underscore the need for a full, independent, impartial and transparent investigation into all acts of violence.”

Irene Khan, the United Nations special rapporteur on freedom of expression and opinion, says the army, which has formed an interim government after Hasina fled, has a “very tough job ahead”.

“We are all hoping that the transition would be peaceful and that there will be accountability for all the human rights violations that have taken place recently, including the killing of about 300 people in the last three weeks,” Khan told Al Jazeera.

“Bangladesh has, of course, an enormous task ahead. It is not the poster child of sustainable development anymore. The previous government had driven this country into despair, and there would be a lot of hard work to do to build it up, but most of all, I think it’s extremely important that the army respect human rights.”

Amnesty International

Amnesty’s South Asia researcher Taqbir Huda has told Democracy Now that while Hasina has resigned, much of the violence “could have been avoided” if her government was more responsive to the students’ demands.

He noted that the military has taken over and cautioned: “Given Bangladesh’s history with military dictatorships … it is really important to stress that this must be a time-bound measure until … governance can be reissued.”

India

While Indian Prime Minister Narendra Modi’s government has not yet commented on Hasina’s resignation, it issued a “high alert” along its 4,096km (2,545-mile) border with Bangladesh.

Modi’s government was reported to have close ties with the Hasina-led Awami League government.

Sri Lanka

Sri Lanka’s foreign minister Ali Sabry said in a statement on X: “We believe in the resilience and unity of the Bangladeshi nation and hope for a swift return to peace and stability.”

“May the people of Bangladesh find the strength to overcome these challenges and emerge even stronger,” he added.

Russia

Russia’s foreign ministry said in a statement that “Moscow … hopes for a speedy return of internal political processes to constitutional norms in a country friendly to us.”"
Bangladeshi PM Sheikh Hasina resigns as widening unrest sees protesters storm her.,https://www.loudountimes.com/0local-or-not/4world/bangladeshi-pm-sheikh-hasina-resigns-as-widening-unrest-sees-protesters-storm-her-official-residence/article_8063a9bb-7967-5c8c-ab8a-c3f46a78d9b7.html,"State Alabama Alaska Arizona Arkansas California Colorado Connecticut Delaware Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New Hampshire New Jersey New Mexico New York North Carolina North Dakota Ohio Oklahoma Oregon Pennsylvania Rhode Island South Carolina South Dakota Tennessee Texas Utah Vermont Virginia Washington Washington D.C. West Virginia Wisconsin Wyoming Puerto Rico US Virgin Islands Armed Forces Americas Armed Forces Pacific Armed Forces Europe Northern Mariana Islands Marshall Islands American Samoa Federated States of Micronesia Guam Palau Alberta, Canada British Columbia, Canada Manitoba, Canada New Brunswick, Canada Newfoundland, Canada Nova Scotia, Canada Northwest Territories, Canada Nunavut, Canada Ontario, Canada Prince Edward Island, Canada Quebec, Canada Saskatchewan, Canada Yukon Territory, Canada

Zip Code"
Bangladeshi PM Sheikh Hasina resigns as widening unrest sees protesters storm her.,https://www.kentuckytoday.com/news/national/ap-news-summary-at-3-59-p-m-edt/article_fc83e085-8f98-52bc-94a9-b865c52bf372.html,"Copyright 2024 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed."
Bangladeshi PM Sheikh Hasina resigns as widening unrest sees protesters storm her.,https://m.economictimes.com/news/newsblogs/latest-news-live-updates-august-5-india-news-weather-monsoon-rainfall-himachal-cloudburst-sc-rahul-gandhi-pm-modi-wayanad-landslide-mumbai-rains-imd-bjp-j-k-article-370-abrogation-anniversary/liveblog/112274525.cms,
Bangladeshi PM Sheikh Hasina resigns as widening unrest sees protesters storm her.,https://www.mankatofreepress.com/news/state_national_news/the-latest-harris-closes-in-on-running-mate-pick/article_5f8030a8-554c-504f-a3a1-2f1bffc561bc.html,"Mankato, MN (56001)

Today

Windy with rain showers this evening overnight with mostly cloudy skies. Low 59F. Winds NNE at 20 to 30 mph. Chance of rain 60%..

Tonight

Windy with rain showers this evening overnight with mostly cloudy skies. Low 59F. Winds NNE at 20 to 30 mph. Chance of rain 60%."
Bangladeshi PM Sheikh Hasina resigns as widening unrest sees protesters storm her.,https://www.mankatofreepress.com/news/state_national_news/prosecutors-plan-to-charge-former-kansas-police-chief-regarding-newspaper-raid/article_69c6bd6a-5359-11ef-aece-dfa04fc8a28c.html,"Mankato, MN (56001)

Today

Windy with rain showers this evening overnight with mostly cloudy skies. Low 59F. Winds NNE at 20 to 30 mph. Chance of rain 60%..

Tonight

Windy with rain showers this evening overnight with mostly cloudy skies. Low 59F. Winds NNE at 20 to 30 mph. Chance of rain 60%."
Bangladeshi PM Sheikh Hasina resigns as widening unrest sees protesters storm her.,https://www.mankatofreepress.com/news/state_national_news/tropical-storm-debby-hits-florida-with-floods-threat-of-record-rain-in-georgia-and-the/article_6add4f33-22eb-5538-84d3-12fa078cadba.html,"Mankato, MN (56001)

Today

Windy with rain showers this evening overnight with mostly cloudy skies. Low 59F. Winds NNE at 20 to 30 mph. Chance of rain 60%..

Tonight

Windy with rain showers this evening overnight with mostly cloudy skies. Low 59F. Winds NNE at 20 to 30 mph. Chance of rain 60%."
Bangladeshi PM Sheikh Hasina resigns as widening unrest sees protesters storm her.,https://www.mankatofreepress.com/news/business/dow-drops-1-000-and-japanese-stocks-suffer-worst-crash-since-1987-as-markets-quake/article_99ddd00a-26a8-5869-beb8-b142b8d0fb93.html,"Mankato, MN (56001)

Today

Windy with rain showers this evening overnight with mostly cloudy skies. Low 59F. Winds NNE at 20 to 30 mph. Chance of rain 60%..

Tonight

Windy with rain showers this evening overnight with mostly cloudy skies. Low 59F. Winds NNE at 20 to 30 mph. Chance of rain 60%."
Bangladeshi PM Sheikh Hasina resigns as widening unrest sees protesters storm her.,https://www.wdrb.com/news/national/ap-news-summary-at-1-27-p-m-edt/article_f16721e9-4ff4-5926-a045-e7e3b53d85a6.html,"Google illegally maintains monopoly over internet search, judge rules

WASHINGTON (AP) — A judge has ruled that Google’s ubiquitous search engine has been illegally exploiting its dominance to squash competition and stifle innovation. It's a seismic decision that could shake up the internet and hobble one of the world’s best-known companies. The highly anticipated decision issued by U.S. District Judge Amit Mehta comes nearly a year after the start of a trial pitting the U.S. Justice Department against Google. It's the country’s biggest antitrust showdown in a quarter century. Mehta reviewed reams of evidence that included testimony from top executives at Google, Microsoft and Apple during last year’s 10-week trial. He issued his potentially market-shifting decision three months after the two sides presented their closing arguments in early May.

Tropical Storm Debby hits Florida with floods, threat of record rain in Georgia and the Carolinas

HORSESHOE BEACH, Fla. (AP) — Tropical Storm Debby slammed Florida with torrential rain, high winds and flooding, contributing to at least five deaths as it turned menacingly toward the Eastern Seaboard’s low-lying regions and threatened to flood some of America’s most historic Southern cities. Sarasota Police Department officials say about 500 residents were rescued from flooded homes. Record-setting rain was next expected to cause flash flooding in coastal Georgia and South Carolina. Historic cities including Savannah, Georgia, and Charleston, South Carolina, are gearing up for potential high water. Debby made landfall on the Gulf Coast of Florida early Monday as a Category 1 hurricane. It is now a tropical storm, with top wind speeds around 50 mph.

Ex-Trump attorney Jenna Ellis to cooperate in Arizona fake electors case, charges to be dropped

PHOENIX (AP) — Former President Donald Trump’s campaign Jenna Ellis will cooperate with Arizona prosecutors in exchange for charges being dropped against her in a fake electors case. The state attorney general’s office announced the agreement Monday. Ellis has previously pleaded not guilty to fraud, forgery and conspiracy charges in the Arizona case. Seventeen other people have pleaded not guilty to the felony charges. Ellis was charged in Georgia last year after she appeared with Trump's personal attorney, Rudy Giuliani, at a December 2020 hearing hosted by state Republican lawmakers. False allegations of election fraud were made at that meeting. She pleaded guilty in October to one felony count of aiding and abetting false statements and writings.

Japan's share benchmark soars nearly 11% a day after massive sell-offs that shook Wall Street

NEW YORK (AP) — Japan's benchmark Nikkei 225 index has soared more than 10% a day after it set markets tumbling in Europe and on Wall Street, while other world markets appeared to have settled after the rollercoaster ride that started the week. The Japanese index fell back after its biggest early advance, gaining 8.7% by midmorning. On Monday, nearly everything on Wall Street tumbled as world markets quaked under fears the U.S. economy is slowing too much. The S&P 500 sank 3% Monday for its worst day in nearly two years. The Dow Jones Industrial Average dropped more than 1,000 points, and the Nasdaq composite slid 3.4%. That followed the Nikkei's 12.4% plunge, its worst since 1987.

Venezuela's top prosecutor announces criminal probe against opposition leaders González, Machado

CARACAS, Venezuela (AP) — Venezuela’s top prosecutor has announced a criminal investigation against the opposition’s presidential candidate Edmundo González and its leader Maria Corina Machado over their call on the armed forces to abandon their support for President Nicolás Maduro and to stop repressing demonstrators. Attorney General Tarek William Saab’s statement tied the investigation directly to a written appeal the two members of the opposition sent hours earlier about Maduro and the demonstrators who have come out in force to defend their votes in the July 28 election. Saab said the duo “falsely announced a winner of the presidential election other than the one proclaimed by the National Electoral Council"" and they openly incited “police and military officials to disobey the laws.”

Rally dates are set. Venues are chosen. The only thing missing for Harris' blitz is her VP choice

WASHINGTON (AP) — The dates are set. The venues are chosen. The only thing missing from this week’s campaign blitz with Vice President Kamala Harris and her 2024 running mate is the name of that running mate. After a weekend spent interviewing finalists, Harris is set to decide as early as Monday on her choice before the two set off on a tour across key battleground states where they will introduce the new Democratic ticket to voters and highlight the states of the election. That means there’s not much time left for advocates for and against different picks to get in their final licks.

Kamala Harris is poised to become the Democratic presidential nominee

WASHINGTON (AP) — Vice President Kamala Harris’ coronation as the Democrats' standard-bearer for the 2024 presidential election is soon becoming official. That will happen Monday night when her party announces the results of online voting by delegates. It will cap a tumultuous period for the party prompted by President Joe Biden’s disastrous debate performance and his subsequent withdrawal from the race. Harris is the daughter of immigrants who rose through the California political and law enforcement ranks to become the first female vice president in U.S. history. She is clinching the nomination more than four years after her first attempt at the presidency collapsed.

Proxy forces armed by Iran could take part in retaliation against Israel over Hamas leader's killing

DUBAI, United Arab Emirates (AP) — As Iran threatens to respond to the suspected Israeli assassination of Hamas leader Ismail Haniyeh in Tehran, the regional militias that the Islamic Republic has armed for decades could play a role in any attack. They include Lebanon's Hezbollah, the Houthi rebels of Yemen, Shiite militias in Iraq and others. Those relationships are managed by Iran’s powerful paramilitary organization, the Revolutionary Guard. Iran relies on those proxy forces as international sanctions on Tehran, including over its nuclear program, have kept it from receiving advanced weaponry. While developing its own missile program, Iran also relies on militias as an asymmetric threat to squeeze Israel and the United States.

Bangladeshi PM Sheikh Hasina resigns as widening unrest sees protesters storm her official residence

DHAKA, Bangladesh (AP) — Bangladesh’s prime minister has resigned and fled the country, after weeks of protests against a quota system for government jobs descended into violence and grew into a broader challenge to her 15-year rule. Thousands of demonstrators stormed her official residence and other buildings associated with her party and family on Monday. Prime Minister Sheikh Hasina’s departure threatens to create even more instability in the nation on India’s border that is already dealing with a series of crises, from high unemployment and corruption to climate change. After the embattled leader was seen on TV boarding a military helicopter with her sister, the country’s military chief sought to reassure a jittery nation that order would be restored.

What's the deal with the Olympics? Your burning questions, answered

PARIS (AP) — The Olympics have their own language, traditions and rules. And they are ever-evolving. It can be a lot to take in. The Associated Press is answering some of the most asked questions about the Paris Games. What's in the box that athletes get with their medals? An official poster, meaning they can skip the gift shop. And if you wanted to know why the PARIS Olympics are in so many different cities, it's a combination of factors including space and appropriate facilities. It's also not uncommon among Olympics."
