Headline,Links
Global stocks tumble on fears of U.S. recession and tech pullback.,"['https://www.nytimes.com/2024/08/05/business/global-stocks.html', 'https://www.usatoday.com/story/money/2024/08/05/stock-market-dow-jones-nasdaq-live-updates/74671156007/', 'https://www.cnn.com/business/live-news/global-stock-markets-plunge/index.html', 'https://www.theglobeandmail.com/business/article-global-stocks-tumble-on-fears-of-us-recession-tech-pullback/', 'https://www.cbsnews.com/news/stock-market-today-dow-jones-s-p-500-down/', 'https://www.cnbc.com/2024/08/04/stock-market-today-live-updates.html', 'https://www.barrons.com/livecoverage/stock-market-today-080524', 'https://www.reuters.com/markets/global-markets-selloff-quotes-2024-08-05/', 'https://www.nbcnews.com/business/markets/live-blog/us-stocks-lower-asia-europe-decline-impact-rcna165129', 'https://www.registerguard.com/story/money/2024/08/05/stock-market-dow-jones-nasdaq-live-updates/74671156007/', 'https://www.thestreet.com/investing/stocks/stock-market-today-stocks-in-meltdown-as-fed-triggers-global-rout', 'https://www.cbsnews.com/news/stocks-routed-markets-fret-us-economy-jobs-report/', 'https://www.nytimes.com/live/2024/08/05/business/stocks-market-crash-economy', 'https://www.cnbc.com/2024/08/05/wall-street-reacts-to-global-market-sell-off.html', 'https://sg.finance.yahoo.com/news/stocks-dollar-swing-rate-bets-030758538.html', 'https://www.msn.com/en-ca/money/other/dow-jones-nasdaq-s-p-500-weekly-preview-recession-fears-cloud-equities-outlook/ar-AA1ogdgr', 'https://www.afr.com/markets/equity-markets/us-recession-rumblings-to-roil-asx-20240803-p5jz3u', 'https://apnews.com/article/stocks-markets-nikkei-economy-c6240977e9482bf7207abc53b2a11e58', 'https://www.marketwatch.com/livecoverage/stock-market-today-s-p-500-nasdaq-futures-dive-as-buffett-dumps-apple-yen-soars', 'https://finance.yahoo.com/news/japanese-stocks-tumble-leading-equities-002002329.html', 'https://www.bloomberg.com/news/articles/2024-08-05/japanese-stocks-tumble-leading-equities-selloff-markets-wrap', 'https://www.ig.com/en/news-and-trade-ideas/wall-street--us-stocks-plummet--woeful-jobs-report-and-tech-earn-240805', 'https://www.theguardian.com/business/live/2024/aug/05/global-market-selloff-volatility-us-growth-worries-japan-nikkei-ftse-wall-street-nasdaq-business-live?page', 'https://www.theguardian.com/business/live/2024/aug/05/global-market-selloff-volatility-us-growth-worries-japan-nikkei-ftse-wall-street-nasdaq-business-live?page', 'https://www.theguardian.com/business/live/2024/aug/05/global-market-selloff-volatility-us-growth-worries-japan-nikkei-ftse-wall-street-nasdaq-business-live?page', 'https://www.msn.com/en-us/money/markets/stocks-routed-in-asia-tumble-in-europe-over-u-s-recession-fears/ar-AA1ofamd', 'https://www.smh.com.au/business/markets/asx-set-for-more-heavy-losses-as-jobs-data-rocks-wall-street-20240805-p5jzfn.html']"
"Google's antitrust loss could put billions at risk for Apple, Yahoo Finance says.","['https://sg.finance.yahoo.com/news/googles-antitrust-loss-could-put-billions-at-risk-for-apple-215401052.html', 'https://sg.finance.yahoo.com/news/dbs-reports-record-profit-2-054939559.html', 'https://www.aol.com/apple-joins-increased-ai-spending-174919275.html', 'https://finance.yahoo.com/news/google-loses-doj-antitrust-suit-184845811.html', 'https://www.aol.com/behind-massive-selloff-tech-stocks-183034504.html', 'https://sg.finance.yahoo.com/news/google-loses-antitrust-case-over-193239571.html', 'https://headtopics.com/ca/google-s-antitrust-loss-could-put-billions-at-risk-for-apple-56968261']"
Japan stocks rebound 8% after historic losses; other Asia markets also open higher.,[]
X is closing San Francisco HQ and relocating staffers to San Jose and 'shared space'.,"['https://www.nytimes.com/2024/08/05/technology/x-twitter-san-francisco-office.html', 'https://fortune.com/2024/08/05/x-closing-san-francisco-hq-relocating-staffers-san-jose-palo-alto-shared-space-with-x-ai-linda-yaccarino-leaked-email/', 'https://www.wired.com/story/elon-musk-x-twitter-leaving-san-francisco-office/', 'https://nypost.com/2024/08/05/business/elon-musks-x-to-reportedly-shutter-san-francisco-office/', 'https://www.inkl.com/news/x-to-shut-down-flagship-san-francisco-office-report', 'https://www.kqed.org/news/11998860/x-reportedly-closing-san-francisco-office-amid-elon-musks-anti-california-turn', 'https://www.msn.com/en-us/money/companies/x-will-close-its-headquarters-after-elon-musk-trashed-san-francisco-but-he-s-not-done-with-california-yet/ar-AA1ohEzL']"
"Dow plunges more than 1,000 points amid fears of U.S.","['https://www.cbsnews.com/news/stock-market-today-dow-jones-s-p-500-down/', 'https://apnews.com/article/stocks-markets-nikkei-economy-c6240977e9482bf7207abc53b2a11e58', 'https://www.washingtonpost.com/business/2024/08/05/japan-stock-market-crash/', 'https://www.nbcnews.com/business/markets/live-blog/us-stocks-lower-asia-europe-decline-impact-rcna165129', 'https://www.usatoday.com/story/money/2024/08/05/stock-market-dow-jones-nasdaq-live-updates/74671156007/', 'https://www.cnbc.com/2024/08/04/stock-market-today-live-updates.html', 'https://finance.yahoo.com/news/live/stock-market-news-today-global-stock-rout-deepens-as-dow-plunges-over-1100-points-sp-500-nasdaq-sink-3-200046148.html', 'https://nypost.com/2024/08/05/business/bloodbath-on-wall-street-as-dow-nasdaq-futures-plunge-amid-recession-fears/', 'https://www.independent.co.uk/business/stock-market-down-dow-jones-recession-b2591482.html', 'https://www.voanews.com/a/wall-street-headed-sharply-lower-again-after-japan-s-nikkei-index-tumbles-to-worst-loss-since-1987/7730241.html', 'https://www.dailywire.com/news/dow-drops-more-than-1000-points-as-global-markets-plunge-amid-recession-fears', 'https://finance.yahoo.com/news/live/stock-market-news-today-dow-plummets-700-points-nasdaq-and-sp-500-sink-as-global-sell-off-intensifies-160159048.html', 'https://www.kshb.com/politics/economy/dow-falls-1-000-points-amid-recession-fears', 'https://www.msn.com/en-us/money/markets/dow-falls-1-000-points-heightening-recession-fears-as-many-brokerages-report-errors/ar-AA1ohjcP', 'https://markets.businessinsider.com/news/stocks/stock-market-crash-picks-up-recession-fears-carry-trade-unwind-2024-8', 'https://wzmq19.com/news/336567/stocks-plunge-amid-fears-of-economic-slowdown-experts-advise-long-term-investors-to-be-patient/', 'https://www.msn.com/en-in/money/markets/dow-plunges-more-than-1-000-points-as-global-stock-rout-deepens-on-recession-fear/ar-AA1ogItM?ocid']"
Nintendo's Share Price Tanks Amid Fears Of A US Recession.,['https://www.nintendolife.com/news/2024/08/nintendos-share-price-tanks-amid-fears-of-a-us-recession']
"Palantir Ups Profit Outlook, Says AI Has ‘Transformed’ Business.","['https://finance.yahoo.com/news/palantir-ups-profit-outlook-says-201932742.html', 'https://siliconangle.com/2024/08/05/ai-growth-sees-palantir-beat-second-quarter-earnings-drives-revised-forecast/', 'https://www.msn.com/en-ph/money/companies/palantir-ups-profit-outlook-says-ai-transformed-business/ar-AA1ohH2R?ocid', 'https://thebharatexpressnews.com/palantir-rises-after-raising-profit-forecast-on-ai-demand/', 'https://emeatribune.com/lumen-secures-deals-worth-5-billion-on-ai-driven-demand-for-connectivity/', 'https://emeatribune.com/tom-brady-poses-with-celtics-stars-at-olympics-in-awesome-photo/']"
CrowdStrike says it isn't to blame for Delta's flight cancellations after July.,"['https://www.cnbc.com/2024/08/05/crowdstrike-says-it-isnt-to-blame-for-deltas-flight-cancellations-after-outage.html', 'https://www.cbsnews.com/news/crowdstrike-calls-out-delta-air-lines-for-misleading-narrative-on-outage/', 'https://www.aol.com/news/crowdstrike-says-isnt-blame-deltas-170312739.html', 'https://www.msn.com/en-us/money/markets/crowdstrike-says-delta-only-has-itself-to-blame/ar-AA1ohy0y?ocid', 'https://www.engadget.com/transportation/crowdstrike-says-deltas-woes-arent-its-fault-after-massive-it-outage-181803828.html', 'https://www.wsj.com/business/airlines/crowdstrike-to-delta-stop-pointing-the-finger-at-us-5b2eea6c', 'https://www.windowscentral.com/software-apps/crowdstrike-lashes-out-at-delta', 'https://www.mytwintiers.com/news-cat/business-news/ap-business/ap-crowdstrike-and-delta-fight-over-whos-to-blame-for-the-airline-canceling-thousands-of-flights/', 'https://viewfromthewing.com/deltas-lawsuit-against-crowdstrike-could-backfire-revealing-it-failures-and-damaging-premium-image/', 'https://uk.news.yahoo.com/ryanair-cancels-650-flights-boss-094415040.html', 'https://www.msn.com/en-us/money/companies/crowdstrike-is-denying-deltas-claims-it-was-to-blame-for-thousands-of-flight-disruptions/ar-AA1ofIXp', 'https://www.msn.com/en-us/travel/news/crowdstrike-rejects-delta-s-claim-it-acted-inappropriately-after-it-outage/ar-AA1ofk2U?ocid', 'https://headtopics.com/us/crowdstrike-says-it-isn-t-to-blame-for-delta-s-flight-56927257', 'https://nonstop-news.com/world/crowdstrike-denies-responsibility-for-deltas-july-flight-cancellations/']"
The value of AI chip start-up Groq rises to $2.8 billion.,"['https://fortune.com/2024/08/05/nvidia-challenger-groq-raises-640-million-ai-chips-2-8-billion-valuation-college-dropout-ceo-jonathan-ross/', 'https://techcrunch.com/2024/08/05/ai-chip-startup-groq-lands-640m-to-challenge-nvidia/', 'https://www.maginative.com/article/ai-chip-startup-groq-secures-640-million-in-funding-valued-at-2-8-billion/', 'https://siliconangle.com/2024/08/05/ai-chipmaker-groq-raises-640m-meet-rising-demand-high-speed-inference-compute/', 'https://www.ft.com/content/654f44d9-be74-4097-9e9b-77fdef5454bd', 'https://www.techtarget.com/searchenterpriseai/news/366599856/AI-inference-startup-Groq-raises-640M', 'https://finimize.com/content/ai-chip-startup-groq-hits-28-billion-valuation-with-new-funding', 'https://insidehpc.com/2024/08/ai-inference-chip-startup-groq-raises-640m/', 'https://www.mobileworldlive.com/ai-cloud/kddi-cisco-back-startup-groq-in-640m-funding-round/', 'https://kdal610.com/2024/08/05/ai-chip-startup-groq-valued-at-2-8-billion-after-latest-funding-round/', 'https://uk.finance.yahoo.com/news/ai-chip-startup-groq-gets-110015211.html', 'https://www.bnnbloomberg.ca/business/technology/2024/08/05/ai-chip-startup-groq-gets-28-billion-valuation-in-new-funding-round/', 'https://www.theregister.com/2024/08/05/groq_ai_funding/', 'https://www.axios.com/pro/climate-deals/2024/08/05/tough-fundraising-climate-startups', 'https://www.forbes.com/sites/daniellechemtob/2024/08/05/forbes-daily-wall-street-fear-gauge-hits-highest-level-since-2020/', 'https://www.msn.com/en-gb/money/technology/ai-chip-startup-groq-valued-at-2-8-billion-after-latest-funding-round/ar-AA1ofWb6', 'https://www.ft.com/content/f7fb9ec2-9cc3-4af3-a10e-3c76a0492e13', 'https://m.economictimes.com/tech/startups/92-of-indian-saas-startups-adopt-ai-over-the-past-year-says-bessemer-report/articleshow/112293683.cms', 'https://m.economictimes.com/tech/funding/agritech-startup-agrizy-raises-9-8-million-in-funding-led-by-accion-omnivore/articleshow/112281147.cms', 'https://m.economictimes.com/tech/startups/postman-sees-secondaries-at-steep-discount/articleshow/112269113.cms', 'https://m.economictimes.com/tech/startups/unicommerce-raises-rs-124-crore-from-anchor-investors-ahead-of-ipo/articleshow/112296351.cms', 'https://m.economictimes.com/news/international/world-news/protests-toppled-bangladeshs-government-and-drove-powerful-pm-into-exile-how-did-they-get-here/amp_articleshow/112289801.cms', 'https://dunyanews.tv/en/Technology/828836-indian-escooter-maker-ola-electrics-734-mln-ipo-fully-subscribed', 'https://m.economictimes.com/news/international/world-news/sheikh-hasina-reportedly-leaving-for-london/amp_articleshow/112289937.cms', 'https://techgenyz.com/ai-chip-startup-groq-secures-640m-challenge-nvidias/']"
"The Fed is trying to 'fight a ghost' as recession fears mount, investor says.","['https://www.cnbc.com/2024/08/05/the-fed-is-trying-to-fight-a-ghost-as-recession-fears-mount.html', 'https://www.forexfactory.com/news/1297512-the-fed-is-trying-to-fight-a-ghost', 'https://www.forexfactory.com/news/1297589-san-francisco-feds-mary-daly-discusses-the-economy', 'https://www.forexfactory.com/news/1297523-us-activity-rises-markedly-again-in-july', 'https://www.forexfactory.com/news/1297509-exness-launches-biggest-ever-brand-campaign-born-to-trade', 'https://www.forexfactory.com/news/1297457-meeting-the-sahm-rule-recession-threshold-supports-a', 'https://www.forexfactory.com/news/1297517-feds-goolsbee-if-economy-deteriorates-the-fed-will']"
