Headline,Links
Fossil discovery in Greenland ice sheet reveals increased risk of sea level rise.,"['https://www.cbsnews.com/news/greenland-ice-sheet-fossils-sea-level-rise/', 'https://vermontbiz.com/news/2024/august/08/greenland-fossil-discovery-reveals-increased-risk-sea-level-catastrophe', 'https://www.msn.com/en-us/weather/topstories/fossil-found-in-greenland-ice-sheet-reveals-increased-risk-of-sea-level-rise/ar-AA1ohCiN', 'https://www.mcduffieprogress.com/news/national/greenland-fossils-reveal-greater-sea-level-threat-from-climate-change/article_d1b3b5ae-5323-5e0a-a26f-2f88749a438e.html', 'https://www.khq.com/national/greenland-fossils-reveal-greater-sea-level-threat-from-climate-change/article_1ab1cc21-0279-5548-a66d-47dd56297461.html', 'https://www.eurekalert.org/multimedia/1036621', 'https://headtopics.com/us/risk-of-catastrophic-sea-level-rise-increases-after-56957391']"
Cygnus spacecraft suffers glitches after launch. Freighter bound for the ISS suffers engine problems.,[]
Watch a colossal X-class solar flare erupt from an Earth-facing sunspot (video).,['https://www.space.com/sun-two-x-class-solar-flares-august-5']
"2 months after Starliner launched, astronauts still haven’t returned.","['https://www.usatoday.com/story/news/nation/2024/08/05/boeing-starliner-timeline-astronauts-space-issues-return/74620267007/', 'https://www.statesman.com/story/news/nation/2024/08/05/northrop-grumman-nasa-launch-international-space-station-spacex/74672773007/', 'https://www.usatoday.com/story/news/nation/2024/08/05/meteorites-bombarded-moon-atmosphere-exosphere/74675778007/']"
Perseid meteor shower 2024 peaks this weekend.,"['https://www.space.com/perseid-meteor-shower-2024-peak', 'https://www.sfchronicle.com/science/space/article/perseid-meteor-shower-bay-area-19616544.php', 'https://www.axios.com/local/salt-lake-city/2024/08/05/perseid-meteor-shower-utah-dark-skies', 'https://www.livescience.com/space/meteoroids/the-perseid-meteor-shower-is-about-to-peak-heres-when-to-see-the-most-shooting-stars', 'https://www.forbes.com/sites/jamiecartereurope/2024/08/04/perseid-meteor-shower-peaks-as-moon-meets-venus-the-night-sky-this-week/', 'https://www.lonestarlive.com/news/2024/08/perseid-meteor-shower-2024-peak-when-is-it-and-how-to-get-the-best-view.html', 'https://www.space.com/venus-earthshine-perseid-meteor-shower-peak-night-sky-this-week', 'https://www.independent.co.uk/space/meteor-shower-uk-2024-perseid-full-moon-b2591147.html', 'https://1440wrok.com/illinois-sees-the-perseid-meteor-showers-this-weekend/', 'https://kawarthanow.com/2024/08/05/this-years-perseid-meteor-shower-peaks-on-august-11-and-12/', 'https://avltoday.6amcity.com/culture/perseid-meteor-shower-peak-2024', 'https://www.mlive.com/life/2024/08/join-fellow-stargazers-for-meteors-and-smores-at-free-beachside-astronomy-event.html', 'https://www.theguardian.com/science/article/2024/aug/05/starwatch-perseids-to-peak-in-dazzling-shower-mid-month', 'https://m.economictimes.com/news/international/us/meteor-shower-know-when-and-how-to-see-the-perseids-at-their-best/articleshow/112296598.cms', 'https://www.lehighvalleylive.com/outdoors/2024/08/perseid-meteor-shower-of-2024-to-light-up-the-night-sky-when-to-see-it.html?outputType', 'https://denvergazette.com/outtherecolorado/news/up-to-100-meteors-an-hour-to-fly-above-colorado-as-best-show-of-year/article_7d949dac-5346-11ef-bcab-6b84b9ddb98f.html', 'https://www.axios.com/local/seattle/2024/08/06/trio-meteor-showers-perseids-2024', 'https://www.inkl.com/news/want-to-watch-the-perseids-meteor-shower-this-week-these-are-the-most-spectacular-dark-sky-places-to-view-it-from', 'https://www.sanmarcosrecord.com/features/annual-perseid-meteor-shower-takes-skies-august-10-12', 'https://www.msn.com/en-in/news/other/meteor-shower-know-when-and-how-to-see-the-perseids-at-their-best/ar-AA1ogXEX?ocid', 'https://www.birminghamworld.uk/whats-on/perseid-meteor-shower-viewing-spots-nottingham-4729720', 'https://headtopics.com/us/perseids-meteor-shower-to-light-up-the-sky-next-week-how-to-56959769', 'https://headtopics.com/us/see-brilliant-venus-exquisite-earthshine-and-the-perseid-56951207', 'https://headtopics.com/us/see-perseid-meteors-peak-with-the-northern-lights-the-56896618']"
"Injectable goo could fix joints without surgery, early study suggests.",['https://www.livescience.com/health/medicine-drugs/injectable-goo-could-fix-joints-without-surgery-early-study-suggests']
When Will James Webb Finally Reveal the TRAPPIST-1 Atmospheres Results?,[]
Stunning Discovery: Mysterious Black Hole Found in Our Galaxy’s Heart.,['https://dailygalaxy.com/2024/08/stunning-discovery-black-hole-galaxy-heart/']
"SpaceX launches 23 Starlink satellites from California, and nails landing.",['https://abc7.com/post/spacex-falcon-9-rocket-delivers-satellites-orbit-after-vandenberg-space-force-base-launch/15143051/']
The moon's thin atmosphere is made by constant meteorite bombardment.,"['https://www.news9live.com/science/meteorite-bombardment-creates-wispy-atmosphere-on-moon-2643858', 'https://knewz.com/tiny-meteorites-revealed-as-architects-of-our-moons-ghostly-atmosphere/']"
Scientists want to safeguard Earth’s species by cryogenically preserving them on the planet.,"['https://www.cnn.com/2024/08/05/science/cryogenic-repository-moon-scli-intl/index.html', 'https://fremonttribune.com/news/nation-world/science/these-scientists-want-to-safeguard-earth-s-species-by-cryogenically-preserving-them-on-the-moon/image_4eef3a0f-4c35-562d-8118-2fc7690c26ec.html', 'https://mtstandard.com/these-scientists-want-to-safeguard-earth-s-species-by-cryogenically-preserving-them-on-the-moon/image_b74abc97-a906-5d50-82e9-9b2278842f18.html', 'https://wcfcourier.com/these-scientists-want-to-safeguard-earth-s-species-by-cryogenically-preserving-them-on-the-moon/image_e69bd5bf-cdd9-59b8-ae04-cea60e522cad.html', 'https://herald-review.com/news/nation-world/science/these-scientists-want-to-safeguard-earth-s-species-by-cryogenically-preserving-them-on-the-moon/image_7758e398-6e66-5fb1-ad6c-7d43167e412b.html', 'https://mtstandard.com/these-scientists-want-to-safeguard-earth-s-species-by-cryogenically-preserving-them-on-the-moon/image_70f7f55e-6c7b-52c2-916d-25321ce01157.html', 'https://herald-review.com/news/nation-world/science/these-scientists-want-to-safeguard-earth-s-species-by-cryogenically-preserving-them-on-the-moon/image_1d9e964e-8407-5e21-8696-248d19b1de28.html', 'https://headtopics.com/ca/these-scientists-want-to-safeguard-earth-s-species-by-56961521']"
NASA made a World-Shaking Discovery: Compelling Evidence of Past Life on Mars.,"['https://www.yahoo.com/news/nasa-made-world-shaking-discovery-120000819.html', 'https://www.msn.com/en-us/news/politics/elon-musk-s-platform-x-halts-white-dudes-for-harris-fundraising-account-after-it-raises-4-million/ss-AA1ofGeA', 'https://evrimagaci.org/tpg/nasa-discovers-potential-signs-of-life-on-mars-6296', 'https://www.msn.com/en-us/sports/nfl/ranking-the-top-10-wide-receivers-for-the-2024-nfl-season/ss-AA1ogS8E', 'https://www.msn.com/en-us/movies/other/oscar-winning-drama-with-near-perfect-rotten-tomatoes-score-joins-netflix/ss-AA1ofMjJ', 'https://www.msn.com/en-us/money/companies/see-inside-the-first-private-jet-version-of-the-boeing-737-max-the-extravagant-plane-is-worth-over-100-million-and-has-a-bar-two-bedrooms-and-huge-showers/ss-AA1ocUbY', 'https://www.aol.com/efron-happy-healthy-swimming-incident-084442699.html', 'https://ca.news.yahoo.com/leopard-spotted-rock-may-sign-201138455.html', 'https://uk.news.yahoo.com/greenland-fossils-reveal-greater-sea-192719005.html', 'https://uk.news.yahoo.com/biggest-meteor-shower-2024-peak-133745484.html', 'https://www.msn.com/en-us/news/technology/scientists-discover-huge-crystal-filled-dinosaur-eggs-belonging-to-a-new-species/ss-AA1oehZn', 'https://www.msn.com/en-us/money/other/future-of-work-remote-hybrid-or-back-to-the-office/ss-AA1ofWhV?ocid', 'https://headtopics.com/us/michigan-opens-investigation-into-elon-musk-pac-for-56952335', 'https://www.msn.com/en-us/money/realestate/the-best-small-town-for-retirees-in-your-state-plus-see-the-top-pick-for-all-50-states/ss-AA1ocQSt', 'https://www.msn.com/en-us/autos/news/20-real-reasons-why-millions-of-americans-still-refuse-to-buy-electric-cars/ss-AA1ocS4W']"
"NASA warns of a giant building-size asteroid approaching Earth today. Be excited, not afraid.","['https://www.washingtonpost.com/science/2024/08/05/asteroid-apophis-earth/', 'https://evrimagaci.org/tpg/nasa-alerts-on-massive-2024-oc-asteroid-passing-earth-6105']"
