Headline,Links
Bangladeshi PM Sheikh Hasina resigns as widening unrest sees protesters storm her.,"['https://apnews.com/article/bangladesh-hasina-student-protest-quota-violence-fdc7f2632c3d8fcbd913e6c0a1903fd4', 'https://www.aljazeera.com/news/2024/8/5/world-reacts-to-bangladesh-pm-sheikh-hasinas-removal-from-power', 'https://www.sctonline.net/bangladeshi-pm-sheikh-hasina-resigns-widening-unrest-sees-protesters-storm-her-official-residence-1?e_term_id', 'https://www.loudountimes.com/0local-or-not/4world/bangladeshi-pm-sheikh-hasina-resigns-as-widening-unrest-sees-protesters-storm-her-official-residence/article_8063a9bb-7967-5c8c-ab8a-c3f46a78d9b7.html', 'https://www.darientimes.com/news/world/article/anti-government-protesters-in-bangladesh-plan-to-19619893.php', 'https://www.kentuckytoday.com/news/national/ap-news-summary-at-3-59-p-m-edt/article_fc83e085-8f98-52bc-94a9-b865c52bf372.html', 'https://m.economictimes.com/news/newsblogs/latest-news-live-updates-august-5-india-news-weather-monsoon-rainfall-himachal-cloudburst-sc-rahul-gandhi-pm-modi-wayanad-landslide-mumbai-rains-imd-bjp-j-k-article-370-abrogation-anniversary/liveblog/112274525.cms', 'https://www.mankatofreepress.com/news/state_national_news/the-latest-harris-closes-in-on-running-mate-pick/article_5f8030a8-554c-504f-a3a1-2f1bffc561bc.html', 'https://www.mankatofreepress.com/news/state_national_news/prosecutors-plan-to-charge-former-kansas-police-chief-regarding-newspaper-raid/article_69c6bd6a-5359-11ef-aece-dfa04fc8a28c.html', 'https://www.mankatofreepress.com/news/state_national_news/tropical-storm-debby-hits-florida-with-floods-threat-of-record-rain-in-georgia-and-the/article_6add4f33-22eb-5538-84d3-12fa078cadba.html', 'https://www.mankatofreepress.com/news/business/dow-drops-1-000-and-japanese-stocks-suffer-worst-crash-since-1987-as-markets-quake/article_99ddd00a-26a8-5869-beb8-b142b8d0fb93.html', 'https://www.wdrb.com/news/national/ap-news-summary-at-1-27-p-m-edt/article_f16721e9-4ff4-5926-a045-e7e3b53d85a6.html', 'https://www.wdrb.com/news/national/ap-news-summary-at-10-22-a-m-edt/article_f16721e9-4ff4-5926-a045-e7e3b53d85a6.html', 'https://www.mankatofreepress.com/ap/sports/f1-arcade-launching-locations-where-race-simulators-are-only-part-of-the-experience/article_a830dac3-b927-501d-a1ce-021c8c42c9e9.html', 'https://www.mankatofreepress.com/ap/sports/chop-chop-american-entries-cut-in-half-in-paris-olympic-beach-volleyball-tournament/article_8c100285-f350-5fdc-a5e6-2d22b88241c1.html', 'https://www.mankatofreepress.com/news/state_national_news/israel-hamas-war-latest-hezbollah-says-it-launched-a-drone-attack-on-northern-israel/article_9c0476cc-ddae-521f-8b54-418424c8a7bd.html', 'https://www.mankatofreepress.com/ap/sports/chinas-quan-hongchan-chen-yuxi-lead-the-way-in-olympic-10-meter-diving/article_862488ed-276b-54fe-9861-815ee22e626e.html', 'https://www.mankatofreepress.com/news/business/stocks-open-sharply-lower-on-wall-street-as-investors-fear-a-us-economic-slowdown-dow/article_e57db06c-aba4-5c47-ba15-8090d95c9494.html', 'https://www.mankatofreepress.com/ap/sports/noah-lyles-back-on-track-at-olympics-for-a-no-drama-run-through-first-round/article_73944259-ac3f-5f31-808a-dabb5b50ce52.html', 'https://www.mankatofreepress.com/ap/sports/photo-collection-paris-olympics-nail-art/article_38c35e4c-22b7-530c-8c5a-4f9895f0840b.html', 'https://www.mankatofreepress.com/ap/sports/italy-wins-the-first-olympic-mixed-team-skeet-gold-medal-vincent-hancock-settles-for-a/article_e81459a7-c3d2-51f0-b03d-aed4f11fd8fa.html', 'https://www.mankatofreepress.com/ap/sports/a-rebuilt-bronze-jackie-robinson-statue-will-be-unveiled-6-months-after-the-original-was/article_4bc73e20-d051-597e-805e-950132d11e65.html', 'https://www.vancouverisawesome.com/world-news/ex-trump-attorney-jenna-ellis-to-cooperate-in-arizona-fake-electors-case-charges-to-be-dropped-9312511']"
Several U.S. personnel were injured in a suspected rocket attack at Al Asad air base.,"['https://www.reuters.com/world/middle-east/us-personnel-hurt-attack-against-base-iraq-officials-say-2024-08-05/', 'https://www.cnn.com/2024/08/05/politics/personnel-injured-iraq-al-asad-airbase/index.html', 'https://www.washingtonpost.com/national-security/2024/08/05/us-troops-attacked-asad-iraq/', 'https://www.bbc.com/news/articles/cq5dd33egeqo', 'https://www.cbsnews.com/news/us-personnel-injured-al-asad-air-base-suspected-rocket-attack-iraq/', 'https://www.nbcnews.com/news/world/americans-injured-attack-us-base-iraq-rcna165281', 'https://www.foxnews.com/world/several-u-s-personnel-injured-suspected-rocket-attack-al-asad-air-base-officials', 'https://www.fox10phoenix.com/news/al-asad-air-base-attack-us-injuries', 'https://www.stripes.com/theaters/middle_east/2024-08-05/rocket-attack-iraq-troops-injured-14754644.html', 'https://www.airandspaceforces.com/us-troops-injured-attack-iraq/', 'https://www.newsnationnow.com/world/rocket-attack-us-base-iraq/', 'https://www.kcci.com/article/rocket-attack-iraqi-military-base-injures-us-personnel/61796131', 'https://www.airforcetimes.com/breaking-news/2024/08/05/several-us-troops-injured-in-rocket-attack-in-iraq-officials-say/', 'https://www.nationalreview.com/news/u-s-personnel-injured-by-suspected-rocket-attack-on-iraq-air-base/', 'https://thehill.com/policy/defense/4812519-iraq-us-personnel-injured/', 'https://www.forbes.com/sites/mollybohannon/2024/08/05/several-us-personnel-injured-in-attack-in-iraq/', 'https://nypost.com/2024/08/05/world-news/us-personnel-injured-in-rocket-attack-against-iraqi-airbase-report/', 'https://washingtonpost.com/national-security/2024/08/05/us-troops-attacked-asad-iraq/?tid', 'https://www.washingtonpost.com/politics/2024/08/05/iraq-mideast-us-forces-attack/14d6527e-5373-11ef-9a60-5b6e8b4da7c0_story.html?isMobile', 'https://taskandpurpose.com/news/us-military-iraq-rocket-attack/', 'https://www.al-monitor.com/originals/2024/08/several-us-personnel-injured-rocket-attack-iraq-base', 'https://www.wxyz.com/world/middle-east/a-rocket-attack-at-an-iraqi-military-base-injures-us-personnel-officials-say', 'https://english.alarabiya.net/News/middle-east/2024/08/05/rockets-fired-at-iraq-airbase-housing-us-troops-sources', 'https://www.timesofisrael.com/liveblog_entry/several-us-troops-injured-in-missile-attack-on-base-in-iraq/', 'https://www.barrons.com/news/american-personnel-injured-in-iraq-attack-us-spokesperson-47f7aec4?refsec', 'https://kvia.com/news/us-world/2024/08/05/several-us-personnel-injured-in-rocket-attack-on-iraq-base-2/', 'https://www.cbs.com/shows/video/vVL9jJjIT5LZzM7RH63ApmI7mW7qDElf/', 'https://english.almayadeen.net/news/politics/several-us-personnel-injured-in-iraq-ain-al-assad-airbase-at', 'https://timesofindia.indiatimes.com/world/middle-east/several-us-personnel-injured-in-rocket-attack-at-iraqi-military-base-officials/articleshow/112299472.cms', 'https://www.swissinfo.ch/eng/exclusive-us-personnel-wounded-in-attack-against-base-in-iraq%2C-officials-say/86145979', 'https://www.ktsm.com/news/a-rocket-attack-at-an-iraqi-military-base-injures-us-personnel-officials-tell-ap/', 'https://www.aa.com.tr/en/americas/biden-briefed-on-attack-on-ain-al-asad-air-base-in-iraq/3296206', 'https://www.nbc-2.com/article/rocket-attack-iraqi-military-base-injures-us-personnel/61796131', 'https://www.kaaltv.com/news/us-world-news/a-rocket-attack-at-an-iraqi-military-base-injures-us-personnel-officials-tell-ap/', 'https://www.upi.com/Top_News/US/2024/08/05/personnel-reported-injured-iraqi-base/3021722899479/', 'https://www.israelnationalnews.com/news/394165', 'https://www.dailywire.com/news/several-u-s-personnel-injured-in-iranian-backed-terror-attack-on-base-in-iraq-report', 'https://www.newser.com/story/353975/us-personnel-injured-in-attack-on-iraq-base.html', 'https://www.foxnews.com/world/u-s-forces-destroy-multiple-houthi-weapons-vehicles-past-24-hours-centcom', 'https://bnonews.com/index.php/2024/08/rocket-attack-injures-5-u-s-personnel-at-airbase-in-iraq/', 'https://www.republicworld.com/world-news/rockets-fired-at-iraq-s-ain-al-asad-air-base-housing-us-forces-several-injured', 'https://www.aol.com/news/americans-injured-attack-u-iraq-222151677.html', 'https://www.ctvnews.ca/world/a-rocket-attack-at-an-iraqi-military-base-injures-u-s-personnel-officials-tell-ap-1.6989766', 'https://www.arabnews.com/node/2563296/amp', 'https://www.washingtontimes.com/news/2024/aug/5/rocket-attack-at-iraqi-military-base-injures-us-pe/?utm_source', 'https://en.irna.ir/news/85559690/US-reports-casualties-in-attacks-on-its-Iraqi-air-base', 'https://www.arabnews.com/node/2563296', 'https://en.irna.ir/news/85559690/US-air-base-in-Iraq-attacked-twice-casualties-reported', 'https://en.irna.ir/news/85559690/US-reports-casualties-in-attack-on-its-Iraqi-air-base', 'https://timesofindia.indiatimes.com/world/us/us-troops-injured-in-rocket-attack-on-ain-al-asad-air-base-in-iraq/articleshow/112302361.cms', 'https://m.investing.com/news/world-news/exclusiveus-personnel-hurt-in-attack-against-base-in-iraq-officials-say-3555685?ampMode', 'https://www.iraqinews.com/iraq/us-personnel-injured-in-attack-on-iraqs-al-asad-airbase/', 'https://www.indiatoday.in/world/story/us-personnel-iraq-rocket-attack-al-asad-airbase-2577485-2024-08-06', 'https://www.msn.com/en-gb/news/world/several-us-personnel-injured-in-rocket-attack-at-iraqi-military-base/ar-AA1oibO8', 'https://www.channelnewsasia.com/world/us-personnel-injured-rocket-attack-iraq-base-4528546', 'https://mustreadalaska.com/wars-and-rumors-of-wars-pentagon-moves-ships-and-aircraft-assets-across-middle-east-to-defend-israel/', 'https://www.msn.com/en-ca/news/world/a-rocket-attack-at-an-iraqi-military-base-injures-us-personnel-officials-tell-ap/ar-AA1ohFtL', 'https://www.brecorder.com/news/40316100', 'https://www.oneindia.com/international/us-personnel-injured-rocket-attack-iraqi-military-base-011-3899351.html', 'https://www.thesun.co.uk/news/29705976/us-base-ain-al-asad-iraq-hit-missiles/', 'https://www.goulburnpost.com.au/story/8719994/us-personnel-wounded-in-attack-against-base-in-iraq/', 'https://www.news9live.com/india/breaking-news-live-updates-august-6-7-2024-2645012', 'https://www.latestly.com/agency-news/world-news-a-rocket-attack-at-an-iraqi-military-base-injures-us-personnel-officials-tell-ap-6166712.html', 'https://thepostmillennial.com/breaking-us-personnel-injured-in-attack-against-al-asad-airbase-in-iraq-report', 'https://ijr.com/rocket-attack-against-military-base-in-iraq-injured-several-us-personnel-officials-say/', 'https://www.newslooks.com/a-rocket-attack-at-an-iraqi-military-base-injures-us-personnel-officials-say/', 'https://www.devdiscourse.com/article/law-order/3043068-spike-in-middle-east-tensions-us-base-in-iraq-hit-by-suspected-rocket-attack', 'https://townhall.com/tipsheet/rebeccadowns/2024/08/05/world-on-fire-iran-attacks-us-base-in-iraq-n2643006', 'https://www.devdiscourse.com/article/law-order/3043056-attack-on-al-asad-airbase-us-personnel-injured', 'https://www.devdiscourse.com/article/law-order/3043060-rocket-attack-injures-us-personnel-at-al-asad-airbase-in-iraq', 'https://headtopics.com/ca/us-personnel-injured-after-rocket-attack-at-iraqi-military-56969207']"
Nine UNRWA staff will be fired for potential role in the 7 October attacks on Israel.,"['https://news.un.org/en/story/2024/08/1152841', 'https://apnews.com/article/un-unrwa-staffers-fired-oct-7-cc33d0ab25dc4bacc0af1db10705e0d6', 'https://www.washingtonpost.com/national-security/2024/08/05/unrwa-october-7-israel-hamas-gaza/', 'https://www.nytimes.com/2024/08/05/world/middleeast/unrwa-oct-7-attack.html', 'https://www.cbsnews.com/news/un-fires-9-unrwa-staffers-gaza-investigation-october-7-attacks/', 'https://www.bbc.com/news/articles/cnvyyz8461yo', 'https://www.cbc.ca/news/world/unrwa-staffers-fired-oct-7-1.7285735', 'https://thehill.com/policy/international/4811962-un-fires-staff-hamas-attack/', 'https://www.haaretz.com/israel-news/2024-08-05/ty-article/.premium/israel-at-war-day-304-nine-unrwa-workers-fired-for-possible-involvement-in-october-7/00000191-234a-dcd6-abf7-774f440f0001', 'https://www.abc.net.au/news/2024-08-06/unrwa-nine-employees-fired/104187322', 'https://uk.news.yahoo.com/nine-unrwa-staff-members-may-200038268.html', 'https://www.haaretz.com/israel-news/2024-08-05/ty-article/un-fires-9-staffers-after-probe-finds-possible-involvement-in-oct-7-attack-on-israel/00000191-23c1-dcd6-abf7-77c727160000', 'https://www.inkl.com/news/un-agency-fires-nine-staff-members-over-possible-links-to-october-7-attack', 'https://www.1news.co.nz/2024/08/06/un-fires-more-staff-over-possible-october-7-attack-involvement/', 'https://www.cbc.ca/lite/story/1.7285735', 'https://dailycaller.com/2024/08/05/un-agency-staffers-likely-participated-oct7-terrorist-attacks-against-israel/', 'https://headtopics.com/ca/un-fires-additional-staffers-after-probe-finds-potential-56964885']"
"Iran has decided to attack Israel, Foreign Minister Katz says.","['https://www.jpost.com/breaking-news/article-813400', 'https://hamodia.com/2024/08/05/fm-katz-iran-has-decided-to-attack-israel/', 'https://nypost.com/2024/08/05/world-news/biden-national-security-team-meet-over-exploding-mideast-crisis-ready-to-defend-our-forces/', 'https://www.msn.com/en-za/news/other/iran-has-decided-to-attack-israel-foreign-minister-katz-says/ar-AA1oh21v', 'https://mamul.am/en/news/299674', 'https://censor.net/en/news/3503254/szijjarto_conveys_iranian_warning_to_israel_about_attack', 'https://www.timesnownews.com/world/middle-east/irans-attack-on-israel-only-hours-away-tel-aviv-on-alert-article-112298188', 'https://www.jpost.com/breaking-news/article-813404', 'https://www.jpost.com/breaking-news/article-813306', 'https://unn.ua/en/news/iran-over-hungary-warned-israel-that-it-was-planning-an-attack-mass-media', 'https://ca.news.yahoo.com/israel-rages-ireland-spain-norway-105938803.html']"
Lebanon grapples with fear and tough choices as regional war looms.,"['https://www.aljazeera.com/news/2024/8/5/lebanese-grapple-with-fear-rage-and-tough-choices-as-regional-war-looms', 'https://www.aljazeera.com/news/2024/8/5/israel-returns-decomposed-bodies-of-89-palestinians-to-gaza', 'https://www.aljazeera.com/news/liveblog/2024/8/6/israel-war-on-gaza-live-at-least-40-palestinians-killed-over-past-24-hours']"
UK prime minister talks of a ‘standing army’ of police to deal with riots.,"['https://apnews.com/article/britain-riots-asylum-seekers-violence-a391b4513c41fe4de3806b28ee0c1740', 'https://www.aljazeera.com/news/2024/8/5/british-pm-says-standing-army-of-police-ready-to-deal-with-rioters', 'https://www.loudountimes.com/0local-or-not/4world/uk-prime-minister-talks-of-standing-army-of-police-to-deal-with-rioting-across-britain/article_e1557810-2540-54e6-96b4-b7bbe7f951be.html', 'https://www.euronews.com/my-europe/2024/08/05/uk-pm-starmer-vows-specialist-police-standing-army-to-battle-far-right-unrest-gripping-bri', 'https://www.bbc.com/news/live/cw5yyynpwnzt', 'https://www.newsweek.com/uk-pm-standing-army-response-immigration-riots-1934777', 'https://www.scmp.com/news/world/europe/article/3273307/uks-starmer-talks-standing-army-police-vows-swift-criminal-sanctions-rioters', 'https://www.wsws.org/en/articles/2024/08/05/wfmq-a05.html', 'https://www.cbc.ca/news/britain-standing-army-police-riot-1.7285610', 'https://www.yahoo.com/news/southport-stabbing-latest-multiple-casualties-125827013.html', 'https://www.foxnews.com/world/uk-riots-plunge-country-into-worst-unrest-in-years-prime-minister-vows-to-apply-full-force-of-law', 'https://www.independent.co.uk/news/uk/politics/starmer-standing-army-specialist-police-riots-b2591415.html', 'https://news.sky.com/story/what-is-sir-keir-starmers-standing-army-and-will-it-work-13191485', 'https://www.wral.com/story/uk-police-warn-far-right-fueled-street-violence-affects-resources-needed-to-investigate-other-crimes/21559338/', 'https://uk.news.yahoo.com/starmer-says-standing-army-police-123325892.html', 'https://www.msn.com/en-gb/news/us/uk-prime-minister-talks-of-standing-army-of-police-to-deal-with-rioting-across-britain/ar-AA1ofzOs', 'https://www.abc.net.au/news/2024-08-06/britain-prime-minister-calls-for-standing-army/104186950', 'https://news.sky.com/story/keir-starmer-pmqs-conservative-leadership-contest-latest-live-12593360', 'https://www.telegraph.co.uk/news/2024/08/05/southport-attack-latest-news-rioters-not-patriots/', 'https://www.independent.co.uk/news/uk/crime/uk-riots-today-protest-rotherham-tamworth-liverpool-bolton-news-b2591141.html?page', 'https://www.sinardaily.my/article/220195/focus/world/uk-pm-promises-quotstanding-armyquot-of-officers-to-tackle-riots', 'https://www.theguardian.com/politics/live/2024/aug/05/cobra-emergency-meeting-keir-starmer-far-right-riots-uk-politics-live-latest', 'https://www.lbc.co.uk/news/keir-starmers-new-standing-army-of-specialist-police-to-tackle-riots/', 'https://www.standard.co.uk/news/uk/riots-cobra-meeting-keir-starmer-rotherham-tamworth-southport-far-right-b1174721.html', 'https://www.msn.com/en-ca/news/world/uk-prime-minister-convenes-emergency-panel-to-end-days-of-far-right-violence-across-britain/ar-AA1ofyf8', 'https://www.newindianexpress.com/world/2024/Aug/05/as-far-right-thuggery-escalates-on-uk-streets-pm-starmer-proposes-standing-army-of-police-to-quell-riots', 'https://www.belfasttelegraph.co.uk/video-news/a-standing-army-of-specialist-police-to-be-set-up-deal-with-riots-says-starmer/a168452893.html', 'https://www.scotsman.com/news/politics/riots-police-starmer-army-4729464', 'https://radionigeria.gov.ng/2024/08/05/uk-pm-announces-standing-army-to-deal-with-rioters/', 'https://www.dailymail.co.uk/news/article-13711051/Scotland-Yard-defends-Met-Police-boss-Mark-Rowley-hurry-bizarrely-grabs-reporters-microphone-quizzed-two-tier-policing-Keir-Starmer-vows-standing-army-specialist-officers-crack-rioters.html', 'https://www.rte.ie/news/uk/2024/0805/1463489-uk-demonstrator-riots/', 'https://news.sky.com/story/keir-starmer-riots-parliament-conservative-leadership-latest-live-12593360']"
"Evan Gershkovich, freed Americans now face IRS fines, fees for their services.",['https://www.poynter.org/commentary/2024/russias-false-charges-for-evan-gershkovich-provoked-a-loud-response-from-the-wall-street-journal/']
Venezuela’s top prosecutor announces a criminal probe of opposition leaders.,"['https://apnews.com/article/venezuela-election-armed-forces-maduro-gonzalez-763defac84e8234ff36e0dc6182efdf7', 'https://krcrtv.com/news/nation-world/gallery/venezuelas-top-prosecutor-announces-criminal-probe-against-opposition-leaders-edmundo-gonzalez-leader-maria-corina-machado-investigation-armed-forces-protests-demonstrators', 'https://www.daytondailynews.com/nation-world/venezuelas-top-prosecutor-announces-criminal-probe-against-opposition-leaders-gonzalez-machado/4IUIK3MGEBECXGEJAIWYPZCMMU/?outputType', 'https://www.bostonherald.com/2024/08/05/venezuelas-top-prosecutor-announces-criminal-probe-against-opposition-leaders-gonzlez-machado/', 'https://www.cbc.ca/news/world/venezuela-criminal-investigation-opposition-1.7285878', 'https://www.djournal.com/news/nation-world/venezuelas-top-prosecutor-announces-criminal-probe-against-opposition-leaders-gonz-lez-machado/article_69a432c8-988d-5df0-91f5-12164c6bb137.html', 'https://www.kurv.com/venezuelas-top-prosecutor-announces-criminal-probe-against-opposition-leaders-gonzalez-machado/']"
Iran says Hamas leader was killed by short-range projectile. IDF kills Hamas battalion commander.,"['https://www.aljazeera.com/news/liveblog/2024/8/4/israels-war-on-gaza-live-body-parts-everywhere-as-israel-bombs-shelter?update', 'https://www.telegraph.co.uk/world-news/2024/08/04/israel-iran-hamas-hezbollah-war-latest/', 'https://www.shropshirestar.com/news/world-news/2024/08/04/israel-kills-militants-in-the-west-bank-as-region-waits-on-ceasefire-talks/', 'https://www.thehindu.com/news/international/two-israeli-airstrikes-in-west-bank-kill-nine-palestinian-militants-as-violence-flares-again/article68484194.ece']"
Ukraine’s Zelenskyy displays newly arrived F-16 fighter jets.,"['https://apnews.com/article/ukraine-russia-f16-zelenskyy-3cd2cd27af1a135bb8179fe6776446f6', 'https://www.independent.co.uk/news/world/europe/russia-ukraine-war-putin-f16s-submarine-latest-news-b2591145.html', 'https://www.euronews.com/my-europe/2024/08/04/ukraines-zelenskyy-displays-newly-arrived-f-16-fighter-jets-to-boost-countrys-war-effort', 'https://www.bostonherald.com/2024/08/04/zelenskyy-displays-newly-arrived-f-16-fighter-jets/', 'https://www.aerotechnews.com/blog/2024/08/05/headlines-august-5/', 'https://www.mississippivalleypublishing.com/ukraines-zelenskyy-displays-newly-arrived-f-16-fighter-jets-to-combat-russia-in-the-air/video_e9552c86-cb9f-5cbd-a49a-afaf1c6ffb5b.html', 'https://www.tehrantimes.com/news/502068/Ukraine-displays-first-F-16-jets-donated-by-the-West', 'https://www.abc.net.au/news/2024-08-05/ukraine-deploys-long-awaited-f-16-fighter-jets/104186592', 'https://lufkindailynews.com/ap_video/ukraines-zelenskyy-displays-newly-arrived-f-16-fighter-jets-to-combat-russia-in-the-air/video_abc47d5b-dd71-581d-b0eb-8f55bd886c93.html', 'https://nz.news.yahoo.com/ukraines-zelenskyy-displays-newly-arrived-162013923.html', 'https://news.sky.com/story/ukraine-begins-deploying-f-16-fighter-jets-13191211', 'https://www.euronews.com/video/2024/08/04/ukraines-zelenskyy-displays-newly-arrived-f-16-fighter-jets-to-boost-countrys-war-effort', 'https://uk.news.yahoo.com/ukraines-zelenskyy-displays-newly-arrived-162013923.html', 'https://www.tribuneindia.com/news/world/ukraine-displays-f-16-fighter-jets/', 'https://fox28savannah.com/news/nation-world/gallery/ukraine-shows-off-newly-arrived-f-16-fighter-jets-to-combat-russia', 'https://www.livenowfox.com/video/1495795', 'https://uk.news.yahoo.com/ukraine-displays-first-f-16-195221887.html', 'https://uk.news.yahoo.com/many-jets-does-ukraine-poland-120409525.html', 'https://www.independent.co.uk/news/world/europe/russia-ukraine-war-putin-f16s-submarine-latest-news-b2591145.html?page', 'https://www.msn.com/en-in/news/world/ukraine-finally-deploying-us-made-f-16-fighter-jets-zelenskyy/ar-AA1oe8Ru', 'https://www.msn.com/en-gb/news/world/ukraine-s-zelenskyy-displays-newly-arrived-f-16-fighter-jets-to-combat-russia-in-the-air/ar-AA1odbfB?ocid', 'https://uk.news.yahoo.com/rocket-attack-iraqi-military-injures-213758438.html', 'https://en.apa.az/europe/ukraines-zelenskyy-displays-newly-arrived-f-16-fighter-jets-444322', 'https://www.msn.com/en-gb/news/world/f-16-in-ukraine-zelenskyy-shows-first-fighter-jets-received/ar-AA1odFyt', 'https://www.breakingnews.ie/world/ukraine-displays-newly-arrived-f-16-fighter-jets-to-combat-russia-in-the-air-1658020.html', 'https://www.latestly.com/agency-news/world-news-ukraines-zelenskyy-displays-newly-arrived-f-16-fighter-jets-to-combat-russia-in-the-air-2-6163782.html', 'https://www.latestly.com/agency-news/world-news-ukraines-zelenskyy-displays-newly-arrived-f-16-fighter-jets-to-combat-russia-in-the-air-6163409.html', 'https://www.msn.com/en-ie/news/other/zelensky-welcomes-delivery-of-f-16-fighter-jets-we-can-put-them-to-good-use/ar-AA1oebDp', 'https://www.devdiscourse.com/article/politics/3041716-ukraine-showcases-newly-arrived-f-16-jets-amid-ongoing-conflict', 'https://www.onenewspage.com/video/20240804/17118021/Ukraine-Zelenskyy-displays-newly-arrived-16.htm', 'https://headtopics.com/us/ukraine-s-zelenskyy-displays-newly-arrived-f-16-fighter-56911008', 'https://headtopics.com/us/russia-pilot-films-combat-jet-crashing-to-earth-after-56940356', 'https://headtopics.com/us/zelensky-shows-off-newly-arrived-f-16-fighter-jets-to-56911478']"
